Station name,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec,Annual
Dhaka,59,63,61,69,73,78,82,79,80,78,74,74,72
Tangail,74,71,66,75,77,81,82,79,83,81,81,82,77
Mymensingh,74,75,72,78,80,84,84,81,84,86,84,82,80
Faridpur,73,75,70,76,77,81,85,83,83,83,80,81,78
Madaripur,77,74,73,76,78,83,86,84,85,84,82,82,80
Srimangal,79,75,74,77,79,84,84,83,84,86,85,84,81
Sylhet,69,69,66,72,80,85,86,82,84,83,79,76,77
Bogura,68,69,61,73,75,80,83,81,85,83,80,82,76
Dinajpur,72,73,63,75,77,79,83,81,86,83,79,82,77
Ishwardi,75,74,65,75,75,81,83,83,85,84,81,82,78
Rajshahi,77,77,69,76,78,80,85,84,87,85,82,82,80
Rangpur,73,75,67,74,79,80,83,80,86,83,80,80,78
Syedpur,72,73,65,73,77,79,82,78,85,81,77,79,76
chuadanga,76,75,68,75,77,81,85,85,87,86,82,83,80
Jashore,72,72,70,73,74,77,80,82,83,81,79,80,76
Khulna,74,72,72,73,76,81,85,84,86,85,82,81,79
Mongla,71,71,72,76,77,83,86,86,88,85,83,80,79
Satkhira,75,75,74,74,75,79,81,85,85,83,81,81,79
Barishal,78,77,74,77,79,83,88,84,87,86,85,84,81
Bhola,77,78,74,76,79,82,88,85,87,86,85,84,81
Khepupara,74,74,76,77,79,84,87,86,88,86,85,81,81
Patuakhali,75,75,74,77,80,85,89,88,90,88,87,86,82
Chandpur,71,72,70,74,78,83,87,84,84,82,80,79,78
Teknaf,72,70,70,72,73,82,88,84,84,82,77,67,76
Ambagan(Ctg),72,67,68,74,78,80,86,83,84,83,81,78,77
Cumilla,72,74,74,77,79,82,84,83,83,82,80,78,79
Cox's Bazar,69,68,72,75,76,82,89,85,85,81,76,71,77
Feni,69,70,70,72,75,80,85,82,83,82,81,80,77
Hatiya,79,81,80,81,83,85,91,89,89,89,87,85,84
Kutubdia,73,77,79,78,79,81,87,83,84,83,79,76,79
M.court,71,74,74,76,78,83,87,85,86,84,85,83,80
Rangamati,74,71,68,69,71,77,83,79,80,81,79,79,75
Sandwip,76,76,76,77,80,83,89,87,87,86,85,84,82
Chittagong,69,70,70,74,78,81,89,83,85,82,78,73,77
Sitakunda,72,73,72,78,80,81,87,85,85,85,82,81,80
Gopalgonj,73,71,70,75,77,81,85,85,86,85,82,81,79
Tarash,70,74,73,79,77,80,82,81,84,84,79,78,78
Netrokona,76,78,77,80,80,84,85,82,86,87,84,82,81
Rajarhat,77,80,71,77,83,82,85,81,87,85,82,82,81
Badalgachhi,73,75,71,78,77,80,84,84,88,86,82,82,80
Dimla,72,76,68,78,83,80,85,81,87,83,78,79,79
Netrokonai,75,73,67,74,76,81,85,84,87,85,81,80,79
