Year 2018,,,,,,,,,
January-March,2973.58,1724.71,495.11,39.27,2169.88,3768.91,2448.81,26.88,13647.15
April-June,1699.19,985.55,282.92,22.44,1239.93,2153.66,1399.32,15.36,7798.37
July-September,1274.39,739.16,212.19,16.83,929.95,1615.25,1049.49,11.52,5848.78
October-December,2548.78,1478.33,424.38,33.66,1859.90,3230.49,2098.98,23.04,11397.56
Total,8494.94,4927.75,1414.6,112.2,6199.66,10768.31,6996.6,76.8,38691.86
Year 2019,,,,,,,,,
January-March,2150.02,1710.50,565.10,40.50,2373.80,3660.90,2548.81,27.90,13077.53
April-June,1205.43,995.30,172.82,23.54,1341.40,2050.70,1395.30,15.40,7199.89
July-September,1076.58,830.70,302.08,17.82,1010.50,1505.40,1045.40,11.50,5799.98
October-December,2024.25,1785.04,592.35,35.95,1969.80,3228.00,2426.90,23.50,12085.80
Total,6456.28,5321.54,1632.35,117.81,6695.5,10445,7416.41,78.3,38163.2
Year 2020,,,,,,,,,
January-March,1705.00,1860.50,623.15,43.40,2420.80,3675.90,2641.81,28.50,12999.06
April-June,846.78,990.30,192.10,23.55,1332.75,2051.70,1397.30,15.20,6849.68
July-September,849.00,810.70,350.00,17.85,1008.50,1515.40,1045.49,11.80,5608.74
October-December,1645.00,1881.18,675.00,35.95,2040.80,3282.00,2520.90,24.50,12105.33
Total,5045.78,5542.68,1840.25,120.75,6802.85,10525,7605.5,80,37562.81
