District name,July-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,382,230
Khagrachari,340,210,-,-,-,-,389,254
Rangamati,350,281,294,230,-,-,428,317
Chattogram,450,345,440,350,438,300,540,380
Coxbazar,500,350,460,350,450,340,560,400
Cumilla,407,370,387,330,380,-,430,375
Chandpur,-,346,-,-,-,-,360,-
Brahmmanbaria,353,300,330,-,325,240,388,320
Noakhali,500,-,481,-,470,-,520,-
Lakshmipur,-,-,-,-,-,-,480,-
Feni,-,-,520,-,470,-,550,-
Chattogram Division,414,315,416,315,422,293,457,325
Sylhet,419,300,403,290,400,-,425,350
Moulvibazar,404,263,395,338,-,-,442,345
Sunamganj,430,380,-,-,-,-,403,353
Habiganj,250,,-,-,-,-,300,233
Sylhet Division,376,314,399,314,400,-,393,320
Dhaka,470,360,458,350,450,340,466,400
Gazipur,500,396,-,-,475,380,525,410
Manikganj,482,350,428,306,415,300,495,356
Munshiganj,450,350,435,-,430,-,497,-
Narayanganj,430,378,416,344,380,300,440,400
Narsingdi,400,350,380,325,360,363,450,375
Faridpur,420,-,390,372,380,-,470,-
Rajbari,390,350,370,330,360,230,430,375
Madaripur,410,320,-,-,400,320,457,348
Gopalganj,400,-,390,-,375,-,420,330
Shariatpur,364,250,319,240,303,183,416,280
Tangail,425,-,370,-,335,-,430,350
Kishoreganj,-,-,408,-,356,-,452,-
Dhaka Division,428,345,397,324,386,-,457,362
Mymensingh,370,-,370,-,410,-,450,-
Jamalpur,380,-,360,-,350,-,420,-
Sherpur,410,-,385,-,370,-,450,-
Netrokona,400,-,380,-,375,-,450,-
Mymensingh Division,390,-,374,-,376,-,443,-
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
Barishal,418,-,400,-,-,-,450,-
Jhalokathi,390,-,-,-,-,-,400,-
Perojpur,400,340,-,-,-,-,410,350
Bhola,385,-,-,-,-,-,400,-
Patuakhali,390,-,-,-,-,-,405,-
Barguna,390,-,-,-,-,-,410,-
Barishal Division,396,340,400,-,-,-,413,350
Jashore,-,-,-,-,-,-,297,235
Jhenaidah,356,248,355,244,352,240,375,274
Magura,403,-,390,-,357,-,456,-
Narail,360,-,-,-,350,-,380,303
Khulna,-,-,-,-,-,-,450,400
Bagerhat,493,-,409,-,477,-,446,300
Satkhira,-,-,-,-,-,-,314,250
Kushtia,385,-,360,-,340,-,436,-
Chuadanga,275,-,-,-,-,-,300,-
Meherpur,350,-,-,-,-,-,421,-
Khulna Division,375,248,378,244,375,240,387,294
Rajshahi,366,330,357,320,350,-,400,350
Naogaon,351,298,340,269,335,260,368,330
Natore,300,250,288,250,280,250,311,65
Chapai Nawabganj,345,300,330,285,325,275,384,320
Bogra,375,300,365,-,350,-,390,-
Joypurhat,300,250,-,-,275,240,335,305
Pabna,430,383,410,-,-,-,445,390
Sirajganj,-,-,-,-,-,-,324,300
Rajshahi Division,352,302,348,281,319,256,370,294
Rangpur,345,230,-,-,-,-,318,250
Gaibandha,-,-,-,-,-,-,332,263
Kurigram,313,225,-,-,-,-,325,230
Nilphamari,342,226,-,-,-,-,322,230
Lalmonirhat,313,240,300,230,-,-,297,250
Dinajpur,350,287,327,270,320,-,320,304
Thakurgaon,321,278,-,-,-,-,322,287
Panchagarh,359,258,-,-,-,-,335,238
Rangpur Division,335,249,314,250,320,-,321,257
BANGLADESH,387,305,384,301,377,285,409,312
