District name,Jul-21,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food (in
TK)",,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female
Banderban,-,,,-,,,-,,,-,,,-,,,-,,,400,,,243
Khagrachari,400,,,250,,,-,,,-,,,-,,,-,,,453,,,285
Rangamati,381,,,262,,,306,,,234,,,-,,,-,,,460,,,322
Chattogram,540,,,424,,,480,,,363,,,470,,,345,,,572,,,430
Cox’sbazar,461,,,228,,,460,,,200,,,200,,,230,,,530,,,320
Cumilla,462,,,309,,,450,,,318,,,482,,,-,,,469,,,-
Chandpur,-,,,-,,,-,,,-,,,-,,,-,,,481,,,-
Brahmmanbaria,370,,,300,,,314,,,-,,,260,,,226,,,403,,,305
Noakhali,513,,,-,,,525,,,-,,,525,,,-,,,597,,,-
Lakshmipur,-,,,-,,,-,,,-,,,-,,,-,,,456,,,-
Feni,-,,,-,,,532,,,-,,,492,,,-,,,582,,,-
"Chattogram
Division",447,,,296,,,438,,,279,,,405,,,267,,,491,,,318
Sylhet,422,,,350,,,405,,,-,,,375,,,-,,,426,,,300
Maulavi Bazar,403,,,265,,,398,,,340,,,-,,,-,,,443,,,345
Sunamganj,387,,,301,,,-,,,-,,,-,,,-,,,389,,,337
Habiganj,425,,,350,,,-,,,-,,,-,,,-,,,408,,,290
Sylhet Division,409,,,317,,,402,,,340,,,375,,,-,,,417,,,318
Dhaka,470,,,350,,,425,,,300,,,375,,,300,,,487,,,400
Gazipur,603,,,400,,,-,,,-,,,489,,,388,,,625,,,454
Manikganj,545,,,400,,,458,,,343,,,458,,,340,,,547,,,437
Munshiganj,375,,,300,,,-,,,-,,,355,,,-,,,518,,,375
Narayanganj,435,,,375,,,422,,,350,,,375,,,325,,,487,,,407
Narsingdi,-,,,-,,,482,,,250,,,493,,,-,,,518,,,300
Faridpur,547,,,-,,,-,,,-,,,550,,,-,,,600,,,-
Rajbari,390,,,350,,,333,,,300,,,300,,,280,,,520,,,300
Madaripur,383,,,350,,,400,,,-,,,550,,,-,,,466,,,425
Gopalganj,440,,,400,,,450,,,-,,,388,,,-,,,471,,,420
Shariatpur,375,,,350,,,-,,,-,,,350,,,-,,,425,,,360
Tangail,440,,,340,,,420,,,310,,,430,,,275,,,485,,,375
Kishoreganj,-,,,-,,,439,,,-,,,379,,,-,,,476,,,-
"Dhaka
Division",455,,,362,,,425,,,309,,,422,,,318,,,510,,,387
Mymensing,451,,,367,,,462,,,423,,,516,,,-,,,521,,,450
Jamalpur,441,,,-,,,442,,,-,,,467,,,-,,,479,,,-
Sherpur,,471,,,-,,,491,,,-,,,480,,,-,,,528,,-
Netrokona,,347,,,242,,,403,,,301,,,-,,,-,,,464,,376
"Mymensing
Division",428,,,305,,,450,,,362,,,488,,,-,,,498,,,413
