District name,Jul-2021,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,480,-,450,380,-,-,500,420
Jhalokathi,493,430,-,-,-,-,549,448
Perojpur,508,350,480,300,413,300,567,450
Bhola,466,-,414,-,-,-,516,400
Patuakhali,500,-,490,-,400,-,530,-
Barguna,567,-,540,-,-,-,542,317
"Barishal
Division",502,390,475,340,407,300,534,407
Jashore,-,-,-,-,-,-,356,245
Jhenaidah,335,241,316,239,300,229,382,268
Magura,400,-,380,-,360,-,450,-
Narail,309,-,-,-,284,-,369,250
Khulna,-,-,-,-,-,-,439,374
Bagerhat,450,-,455,-,475,-,500,375
Satkhira,-,-,-,-,-,-,434,340
Kushtia,395,-,370,-,350,-,385,-
Chuadanga,300,-,-,-,-,-,308,-
Meherpur,327,-,-,-,-,-,375,-
Khulna Division,359,241,380,239,354,229,400,309
Rajshahi,416,322,419,350,-,-,430,347
Naogaon,339,283,331,305,437,330,362,300
Natore,350,258,400,250,-,-,434,302
"Chapai
Nawabganj",348,350,400,350,400,350,347,362
Bogura,371,300,368,-,422,250,384,-
Joypurhat,400,300,418,400,-,-,450,350
Pabna,550,-,487,-,-,,570,400
Sirajganj,-,-,-,-,-,-,350,300
"Rajshahi
Division",396,293,400,316,403,290,401,334
Rangpur,360,270,-,-,-,-,400,300
Gaibandha,-,-,-,-,-,-,341,238
Kurigram,316,-,,220,-,-,329,250
Nilphamari,360,267,-,-,-,-,396,275
Lalmonirhat,359,252,400,255,-,-,420,275
Dinajpur,342,286,-,-,-,-,393,316
Thakurgaon,318,270,-,-,-,-,325,280
Panchagar,350,274,-,-,-,-,373,252
"Rangpur
Division",344,273,400,238,-,-,391,293
BANGLADESH,419,317,427,308,412,281,455,341
