District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
1,Barguna,191881,77650,19.37,1.787,138760,231401,93643,20.64,1.904,178315
2,Barishal,321096,129941,17.34,1.599,207814,302665,122482,20.28,1.871,229149
3,Bhola,394733,159740,25.79,2.379,379971,388575,157248,29.49,2.720,427686
4,Jhallokati,118050,47772,21.71,2.002,95646,116665,47212,21.28,1.963,92688
5,Patuakhali,420939,170345,21.47,1.980,337294,431833,174753,20.07,1.852,323592
6,Pirojpur,157249,63635,20.60,1.900,120910,155038,62740,17.28,1.594,99988
1,"Barishal
Division",1603948,649083,21.39,1.973,1280395,1626177,658078,22.26,2.054,1351419
7,Bandarban,25641,10376,29.92,2.760,28634,25646,10378,31.50,2.905,30154
8,Brahmanbaria,137615,55690,29.33,2.705,150660,174588,70652,27.18,2.507,177143
9,Chandpur,88640,35871,20.39,1.881,67475,90004,36423,20.91,1.928,70243
10,Chattogram,417317,168879,26.29,2.425,409541,444857,180024,26.20,2.417,435070
11,Cumilla,287974,116537,24.40,2.251,262318,327517,132539,24.37,2.248,297925
12,Cox’s Bazar,198318,80255,29.89,2.758,221303,181306,73371,29.75,2.744,201325
13,Feni,159979,64740,27.24,2.512,162648,163129,66015,32.21,2.971,196106
14,Khagrachari,67042,27130,31.88,2.940,79770,66694,26990,34.94,3.223,86994
15,Lakshmipur,195707,79198,26.13,2.410,190885,185213,74952,28.22,2.603,195078
16,Noakhali,373322,151075,25.77,2.377,359150,382971,155025,27.69,2.553,395848
17,Rangamati,23686,9585,31.43,2.899,27788,23990,9708,32.12,2.963,28765
2,"Chattogram
Division",1975241,799337,26.59,2.452,1960174,206515,836075,27.42,2.529,2114643
18,Dhaka,26997,10925,24.97,2.304,25167,18702,7568,25.86,2.385,18052
19,Faridpur,202021,81753,28.31,2.611,213497,191856,77640,27.87,2.570,199564
20,Gazipur,105438,42668,29.52,2.723,116198,112432,45499,31.77,2.930,133334
21,Gopalganj,79698,32252,20.83,1.921,61972,59993,24278,20.14,1.858,45111
22,Kishoreganj,172372,69755,31.36,2.893,201807,186328,75403,31.03,2.862,215828
23,Madaripur,55126,22308,20.01,1.846,41183,40746,16500,22.24,2.050,33832
24,Manikganj,52947,21426,22.92,2.114,45294,19457,7874,24.64,2.273,17897
25,Munshiganj,45597,18452,8.57,0.790,14579,41822,16924,10.54,0.972,16453
26,Narayanganj,23508,9513,13.68,1.262,12005,19756,7995,14.69,1.355,10831
27,Narsingdi,92198,37310,30.94,2.854,106477,97752,39558,27.84,2.568,101595
28,Rajbari,111685,45196,24.87,2.294,103695,117377,47500,24.48,2.258,107247
29,Shariatpur,34018,13766,16.14,1.489,20499,32898,13313,18.79,1.733,23078
30,Tangail,232257,93989,25.11,2.316,217658,249183,100839,22.33,2.059,207672
3,"Dhaka
Division",1233862,499317,25.29,2.333,1164960,1188301,480890,25.49,2.351,1130494
31,Bagerhat,177975,72023,21.89,2.019,145396,177321,71758,22.80,2.103,150905
32,Chuadanga,81295,32898,28.12,2.594,85331,85718,34688,29.38,2.710,94005
33,Jashore,325657,131786,33.85,3.123,411518,338887,137140,30.73,2.834,388688
34,Jhenaidah,252018,101986,32.55,3.002,306203,252930,102355,36.69,3.384,346395
35,Khulna,235275,95211,28.43,2.623,249714,237461,96095,30.03,2.770,266182
36,Kushtia,215084,87040,34.21,3.156,274685,225972,91446,32.16,2.966,271251
37,Magura,142570,57695,31.55,2.911,167927,143430,58043,28.47,2.626,152415
38,Meherpur,63458,25680,29.43,2.715,69711,82524,33396,34.27,3.161,105565
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
