District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0
7,Bandarban,408,564,412,397,413.5,345
8,Brahmanbaria,30,48,33.60,66.60,34.30,68.09
9,Chandpur,1328,2747,1778,3972.10,1486.15,3367.58
10,Chattogram,0,0,0,0,0,0
11,Cumilla,86,73,17,43,0,0
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,134,477,166.42,482.99,170.13,486.99
14,Khagrachari,397,414,411.85,454,422.06,473.37
15,Lakshmipur,0,0,0,0,155,279
16,Noakhali,0,0,0,0,0,0
17,Rangamati,541,750,500,668.92,468.85,621.51
2,Chattogram Division,2855,5043,3301.87,6041.61,3149.99,5641.54
18,Dhaka,1090,2736,6108,15942,3003,8411
19,Faridpur,779,1760,753,1731,0,0
20,Gazipur,0,0,340.12,780.72,152.57,381.27
21,Gopalganj,26,81,27,76.50,22.20,55.50
22,Kishoreganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,14222,30510,13736,29431.51,14417,32374.66
25,Munshiganj,9621,20748,10584,23219.15,9750,22871.94
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,32,78,34,80,36,85
29,Shariatpur,0,0,0,0,30,68
30,Tangail,0,0,0,0,0,0
3,Dhaka Division,25770,55913,31582.12,71260.88,27410.77,64247.37
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,72,166,49,98,41,84
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
33,Jashore,0,0,76,283,24,92
34,Jhenaidah,210,612,212,615,30,44
35,Khulna,0,0,10,19.29,3,6.63
36,Kushtia,626,1605,1088,2839,669,1732
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,10,32,0,0
4,Khulna Division,908,2383,1445,3886.29,767,1958.63
41,Jamalpur,85,273,12,36,60,187
42,Mymensingh,0,0,0,0,35,114
43,Netrokona,0,0,0,0,0,0
44,Sherpur,129,486,136,478,134,463
5,Mymensingh Division,214,759,148,514,229,764
45,Bogura,1219,2799,1142.94,3150.77,643,1710.32
46,Joypurhat,206,709,0,0,0,0
47,Naogaon,2304,5349,2419,5909.60,2221,5399.10
48,Natore,19206,35691,21198,52283.73,18714,55880
49,Chapai Nawabganj,2289,4104,2259.89,4097.64,2278.02,4188.69
50,Pabna,89,0,90,247.24,95,260.27
51,Rajshahi,21760,52131,22695,60340.03,22093.33,60695.54
52,Sirajganj,124,239,305.91,686.12,325.04,849.43
6,Rajshahi Division,47197,101266,50110.74,126715.13,46369.39,128983.35
53,Dinajpur,12071,34375,13541,39966,14526,43133
54,Gaibandha,1507,5147,1246,4091,1268,4234
55,Kurigram,5563,15844,6575,21402.37,6814,21876.63
56,Lalmonirhat,12150,34552,17465,51255,17919.25,54467.32
57,Nilphamari,5109,17124,3210,11183,4060,13686.81
58,Panchagar,2867,8517,2498,8669.80,2710,9373.50
59,Rangpur,23134,67667,23269,72772,20953,65599
60,Tahkurgaon,53081,138687,52049,135007,51107,134086.52
7,Rangpur Division,115482,321913,119853,344346.17,119357.25,346456.78
61,Habigonj,0,0,0,0,0,0
62,Moulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet Division,0,0,0,0,0,0
BANGLADESH,,192426,487277,206440.73,552764.08,197283.40,548051.67
