District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0.00,0.00
2,Barishal,0,0,0,0,0.00,0.00
3,Bhola,0,0,0,0,0.00,0.00
4,Jhallokati,0,0,0,0,0.00,0.00
5,Patuakhali,0,0,0,0,0.00,0.00
6,Pirojpur,0,0,0,0,0.00,0.00
1,Barishal Division,0,0,0,0,0.00,0.00
7,Bandarban,63,16.94,64,17.2,64.10,17.20
8,Brahmanbaria,0,0,0,0,0.00,0.00
9,Chandpur,0,0,0,0,0.00,0.00
10,Chattogram,36.75,25.12,35.67,23.83,36.17,24.28
11,Cumilla,2.34,0.90,2.40,0.92,2.50,1.09
12,Cox’s Bazar,1,0.57,2.50,4.16,23.00,5.20
13,Feni,11.30,3.15,11.57,2.71,11.76,3.60
14,Khagrachari,4.50,0.84,29.60,9.95,26.10,8.00
15,Lakshmipur,15,5.70,14,2.31,16.50,6.05
16,Noakhali,43,10.75,40,10.04,50.00,17.50
17,Rangamati,156.30,84.73,151.60,80.35,150.62,79.18
2,Chattogram Division,333.19,148.70,351.34,151.47,380.75,162.10
18,Dhaka,0,0,0,0,0.00,0.00
19,Faridpur,5,2,5,2,4.50,1.50
20,Gazipur,2.17,0.92,2.21,0.95,2.15,0.91
21,Gopalganj,0,0,0,0,0.00,0.00
22,Kishoreganj,0,0,0,0,0.00,0.00
23,Madaripur,0,0,0,0,0.00,0.00
24,Manikganj,0,0,0,0,0.00,0.00
25,Munshiganj,14,4.41,12.50,3.81,13.00,4.23
26,Narayanganj,0,0,0,0,0.00,0.00
27,Narsingdi,1,0.36,0,0,0.00,0.00
28,Rajbari,33,8,33,9.50,28.00,10.50
29,Shariatpur,0,0,0,0,0.00,0.00
30,Tangail,4.39,1,3.60,0.79,2.65,0.59
3,Dhaka Division,59.56,16.69,56.31,17.05,50.30,17.73
31,Bagerhat,0,0,0,0,0.00,0.00
32,Chuadanga,25,7,24.20,6.94,24.25,6.85
33,Jashore,11,3,12,4.5,8.24,2.66
34,Jhenaidah,0,0,0,0,0.00,0.00
35,Khulna,10,3.80,0,0,0.00,0.00
36,Kushtia,88,39,91,43,84.00,42.00
37,Magura,12.25,4.10,11.75,3.88,12.25,3.92
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,15,6.04,16.50,6.78,18.00,7.54
39,Narail,0,0,0,0,0.00,0.00
40,Satkhira,0,0,0,0,0.00,0.00
4,Khulna Division,161.25,62.94,155.45,65.10,146.74,62.97
41,Jamalpur,8,3,8,2,6.00,2.00
42,Mymensingh,0,0,0,0,0.00,0.00
43,Netrokona,0,0,8,3,0.00,0.00
44,Sherpur,9,3,8.40,3.15,9.00,3.00
5,Mymensingh Division,17,6,24.40,8.15,15.00,5.00
45,Bogura,9.10,3.54,6.00,2.71,1.00,0.78
46,Joypurhat,35,11,20.26,8.13,12.85,5.15
47,Naogaon,142,59,132,55,98.65,41.68
48,Natore,14,3,15.50,3.10,11.67,2.76
49,Chapai Nawabganj,50,19,50,19.59,54.00,21.80
50,Pabna,6,5,7,5.72,8.00,7.00
51,Rajshahi,8,3,6,1.87,5.00,1.52
52,Sirajganj,0,0,0,0,0.00,0.00
6,Rajshahi Division,264.10,103.54,236.76,96.12,191.17,80.69
53,Dinajpur,18,5,15.49,4.89,12.00,6.00
54,Gaibandha,49,28,49,29,52.50,25.74
55,Kurigram,57,15.8,61,18,58.00,16.07
56,Lalmonirhat,7,2,7,1.68,7.00,1.66
57,Nilphamari,0,0,0,0,0.00,0.00
58,Panchagar,0,0,0,0,0.00,0.00
59,Rangpur,82,50,83,61,85.00,52.00
60,Tahkurgaon,36,12,40,14,45.00,15.90
7,Rangpur Division,249,112.80,255.49,128.57,259.50,117.37
61,Habigonj,0,0,0,0,0.00,0.00
62,Moulvibazar,20,8,26,7.88,28.00,8.56
63,Sunamganj,0,0,0,0,0.00,0.00
64,Sylhet,0,0,0,0,0.00,0.00
8,Sylhet Division,20,8,26,7.88,28.00,8.56
BANGLADESH,,1104.10,458.66,1106,474.34,1071.46,454.42
