District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,42,17,64,27,59.00,25.00
2,Barishal,400,360,360,80,380.00,86.00
3,Bhola,6432,5822,8369,4718.48,8186.00,4847.00
4,Jhallokati,97,78,87,36,93.00,40.00
5,Patuakhali,107,48,110,55,195.00,46.00
6,Pirojpur,0,0,0,0,0.00,0.00
1,Barishal Division,7078,6325,8990,4916.48,8913.00,5044.00
7,Bandarban,82,46,80.50,45.60,81.50,46.40
8,Brahmanbaria,0,0,0,0,0.00,0.00
9,Chandpur,0,0,0,0,0.00,0.00
10,Chattogram,12612,5711,12537.02,7080.81,13145.63,6163.29
11,Cumilla,3,2,3.65,2.13,3.80,2.30
12,Cox’s Bazar,0,0,0,0,591.00,332.00
13,Feni,3217,1270,3221.75,1270.77,2604.08,1274.91
14,Khagrachari,53,12,60.90,14.77,63.00,15.00
15,Lakshmipur,1206,292,1213,294,1154.00,272.61
16,Noakhali,2454,1010,4012.16,2409.86,4042.80,2268.45
17,Rangamati,115,53,112.55,48.60,115.64,55.39
2,Chattogram Division,19742,8396,21241.53,11166.54,21801.45,10430.35
18,Dhaka,0,0,0,0,0.00,0.00
19,Faridpur,0,0,0,0,0.00,0.00
20,Gazipur,0,0,0,0,0.00,0.00
21,Gopalganj,0,0,0,0,0.00,0.00
22,Kishoreganj,0,0,0,0,0.00,0.00
23,Madaripur,0,0,0,0,0.00,0.00
24,Manikganj,0,0,0,0,0.00,0.00
25,Munshiganj,0,0,0,0,0.00,0.00
26,Narayanganj,0,0,0,0,0.00,0.00
27,Narsingdi,0,0,0,0,0.00,0.00
28,Rajbari,0,0,0,0,0.00,0.00
29,Shariatpur,0,0,0,0,0.00,0.00
30,Tangail,0,0,0,0,0.00,0.00
3,Dhaka Division,0,0,0,0,0.00,0.00
31,Bagerhat,0,0,0,0,0.00,0.00
32,Chuadanga,0,0,0,0,0.00,0.00
33,Jashore,0,0,0,0,0.00,0.00
34,Jhenaidah,0,0,0,0,0.00,0.00
35,Khulna,0,0,0,0,0.00,0.00
36,Kushtia,0,0,0,0,0.00,0.00
37,Magura,0,0,0,0,0.00,0.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0,0,0.00,0.00
39,Narail,0,0,0,0,0.00,0.00
40,Satkhira,0,0,0,0,0.00,0.00
4,Khulna Division,0,0,0,0,0.00,0.00
41,Jamalpur,0,0,0,0,0.00,0.00
42,Mymensingh,0,0,0,0,0.00,0.00
43,Netrokona,0,0,0,0,0.00,0.00
44,Sherpur,0,0,0,0,0.00,0.00
5,Mymensingh Division,0,0,0,0,0.00,0.00
45,Bogura,0,0,0,0,0.00,0.00
46,Joypurhat,0,0,0,0,0.00,0.00
47,Naogaon,0,0,0,0,0.00,0.00
48,Natore,0,0,0,0,0.00,0.00
49,Chapai Nawabganj,0,0,0,0,0.00,0.00
50,Pabna,0,0,0,0,0.00,0.00
51,Rajshahi,0,0,0,0,0.00,0.00
52,Sirajganj,0,0,0,0,0.00,0.00
6,Rajshahi Division,0,0,0,0,0.00,0.00
53,Dinajpur,0,0,0,0,0.00,0.00
54,Gaibandha,0,0,0,0,0.00,0.00
55,Kurigram,0,0,0,0,0.00,0.00
56,Lalmonirhat,0,0,0,0,0.00,0.00
57,Nilphamari,0,0,0,0,0.00,0.00
58,Panchagar,0,0,0,0,0.00,0.00
59,Rangpur,0,0,0,0,0.00,0.00
60,Tahkurgaon,0,0,0,0,0.00,0.00
7,Rangpur Division,0,0,0,0,0.00,0.00
61,Habigonj,0,0,0,0,0.00,0.00
62,Moulvibazar,0,0,0,0,0.00,0.00
63,Sunamganj,0,0,0,0,0.00,0.00
64,Sylhet,0,0,0,0,0.00,0.00
8,Sylhet Division,0,0,0,0,0.00,0.00
BANGLADESH,,26820,14721,30231.53,16083.02,30714.45,15474.35
