District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0
7,Bandarban,1543,3924,1553,3949,1570.50,3993.00
8,Brahmanbaria,53,83,76,159,76.79,160.89
9,Chandpur,3,7,2.55,6.51,2.60,6.76
10,Chattogram,1723,8199,1750.55,8283.59,1761.51,8343.41
11,Cumilla,110,198,112.57,203.94,114.64,209.94
12,Cox’s Bazar,165,503,160.21,386.73,151.10,359.58
13,Feni,13.94,15.65,14.90,17.19,15.03,17.32
14,Khagrachari,4247,11724,4346,12099.39,4332.00,12612.87
15,Lakshmipur,184,215,5.10,5.52,7.35,10.71
16,Noakhali,0,0,0,0,0,0
17,Rangamati,3669,15154,3686,15398,3683.00,14648.69
2,Chattogram Division,11710.94,40022.65,11706.88,40508.87,11714.52,40363.17
18,Dhaka,17,93,16,86,19.42,69.63
19,Faridpur,18,29,26,39,24.32,38.68
20,Gazipur,554,1111,587,1276,641.70,1358.00
21,Gopalganj,31,43,31,43,28.50,64.80
22,Kishoreganj,208,469,199,505,194.00,474.92
23,Madaripur,0,0,0,0,0,0
24,Manikganj,160,202,171,258,178.68,313.29
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,28,27,18,19,6.00,6.10
27,Narsingdi,195,237,205,271,212.45,298.47
28,Rajbari,5,8,5,8,4.00,6.89
29,Shariatpur,0,0,0,0,0,0
30,Tangail,2109,7973,2123,5254,2134.00,4521.00
3,Dhaka Division,3325,10192,3381,7759,3443.07,7151.78
31,Bagerhat,15,22,18.95,28.49,21.32,33.95
32,Chuadanga,33,84,30,79,31.35,81.19
33,Jashore,64,169,58.68,163,50.96,137.36
34,Jhenaidah,87,263,91,254.70,96.00,270.00
35,Khulna,49,82,55,95.80,52.55,95.85
36,Kushtia,68,250,76,297,74.00,346.00
37,Magura,21,55,25,68,27.90,76.17
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,14,28,15,30,18.00,45.00
39,Narail,68,160,66,158,69.80,166.75
40,Satkhira,72,342,77,361,80.40,388.18
4,Khulna Division,491,1455,512.63,1534.99,522.28,1640.45
41,Jamalpur,538,2063,493,1920,487.00,1901.00
42,Mymensingh,907,2319,918,2332,924.00,2420.00
43,Netrokona,123,188,130,304,133.00,400.00
44,Sherpur,226,740,223,731,223.00,735.00
5,Mymensingh Division,1794,5310,1764,5287,1767.00,5456.00
45,Bogura,358,1374,361.56,1522.53,358.51,1522.09
46,Joypurhat,109,507,111.20,366.91,110.78,370.28
47,Naogaon,358,649,188,652.49,179.34,651.85
48,Natore,60,98,63,105.91,0,0
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,23,39,23.94,42,0,0
51,Rajshahi,4,10,2.36,7.07,1.85,5.51
52,Sirajganj,151,358,153.24,329.82,174.62,516.36
6,Rajshahi Division,1063,3035,903.30,3026.73,825.10,3066.09
53,Dinajpur,322,979,315,982,311.30,998.00
54,Gaibandha,394,699,394,760,449.00,983.00
55,Kurigram,463,1300,454,1294,460.88,1322.37
56,Lalmonirhat,399,1499,528,2565,494.25,2080.87
57,Nilphamari,2976,12954,2820,9871,3146.00,10949.10
58,Panchagar,999,3149,1001,3223,999.00,3236.10
59,Rangpur,989,2977,1006,3194,1012.00,3192.00
60,Tahkurgaon,123,244,128,255,133.50,271.04
7,Rangpur Division,6665,23801,6646,22144,7005.93,23032.48
61,Habigonj,120,341,120.72,341.73,120.51,294.75
62,Moulvibazar,202,625,233,746.41,237.00,754.36
63,Sunamganj,20,26,47,266,48.00,272.00
64,Sylhet,71,80,79,101.03,87.00,121.65
8,Sylhet Division,413,1072,479.72,1455.17,492.51,1442.76
BANGLADESH,,25461.94,84887.65,25393.53,81715.76,25770.41,82152.73
