District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0
7,Bandarban,10037,834,10039,834.45,10042,837
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,23,135,0,0,0,0
11,Cumilla,0,0,0,0,0,0
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,23,135,0,0,0,0
14,Khagrachari,0,0,2341.8,289.31,2237.34,291.23
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,1838,137,5141.5,914.24,4992,1131.05
2,Chattogram Division,0,0,17522.3,2038.00,17271.34,2259.28
18,Dhaka,0,0,0,0,0,0
19,Faridpur,5306,0,0,0,0,0
20,Gazipur,17204,159771,139.06,287,140.13,307.55
21,Gopalganj,47,84.08,0,0,0,0
22,Kishoreganj,0,0,0,0,0,0
23,Madaripur,137,662,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,230,1737.59,254,1429.29,235,1289.17
29,Shariatpur,0,0,0,0,0,0
30,Tangail,554,1311.59,501.8,1245.16,525.7,1367.43
3,Dhaka Division,968,3795.24,894.86,2961.71,900.83,2964.15
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,688,2421.39,678,2257.67,662,2185.98
33,Jashore,2426,22489,2387,13301.00,2367,13356.9
34,Jhenaidah,4815,39262,4781,28397.61,4737,28317.88
35,Khulna,0,0,0,0,0,0
36,Kushtia,1988,13618,2010,8396.40,2001,7824.69
37,Magura,211,1331,168.61,565.21,158,397.96
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,1120,8546,1184,9455.76,1177,9668.76
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna Division,11248,87667.39,11208.61,62373.65,11102,61752.17
41,Jamalpur,0,0,0,0,0,0
42,Mymensingh,0,0,0,0,0,0
43,Netrokona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensingh Division,0,0,0,0,0,0
45,Bogura,7,11.21,5.13,6,0,0
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0
51,Rajshahi,115,655.79,119.49,727.59,113,683.82
52,Sirajganj,0,0,0,0,0,0
6,Rajshahi Division,122,667.00,124.62,733.64,113,683.82
53,Dinajpur,203,1225.91,197,1085.98,195,1068.08
54,Gaibandha,221,1221.91,202,936.04,191.2,752.09
55,Kurigram,0,0,0,0,0,0
56,Lalmonirhat,25,78.47,25,72.87,25,51.79
57,Nilphamari,0,0,0,0,0,0
58,Panchagar,0,0,0,0,0,0
59,Rangpur,486,1737.57,485,1681.52,481,1440.5
60,Thakurgaon,0,0,0,0,0,0
7,Rangpur Divison,935,4123.73,909,3776.41,892.2,3312.46
61,Habiganj,0,0,0,0,0,0
62,Moulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet Division,0,0,0,0,0,0
BANGLADESH,,30477,97851.08,30659.39,71883.41,30279.33,70971.88
