District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0.00,0.00
2,Barishal,0,0,0,0,0.00,0.00
3,Bhola,0,0,0,0,0.00,0.00
4,Jhallokati,0,0,0,0,0.00,0.00
5,Patuakhali,0,0,0,0,0.00,0.00
6,Pirojpur,0,0,0,0,0.00,0.00
1,Barishal Division,0,0,0,0,0.00,0.00
7,Bandarban,6632,3222,6641,3226.10,6651.00,3243.00
8,Brahmanbaria,0,0,0,0,0.00,0.00
9,Chandpur,0,0,0,0,0.00,0.00
10,Chattogram,16,1.20,15,1.20,14.00,1.00
11,Cumilla,0,0,0,0,0.00,0.00
12,Cox’s Bazar,353,392,385.80,422.94,388.00,423.00
13,Feni,0,0,0,0,0.00,0.00
14,Khagrachari,2015,2029,2046.30,1977.89,2083.00,2043.00
15,Lakshmipur,0,0,0,0,0.00,0.00
16,Noakhali,0,0,0,0,0.00,0.00
17,Rangamati,320,246,260.83,190.08,238.00,166.00
2,Chattogram Division,9336,5890.20,9348.93,5818.21,9374.00,5876.00
18,Dhaka,0,0,0,0,0.00,0.00
19,Faridpur,59,41,54,39,53.25,38.25
20,Gazipur,0,0,0,0,0.00,0.00
21,Gopalganj,0,0,0,0,0.00,0.00
22,Kishoreganj,0,0,0,0,0.00,0.00
23,Madaripur,0,0,0,0,0.00,0.00
24,Manikganj,0,0,0,0,0.00,0.00
25,Munshiganj,0,0,0,0,0.00,0.00
26,Narayanganj,0,0,0,0,0.00,0.00
27,Narsingdi,0,0,0,0,0.00,0.00
28,Rajbari,99.25,91.42,0,0,0.00,0.00
29,Shariatpur,0,0,0,0,0.00,0.00
30,Tangail,58.50,27.05,49.50,15.86,46.00,14.72
3,Dhaka Division,216.75,159.47,103.50,54.86,99.25,52.97
31,Bagerhat,0,0,0,0,0.00,0.00
32,Chuadanga,0,0,0,0,0.00,0.00
33,Jashore,0,0,0,0,0.00,0.00
34,Jhenaidah,0,0,0,0,0.00,0.00
35,Khulna,0,0,0,0,0.00,0.00
36,Kushtia,0,0,0,0,0.00,0.00
37,Magura,0,0,0,0,0.00,0.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0,0,0.00,0.00
39,Narail,0,0,0,0,0.00,0.00
40,Satkhira,0,0,0,0,0.00,0.00
4,Khulna Division,0,0,0,0,0.00,0.00
41,Jamalpur,0,0,33,16,37.00,20.00
42,Mymensingh,0,0,0,0,0.00,0.00
43,Netrokona,0,0,36,36.34,33.00,34.00
44,Sherpur,0,0,0,0,0.00,0.00
5,Mymensingh Division,0,0,69,52.34,70.00,54.00
45,Bogura,0,0,0,0,0.00,0.00
46,Joypurhat,0,0,0,0,0.00,0.00
47,Naogaon,0,0,0,0,0.00,0.00
48,Natore,0,0,0,0,0.00,0.00
49,Chapai Nawabganj,0,0,0,0,0.00,0.00
50,Pabna,0,0,0,0,0.00,0.00
51,Rajshahi,0,0,0,0,0.00,0.00
52,Sirajganj,0,0,0,0,0.00,0.00
6,Rajshahi Division,0,0,0,0,0.00,0.00
53,Dinajpur,0,0,0,0,0.00,0.00
54,Gaibandha,0,0,0,0,0.00,0.00
55,Kurigram,0,0,0,0,0.00,0.00
56,Lalmonirhat,811,470,829,482,855.00,487.89
57,Nilphamari,8013,6435,8017,6350.88,8028.50,6550.34
58,Panchagar,0,0,0,0,0.00,0.00
59,Rangpur,1484,866,1467,1014,1454.00,1042.00
60,Thakurgaon,0,0,0,0,0.00,0.00
7,Rangpur Divison,10308,7771,10313,7846.88,10337.50,8080.23
61,Habiganj,0,0,0,0,0.00,0.00
62,Moulvibazar,0,0,0,0,0.00,0.00
63,Sunamganj,0,0,0,0,0.00,0.00
64,Sylhet,0,0,0,0,0.00,0.00
8,Sylhet Division,0,0,0,0,0.00,0.00
,BANGLADESH,19860.75,13820.67,19834.43,13772.29,19880.75,14063.20
