District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0
7,Bandarban,6632,3222,6641,3226.1,6651,3243
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,56,14.8,21.24,6.43,19.16,7.19
11,Cumilla,0,0,0,0,0,0
12,Cox’s Bazar,353,392,385.8,422.94,388,423
13,Feni,0,0,0,0,0,0
14,Khagrachari,2015,2029,2046.3,1977.89,2083,2043
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,1425.2,946.455,1322.6,909.77,1277.68,877.6
2,Chattogram Division,10481.2,6604.255,10416.9,6543.13,10418.84,6593.79
18,Dhaka,0,0,0,0,0,0
19,Faridpur,102,75,95,77,92.25,74.25
20,Gazipur,0,0,0,0,0,0
21,Gopalganj,0,0,0,0,0,0
22,Kishoreganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,5413,4100.4,5365,4464.77,5433,4568.57
25,Munshiganj,4,2.71,4.43,2.87,4.43,2.87
26,Narayanganj,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,99.25,91.42,103,94,95,95
29,Shariatpur,0,0,0,0,0,0
30,Tangail,370.5,190.05,342.5,173.57,311,163.75
3,Dhaka Division,5988.75,4459.58,5909.93,4812.21,5935.68,4904.44
31,Bagerhat,0,0,0,0,0,0
32,Chuadanga,2514,0,2485,2450.96,2387,2476.38
33,Jashore,0,0,0,0,0,0
34,Jhenaidah,3995,0,4002,3307,4018,3421.2
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
35,Khulna,0,0,0,0,0,0
36,Kushtia,32794,0,32376,34575,31974,35663
37,Magura,0,0,1.47,0.44,1.52,1.31
38,Meherpur,6220,2491,6057,6874.88,7451,8411.93
39,Narail,0,0,0,0,0,0
40,Satkhira,0,3201,0,0,0,0
4,Khulna Division,45523,0,44921.5,47208.28,45831.52,49973.82
41,Jamalpur,0,33699,33,16,37,20
42,Mymensingh,0,0,0,0,0,0
43,Netrokona,0,6927,36,36.34,33,34
44,Sherpur,0,0,0,0,0,0
5,Mymensingh Division,0,0,69,52.34,70,54
45,Bogura,0,46318,0,0,0,0
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0
48,Natore,84,0,87.67,38.06,93.5,86.69
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0
6,Rajshahi Division,84,0,87.67,38.06,93.5,86.69
53,Dinajpur,12,41.12,9,4,7,3
54,Gaibandha,85,0,82,60,62,43.11
55,Kurigram,394,0,393,241,815.06,424.58
56,Lalmonirhat,17389,0,17404.5,14599.51,16897.75,13886.19
57,Nilphamari,12070,0,12075,9130.28,12073.5,9461.48
58,Panchagar,9,41.12,10,2.4,11,2.62
59,Rangpur,7970,5,8222,6311,8169,6894
60,Thakurgaon,0,56,0,0,0,0
7,Rangpur Divison,37929,242,38195.5,30348.19,38035.31,30714.98
61,Habiganj,0,14225,0,0,0,0
62,Moulvibazar,0,9272,0,0,0,0
63,Sunamganj,0,1.8,0,0,0,0
64,Sylhet,0,4628,0,0,0,0
8,Sylhet Division,0,0,0,0,0,0
BANGLADESH,,100006,85852,99600.50,89002.21,100384.85,92327.72
