District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,780,1428,830,1531,834.00,1537.00
2,Barishal,5050,7560,5060,7718,4499.00,5946.00
3,Bhola,736,2052,886,2150,869.00,2161.00
4,Jhallokati,1130,1456,1150,1800,1155.00,1571.00
5,Patuakhali,839,1928,824,1286,685.00,1286.00
6,Pirojpur,1156,1424,1133,1470,1124.00,1390.00
1,Barishal Division,9691,15848,9883,15955,9166.00,13891.00
7,Bandarban,97,116,99,118.19,100.00,119.00
8,Brahmanbaria,0,0,0,0,0.00,0.00
9,Chandpur,268,593,284.29,647,285.00,844.00
10,Chattogram,966,1760,971.24,1783,976.00,1798.00
11,Cumilla,202,661,205,670,206.00,672.00
12,Cox’s Bazar,8504,21892,8227,21608,7684.40,17360.98
13,Feni,14,25,13,24,14.00,26.00
14,Khagrachari,150,258,150,259.47,152.00,262.00
15,Lakshmipur,446,798,447,621.33,472.00,992.00
16,Noakhali,408,1739,408.24,1739.58,408.00,1600.00
17,Rangamati,208,211,194.09,196.36,188.70,192.17
2,Chattogram Division,11263,28053,10998.86,27666.93,10486.10,23866.15
18,Dhaka,0,0,0,0,0.00,0.00
19,Faridpur,193,379,157,312,141.00,282.00
20,Gazipur,66,111,71,497,92.25,645.02
21,Gopalganj,89,145,87,194,92.65,232.46
22,Kishoreganj,165,364,165,1236,172.96,1584.28
23,Madaripur,110,429,378,1448,377.42,1466.14
24,Manikganj,0,0,17,71,17.90,74.28
25,Munshiganj,137,601,173,683,174.60,695.52
26,Narayanganj,2.35,5.50,2,3,1.92,3.12
27,Narsingdi,336,692,336,700,336.20,702.45
28,Rajbari,246,723,249,989,253.00,970.00
29,Shariatpur,1066,1979,1001,3011,1056.00,3611.00
30,Tangail,25,119,24,122,21.94,107.43
3,Dhaka Division,2435.35,5547.50,2660,9266,2737.84,10373.70
31,Bagerhat,2445,5330,2455,5356,2366.75,5085.40
32,Chuadanga,7478,42170,7004,39072,7019.00,39122.85
33,Jashore,1593,7799,1656,7837,1630.00,7143.00
34,Jhenaidah,5774,38685,5344,34537,5070.50,32460.70
35,Khulna,668,2084,692,2178,707.60,2295.86
36,Kushtia,3587,19441,3633,19694,3377.00,19781.00
37,Magura,51,262,139,655,131.35,721.41
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,207,1870,213,1925,261.00,1595.51
39,Narail,1093,7980,1094,7839,1090.00,7897.57
40,Satkhira,1215,2937,1265,3074,1330.23,3266.02
4,Khulna Division,24111,128558,23495,122167,22983.43,119369.32
41,Jamalpur,55,81,52,173,54.00,131.00
42,Mymensingh,301,1026,298,1009,311.00,1051.00
43,Netrokona,20,65,20,66,39.00,131.00
44,Sherpur,81,282,53,188,55.00,200.00
5,Mymensingh Division,457,1554,423,1436,459.00,1513.00
45,Bogura,63,142,59.33,130.55,58.65,128.90
46,Joypurhat,23,72,229.33,699.88,213.15,733.16
47,Naogaon,41,113,43.30,118.32,51.38,134.67
48,Natore,176,47,216,871,245.61,935.52
49,Chapai Nawabganj,30,103,31,106,31.00,106.52
50,Pabna,66,75,68.32,183.15,72.65,194.43
51,Rajshahi,4901,28793,5655.25,30121.77,5660.45,29969.00
52,Sirajganj,0,0,0,0,0.00,0.00
6,Rajshahi Division,5300,29793,6302.53,32230.67,6332.89,32202.20
53,Dinajpur,77,278,104,490,117.00,530.00
54,Gaibandha,303,1419,312,1442,323.00,1204.00
55,Kurigram,74,104,75,134,80.12,135.17
56,Lalmonirhat,12,14,13,37.31,12.96,37.40
57,Nilphamari,0,0,0,0,0.00,0.00
58,Panchagar,92,100,92,194,93.00,197.76
59,Rangpur,218,362,226,372,229.00,376.00
60,Thakurgaon,0,0,0,0,0.00,0.00
7,Rangpur Divison,776,2277,822,2669.31,855.08,2480.33
61,Habiganj,354,1280,355,1365,359.00,1388.00
62,Moulvibazar,422,1648,411.25,1668,415.00,1684.00
63,Sunamganj,0,0,0,0,0.00,0.00
64,Sylhet,172,223,176,229,175.00,226.00
8,Sylhet Division,948,3151,942.25,3262,949.00,3298.00
BANGLADESH,,54981.35,214781.50,55526.64,214652.91,53969.34,206993
