District/ Division,,2019-20,,2020-21,,,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,347,1580,305,1397,131,617
2,Barishal,1750,5500,1760,5781,510,1885
3,Bhola,536,1879,563,2039,279,1080
4,Jhallokati,2902,8324,2910,9500,395,2250
5,Patuakhali,554,2717,561,1885.90,472,1699
6,Pirojpur,2768,13390,2786,13454,692,3410
1,Barishal Division,8857,33390,8885,34056.90,2479,10941
7,Bandarban,3822,18396,3830,18430,776,3751.55
8,Brahmanbaria,274,1062,269.65,1030.29,131.40,377.81
9,Chandpur,956,5085,990,5131.68,235.84,1009.28
10,Chattogram,2950,14515,2961.32,14513.03,481.60,2563.68
11,Cumilla,837,3224,849.55,3930,226,1066.62
12,Cox’s Bazar,848,2625,854.91,2315.62,255.46,1076.25
13,Feni,475,2146,483,2155.1,222.85,602.92
14,Khagrachari,7411,26783,7462,26938,1294.34,5459.11
15,Lakshmipur,3257,9109,3250,12432,431,4938.81
16,Noakhali,1282,6406,1212.69,3493.36,328.93,1290.60
17,Rangamati,9183,41718,9230,42734,1040.45,5702.32
2,Chattogram Division,31295,131069,31393.12,133103.08,5423.87,27838.95
18,Dhaka,570,3934,588.56,4075.02,343,1800.17
19,Faridpur,184,602,202,624,207.10,628.63
20,Gazipur,1078,6690,1499.68,9163.26,443.50,2310.52
21,Gopalganj,998,6285,909.9,5384.92,760.50,5221.48
22,Kishoreganj,1503,11413,1536.34,11557.94,184.14,2574.09
23,Madaripur,1392,11777,1584,12195.42,164.27,871.50
24,Manikganj,582,2795,601,1966.03,433.26,1231.28
25,Munshiganj,162,562,170.1,647.66,156.95,595.75
26,Narayanganj,200,1022,195.71,1000.28,127.97,541.42
27,Narsingdi,3858,26170,3677.74,25074.45,99.04,585.66
28,Rajbari,1054,6105,1071,6258.88,1114,11565
29,Shariatpur,389,1338,413,1563,262,1853
30,Tangail,11492,88880,11391.15,88314.68,451.35,2372.53
3,Dhaka Division,23462,167573,23840.18,167825.54,4747.08,32151.03
31,Bagerhat,2063,8551,2077,8637.37,637,1978
32,Chuadanga,1774,17463,1813,17999.44,685,5261
33,Jashore,1969,11023,1973,10150.87,1290,8577
34,Jhenaidah,8064,50330,8152,50351.2,3280,21041
35,Khulna,1304,5405,305,5123.54,872,4590
36,Kushtia,4039,37925,1760,36962,598,6115
37,Magura,1744,15443,563,14819,286,1960
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,2400,36795,2432,37399.12,352,5446
39,Narail,629,4336,638,4394,348,2203
40,Satkhira,997,4658,995.5,6240.93,1192,7765
4,Khulna Division,24983,191929,25007.44,192077.47,9540,64936
41,Jamalpur,1321,7325,1324,7323,227,911
42,Mymensingh,5212,37301,5325,36200,389,2420
43,Netrokona,777,4264,804,4588,143,733
44,Sherpur,1050,6628,623,3480.70,266,1642
5,Mymensingh Division,8360,55518,8076,51591.70,1025,5706
45,Bogura,2564,20314,2572.5,20335.51,210.16,1768.25
46,Joypurhat,402,3200,416.53,3055.44,117.97,703.45
47,Naogaon,1573,13517,1631.83,13864.85,666.25,5452.59
48,Natore,741,5365,856,14360,467.95,7268.97
49,Chapai Nawabganj,398,3176,419.96,3395.41,240.22,1544.03
50,Pabna,741,5365,756,5564.16,695.27,6011.28
51,Rajshahi,4590,43693,4672.5,47822.03,722.68,8150.27
52,Sirajganj,597,4640,583.98,4354.52,273.27,1486.12
6,Rajshahi Division,11606,99270,11909.3,112751.92,3393.77,32384.96
53,Dinajpur,2837,32575,2772,28912,189,862
54,Gaibandha,3476,62728,3459,62407.2,287,1748
55,Kurigram,486,4993,520.53,5296.87,217,1368
56,Lalmonirhat,272,2965,277,3001.12,211,938
57,Nilphamari,398,3542,439.83,3672.82,153,889
58,Panchagar,425,5165,402,5070.5,155,629
59,Rangpur,2323,15180,2321,13041,199,906
60,Thakurgaon,1139,5736,1161.46,5855.58,141,449
7,Rangpur Divison,11356,132884,11352.82,127257.09,1552,7789
61,Habiganj,373,861,279.33,775.06,111.37,403.87
62,Moulvibazar,269,1423,269,1423,130.17,452.98
63,Sunamganj,320,1905,325,1949,10,36
64,Sylhet,896,2086,855,3341,228,799
8,Sylhet Division,1858,6275,1728.33,7488.06,479.54,1691.85
BANGLADESH,,121777,817908,122192.19,826151.76,28640.26,183438.79
