District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,550,600,723,0,0,533,2335,2367,2478,2335,2367,3011
2,Barishal,425,500,630,0,0,0,13800,8601,14100,13800,8601,14100
3,Bhola,440,600,930,0,0,0,5499,14000,5508,5499,14000,5508
4,Jhallokati,677,700,1799,0,0,0,2520,2499,2522,2520,2499,2522
5,Patuakhali,598,750,971,0,0,0,8125,15459,14580,8125,15459,14580
6,Pirojpur,729,800,875,0,0,0,6822,6790,7556,6822,6790,7556
1,Barishal Division,3419,3950,5928,0,0,533,39101,49716,46744,39101,49716,47277
7,Bandarban,190,300,1029,576,1514,1506,771,2245,2241,1347,3759,3747
8,Brahmanbaria,83,150,1001,15812,920,821,555,19987,17692,10291,20907,18513
9,Chandpur,248,480,509,0,0,0,10291,10822,10966,16367,10822,10966
10,Chattogram,997,998,1428,6320,7454,5624,4428,26606,30194,10788,34060,35818
11,Cumilla,789,800,2604,2147,1294,850,234,18616,21207,2381,19910,22057
12,Cox’s Bazar,259,240,256,2163,1915,1530,420,5482,6488,2583,7397,8018
13,Feni,53,100,612,2223,109,109,122,2252,2253,2345,2361,2362
14,Khagrachari,5321,5426,5546,27726,27549,26136,147892,15365,14539,42518,42914,40675
15,Lakshmipur,152,154,131,0,0,0,2372,1484,2584,2372,1484,2584
16,Noakhali,149,147,139,0,0,0,1586,1505,1851,1586,1505,1851
17,Rangamati,3370,3380,3601,30159,29701,26231,17484,17199,17629,47643,46900,43860
2,"Chattogram
Division",11611,12175,16856,87126,70456,62807,53055,121563,127644,140181,192019,190451
18,Dhaka,198,213,216,2412,1048,1068,986,2504,2573,3398,3552,3641
19,Faridpur,517,663,1353,1611,1592,1054,11539,11403,11837,13150,12995,12891
20,Gazipur,4540,6573,6684,62761,15097,14148,12646,80699,87603,75407,95796,101751
21,Gopalganj,185,184,183,1841,395,412,436,1881,2054,2277,2276,2466
22,Kishoreganj,133,200,230,23948,962,962,909,24756,24756,24857,25718,25718
23,Madaripur,150,190,197,0,0,0,2143,2034,2161,2143,2034,2161
24,Manikganj,817,850,1421,0,0,0,5808,5849,5887,5808,5849,5887
25,Munshiganj,58,58,59,0,0,0,788,781,826,788,781,826
26,Narayanganj,26,30,30,2019,157,158,21,1853,1847,2040,2010,2005
27,Narsingdi,1531,1175,1358,21706,4447,4486,1646,22737,22889,23352,27184,27375
