District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,142,146.63,158.49,0,0,0.00,66,68,64.00,66,68,64.00
2,Barishal,493,507.14,305.00,0,0,0.00,750,998,341.00,750,998,341.00
3,Bhola,207,58.35,59.12,0,0,0.00,262,194.28,196.95,262,194.28,196.95
4,Jhallokati,291,372.36,162.00,0,0,0.00,92,130,112.00,92,130,112.00
5,Patuakhali,126,126,127.00,0,0,0.00,30,30,79.00,30,30,79.00
6,Pirojpur,200,59.41,59.50,0,2.92,2.91,10,108.79,108.00,13,111.71,111.71
1,"Barishal
Division",1459,1269.89,871.11,3,2.92,2.91,1210,1529.07,901.75,1213,1531.99,904.66
7,Bandarban,226,217.60,218.10,127,128.22,128.00,124,125.14,129.30,251,253.36,257.30
8,Brahmanbaria,335,133.26,218.21,1485,"1926.0
2",1802.10,757,919.55,875.27,2242,2845.57,2677.37
9,Chandpur,244,43.22,44.91,0,0,0.00,130,188.38,201.24,130,188.38,201.24
10,Chattogram,975,271.63,232.65,623,610.1,601.66,1449,1452.45,1436.64,2072,2062.55,2038.30
11,Cumilla,200,180.13,180.76,52,48.6,48.57,189,213.84,215.87,241,262.44,264.44
12,Cox’s Bazar,180,48.61,48.61,161,115.79,114.75,408,315.95,316.99,569,431.74,431.74
13,Feni,136,72.99,73.33,0,0,0.00,39,39.87,40.18,39,39.87,40.18
14,Khagrachari,224,951.38,954.93,417,"1212.5
3",1300.55,196,842.43,968.11,613,2054.96,2268.66
15,Lakshmipur,109,16.52,24.85,0,0,0.00,85,137.54,182.96,85,137.54,182.96
16,Noakhali,125,23.88,25.18,0,0,0.00,79,81.16,83.40,79,81.16,83.40
17,Rangamati,1278,950.63,942.54,1152,"1086.6
2",1088.39,953,891.89,886.89,2105,1978.51,1975.28
2,"Chattogram
Division",4032,2909.85,2964.07,4017,"5127.8
8",5084.02,4409,5208.20,5336.85,8426,"10336.0
8","10420.8
7"
18,Dhaka,25,22.65,22.83,0,0,0.00,129,138.64,140.44,129,138.64,140.44
19,Faridpur,480,392,393.00,1299,142.42,90.08,589,649.74,738.35,1888,792.16,828.43
20,Gazipur,263,860,863.00,425,431.2,467.69,759,797.80,839.31,1184,1229,1307.00
21,Gopalganj,314,142.55,139.00,0,0,0.00,275,281.76,354.68,275,281.76,354.68
22,Kishoreganj,1435,450.44,445.35,240,280.98,161.37,3495,3528.52,3912.03,3735,3809.50,4073.40
23,Madaripur,52,51.89,54.75,0,0,7.19,74,264.90,319.51,74,264.90,326.70
24,Manikganj,117,117.35,102.17,0,0,0.00,45,203.59,199.48,45,203.59,199.48
25,Munshiganj,40,11.43,12.01,0,0,0.00,84,85.47,86.22,84,85.47,86.22
26,Narayanganj,28,27.90,27.30,200,199.59,77.15,138,137.01,246.44,338,336.60,323.59
27,Narsingdi,450,93.43,92.83,39,38.59,40.01,726,705.03,695.65,765,743.62,735.66
28,Rajbari,228,163.34,164.34,460,559.68,410.64,1286,1194.70,1211.06,1746,1754.38,1621.70
29,Shariatpur,345,80.15,98.15,0,0,0.00,248,246.60,289.20,248,246.60,289.20
30,Tangail,751,108.15,126.14,48,55.8,62.53,1051,1060.82,1076.67,1099,1116.62,1139.20
3,Dhaka Division,4528,2521.28,2540.87,2711,"1708.2
6",1316.66,8899,9294.58,10109.04,11610,"11002.8
4","11425.7
0"
31,Bagerhat,46,69.47,92.98,5,4.18,26.90,6543,556.14,494.94,628,560.32,521.84
32,Chuadanga,165,60.05,60.67,154,153.16,153.11,23,144.31,144.96,301,297.47,298.07
33,Jashore,1378,489,453.79,1126,"1161.9
2",1410.93,42,1851.80,1580.78,2950,3013.72,2991.71
34,Jhenaidah,330,77.15,224.33,69,66.42,302.36,331,153.53,642.41,395,219.95,944.77
35,Khulna,460,86.64,137.11,0,0,13.09,404,320,285.98,369,320,299.07
36,Kushtia,890,450,455.00,1084,"1327.8
7",1360.08,978,2727.13,2808.92,3012,4055,4169.00
37,Magura,506,372.86,157.31,30,39,178.31,981,2141.88,2181.15,1011,2180.88,2359.46
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
38,Meherpur,380,383.90,355.57,671,200.61,623.36,190,199.06,156.53,861,871.35,779.89
39,Narail,393,292,297.24,210,370.86,208.01,728,731.75,745.25,929,932.36,953.26
40,Satkhira,350,245.43,270.69,338,"3996.3
1",208.85,300,305.16,425.41,638,676.02,634.26
4,"Khulna
Division",4898,2526.50,2504.69,3678,487.52,4485.00,7416,9130.76,9466.33,11094,"13127.0
7","13951.3
3"
41,Jamalpur,751,451,469.00,488,0,513.78,1416,1435.48,1558.22,1923,1923,2072.00
42,Mymensingh,2530,1530,1523.00,0,0,373.12,4228,3328,3695.88,4228,3328,4069.00
43,Netrokona,304,204,203.00,0,0,0.00,767,767,908.00,767,767,908.00
44,Sherpur,50,15.11,112.00,0,487.52,17.71,556,66,504.29,556,66,522.00
5,"Mymensingh
Division",3635,2200.11,2307.00,488,929.17,904.61,6986,5596.48,6666.39,7474,6084,7571.00
45,Bogura,624,255.63,257.00,617,94.41,919.11,1333,1272.63,1210.79,1950,2201.80,2129.90
46,Joypurhat,133,44.90,34.00,98,250.19,96.60,227,225.22,235.40,325,319.63,332.00
47,Naogaon,407,131.08,90.00,332,"1890.1
5",395.92,903,1022.81,990.08,1235,1273,1386.00
48,Natore,1290,168.70,1763.53,1533,252.62,6177.99,1021,1370.85,1919.01,2554,3261,8097.00
49,"Chapai
Nawabganj",300,227.09,230.00,242,"3326.4
8",290.56,472,487.70,561.44,714,740.32,852.00
50,Pabna,1992,887.02,791.00,4013,"2025.8
5",3591.19,3169,4101.22,4366.81,7182,7427.70,7958.00
51,Rajshahi,722,691.69,700.00,2019,245.1,2060.83,1709,1811.55,1819.17,3728,3837.40,3880.00
52,Sirajganj,231,32.78,33.00,15,"9013.9
7",37.89,594,335.50,389.11,609,580.60,427.00
6,"Rajshahi
Division",5699,2438.89,3898.53,8869,"6705.8
7",13570.09,9428,10627.48,11491.81,18297,"19641.4
5","25061.9
0"
53,Dinajpur,1957,197.30,1983.00,6543,22.92,7001.57,3807,3898.13,4141.43,10350,10604,"11143.0
0"
54,Gaibandha,210,114.45,64.44,23,78.16,25.74,408,420.91,368.25,431,443.83,393.99
55,Kurigram,211,122.67,123.96,42,375.29,81.93,559,617.04,646.17,601,695.20,728.10
56,Lalmonirhat,320,180.84,181.97,331,414.72,337.75,399,451.76,407.06,730,827.05,744.81
57,Nilphamari,607,398.62,404.41,404,914.63,417.56,1109,1103.51,1047.26,1513,1518.23,1464.82
58,Panchagar,1787,728.44,729.11,978,"2156.3
6",979.56,1813,1714.37,1839.68,2791,2629,2819.24
59,Rangpur,739,288.03,119.33,504,"1180.1
6",588.08,1562,2187.53,1576.18,2066,4343.89,2164.26
