District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,188,665,254,881,260.00,879.00
2,Barishal,300,1050,320,1065,246.00,1017.00
3,Bhola,713,2739,741,2753,759.00,2792.00
4,Jhallokati,103,298,95,270,113.00,353.00
5,Patuakhali,232,984,242,334,332.00,482.60
6,Pirojpur,247,1331,248,1351,249.00,1255.00
1,Barishal Division,1783,7031,1900,6654,1959.00,6778.60
7,Bandarban,65,190,63,183.98,62.20,181.60
8,Brahmanbaria,89,422,90.50,431.50,99.00,492.27
9,Chandpur,141,506,185.91,871.10,186.22,996.31
10,Chattogram,547,1863,574.20,2191.99,575.07,3261.63
11,Cumilla,542,33497,556.43,3612.90,557.00,3613.00
12,Cox’s Bazar,245,1322,249,1323.50,247.32,1321.71
13,Feni,14,33,14.33,33.80,14.52,34.45
14,Khagrachari,44,113,47.30,122.72,51.10,137.32
15,Lakshmipur,59,249,107,440,117.60,489.96
16,Noakhali,74,269,66,373,70.00,395.00
17,Rangamati,75,336,69.27,329.12,71.28,336.27
2,Chattogram Division,1898,88 00,2022.94,9913.61,2051.31,11259.52
18,Dhaka,25,85,23,73.60,22.00,70.70
19,Faridpur,731,4221,710.64,4075.77,693.00,3953.17
20,Gazipur,23,66,23.26,68.51,26.44,74.76
21,Gopalganj,397,4087,356.67,3719.6,359.48,4256.48
22,Kishoreganj,18,60,25.26,80.31,25.20,78.52
23,Madaripur,241,1900,247.33,1674.77,243.99,1266.49
24,Manikganj,181,465,194.90,521.10,189.33,537.52
25,Munshiganj,143,895,144.05,741.91,142.75,751.47
26,Narayanganj,74,435,66.50,377.73,65.50,374.11
27,Narsingdi,72,383,29.86,114.86,83.21,428.58
28,Rajbari,382,1931,386,1961,382.00,1971.00
29,Shariatpur,143,243,202,575,202.00,575.00
30,Tangail,103,306,98.41,292.13,101.67,269.43
3,Dhaka Division,2533,15077,2507.88,14276.29,2536.57,14607.23
31,Bagerhat,184,699,213.40,904.24,215.00,925.69
32,Chuadanga,111,574,123.15,634.90,115.20,589.80
33,Jashore,171,553,169,556,171.00,563.80
34,Jhenaidah,107,324,109,336.14,109.50,337.69
35,Khulna,79,258,106.48,433.47,112.08,451.46
36,Kushtia,103,396,105,416,113.00,437.00
37,Magura,41,141,43.03,148.42,43.81,148.57
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,13,61,13,78,15.00,78.00
39,Narail,116,378,122.50,412.98,128.50,441.76
40,Satkhira,0,0,0,0,0.00,0.00
4,Khulna Division,925,3384,1004.56,3920.15,1023.09,3973.77
41,Jamalpur,97,270,93,263,96.00,277.00
42,Mymensingh,61,212,56,202,62.00,225.00
43,Netrokona,56,183,53,173,52.00,168.00
44,Sherpur,79,298,70,264,76.00,293.00
5,Mymensingh Division,293,963,272,902,286.00,963.00
45,Bogura,71,231,68.53,214.65,69.14,221.27
46,Joypurhat,44,140,44.13,200.30,35.42,157.99
47,Naogaon,70,238,69.06,227.31,75.02,374.07
48,Natore,331,1414,1200,7273,1191.94,7194.03
49,Chapai Nawabganj,20,102,20.94,109.48,21.79,111.76
50,Pabna,489,2140,502.50,2171.49,511.75,2248.30
51,Rajshahi,15,58,13,52.60,15.56,62.66
52,Sirajganj,116,440,136.79,603.23,138.25,652.82
6,Rajshahi Division,1156,4763,2054.95,10852.06,2058.87,11022.90
53,Dinajpur,74,197,76,201,80.00,254.00
54,Gaibandha,58,139,61,188,60.00,162.42
55,Kurigram,12,36,47,104,48.75,89.46
56,Lalmonirhat,0,0,0,0,0.00,0.00
57,Nilphamari,5,13,6,17,6.01,16.53
58,Panchagar,0,0,0,0,0.00,0.00
59,Rangpur,55,180,57,123,60.00,132.00
60,Thakurgaon,44,107,41,129,43.40,134.49
7,Rangpur Divison,248,672,288,762,298.16,788.90
61,Habiganj,18,47,18.37,48.09,15.00,34.86
62,Moulvibazar,4,7,2.45,2.89,0.00,0.00
63,Sunamganj,7,19,4,28,8.00,63.00
64,Sylhet,23,61,22,61.08,28.00,81.00
8,Sylhet Division,52,134,46.82,140.06,51.00,178.86
BANGLADESH,,8888,40824,10097.15,47420.17,10264.00,49572.78
