District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,221,186,254,0,0,0,149,178,167,149,178,167
2,Barishal,985,506.66,523.33,0,0,0,928,820,800,928,820,800
3,Bhola,373,69.87,69.10,0,0,0,245,285.50,466.10,245,285.50,466.10
4,Jhallokati,143,166.84,192.19,0,0,0,86,88,114,86,88,114
5,Patuakhali,326,144.33,147,0,0,0,245,195.9,212,245,195.90,212
6,Pirojpur,233,75.57,76.74,0,0,0,97,95.52,98.81,97,95.52,98.81
1,Barishal Division,2281,1149.27,1262.32,0,0,0,1750,1662.92,1857.91,1750,1662.92,1857.91
7,Bandarban,103,27,28,67,64.15,62.99,205,213.77,204.01,268,277.92,267
8,Brahmanbaria,555,274,278,0,0,0,415,928.46,960,415,928.46,960
9,Chandpur,402,68,84,0,0,0,458,501.86,435,458,501.86,435
10,Chattogram,1775,464,474,31,15.52,15.4,1408,1404.48,1409.60,1423,1420,1425
11,Cumilla,1116,469,472,257,164.26,167.85,1162,1368.74,1414.15,1533,1533,1582
12,Cox’s Bazar,318,57,75,41,0,0,459,852,851,516,852,851
13,Feni,281,172,179,0,0,0,181,251.29,182,181,251.29,182
14,Khagrachari,730,394,404,11,16.49,10.93,723,723.39,739.07,734,739.88,750
15,Lakshmipur,222,27,31,3,0,0,160,162.27,133,160,162.27,133
16,Noakhali,277,51,46,0,0,0,114,116.67,153,114,116.67,153
17,Rangamati,353,374,371,83,99.04,159.80,416,445.35,347.20,508,544.39,507
2,"Chattogram
Division",6132,2377,2442,493,359.46,416.97,5701,6968.28,6828.03,6310,7327.74,7245
18,Dhaka,177,19.87,42.12,17,0,0,137,163.95,174.10,137,163.95,174.10
19,Faridpur,804,193,193,0,0,0,461,680.06,680.10,461,680.06,680.10
20,Gazipur,446,150.40,106,13,0,0,366,393.05,429,366,393.05,429
21,Gopalganj,527,91.83,103,0,0,0,395,402,375.20,395,402,375.20
22,Kishoreganj,535,239.73,320.51,57,0,0,1423,1293.70,1359,1423,1293.70,1359
23,Madaripur,696,146.16,140,0,0,0,599,530.47,559,599,530.47,559
24,Manikganj,201,188.18,189,3,0,0,47,326.89,326,53,326.89,326
25,Munshiganj,69,16.31,17,0,0,0,125,105.54,100.23,125,105.54,100.23
26,Narayanganj,86,10.08,10.02,0,0,0,126,122.90,118.82,126,122.90,118.82
27,Narsingdi,229,39.45,36.67,7,0,0,536,510.73,515.21,536,510.73,515.21
28,Rajbari,1294,258.82,261.77,0,0,0,2422,3036.05,3030.75,2563,3036.05,3030.75
29,Shariatpur,723,164.28,207.52,0,0,0,277,401.60,602.01,277,401.60,602.01
30,Tangail,562,80.40,89.04,0,0,0,533,511.71,521.85,533,511.71,521.85
3,Dhaka Division,6349,1598.51,1715.65,97,0,0,7447,8478.65,8791.27,7594,8478.65,8791.27
31,Bagerhat,406,35.13,47,0,18.60,9.33,201,368.38,185.67,201,386.98,195
32,Chuadanga,92,52.45,51,113,0,0,141,120.77,120,141,120.77,120
33,Jashore,638,265.08,279,0,0,0,990,902.73,954,990,902.73,954
34,Jhenaidah,1066,147.23,163,197,0,0,1199,1509.78,1111,1412,1509.78,1111
35,Khulna,309,96.45,123,0,0,9.23,345,314.95,305.77,345,314.95,315
36,Kushtia,3044,1037,760,485,480.52,327.21,7026,6920.48,6966.79,7512,7401,7294
37,Magura,556,161.68,159,11,0,93.79,970,566.27,565.21,970,656.95,659
38,Meherpur,114,102.84,109,76,74.96,77.13,150,151.04,159.87,228,226,237
39,Narail,171,80.54,83,38,0,0,197,227.10,239,235,227.10,239
40,Satkhira,861,561.91,588,419,565.96,0,288,1258.79,1117,700,1824.75,1117
4,Khulna Division,7257,2540.31,2362,1339,1230.72,516.69,11507,12340.2,"11724.3
1",12734,13571.0,12241
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
,,,,,,,,,9,,,1,
41,Jamalpur,1001,774,787,63,0,0,2050,2136,2129,2050,2136,2129
42,Mymensingh,2211,1225,1237,655,0,0,2997,3676,3719,3740,3676,3719
43,Netrokona,683,526,399,56,0,0,1790,2051,1696,1790,2051,1696
44,Sherpur,557,237.65,200,0,0,0,1120,802,915,1120,802,915
5,"Mymensingh
Division",4452,2763,2623,774,0,0,7957,8665,8459,8700,8665,8459
45,Bogura,750,170.79,109.69,0,0,0,2109,1704,704,2109,1704,704
46,Joypurhat,178,67.46,57.03,0,0,0,169,496.05,259.39,169,496.05,259.39
47,Naogaon,403,130.02,132.32,0,0,0,587,488.99,483.06,587,488.99,483.06
48,Natore,1068,217.72,189.68,17,0,0,3076,1848.96,797.10,3313,1848.96,797.10
49,Chapai Nawabganj,91,70.53,73.70,0,0,0,100,105.90,113.93,100,105.90,113.93
50,Pabna,566,196.13,191.94,0,0,0,838,827.86,834.16,838,827.86,834.16
51,Rajshahi,194,138.31,142.24,0,0,0,586,566.86,576.27,586,566.86,576.27
52,Sirajganj,479,56.84,51.64,0,0,0,634,602.22,585.30,634,602.22,585.30
6,Rajshahi Division,3729,1047.80,948.24,237,0,0,8099,6640.84,4353.34,8336,6640.84,4353.34
53,Dinajpur,320,111.63,108,0,0,0,566,574.27,510,566,574.27,510
54,Gaibandha,1572,89.17,91.17,0,0,0,289,307.60,322.92,289,307.60,322.92
55,Kurigram,996,191.19,186.72,0,0,0,1508,1564.60,1523.94,1508,1564.60,1523.94
56,Lalmonirhat,142,37.67,38.81,0,0,0,227,179.89,186.71,227,179.89,186.71
57,Nilphamari,378,62.39,134.55,0,0,0,688,606.59,627.87,688,606.59,627.87
58,Panchagar,206,78.94,136.43,0,0,0,440,495.20,480.70,440,495.20,480.70
59,Rangpur,458,52.40,86.71,0,0,0,819,844.40,815.54,819,844.40,815.54
60,Thakurgaon,203,46.19,46.21,0,0,0,492,509.22,511.43,492,509.22,511.43
7,Rangpur Divison,4275,669.58,828.60,0,0,0,5029,5081.77,4979.11,5029,5081.77,4979.11
61,Habiganj,565,688.58,240.35,18,0,17.47,2065,1346.35,2075.62,2083,1346.35,2093.09
62,Moulvibazar,262,102.59,144.51,0,0,0,508,442.56,416.92,508,442.56,416.92
63,Sunamganj,1954,453,453,144,0,0,3137,3418,3418,3281,3418,3418
64,Sylhet,242,361.72,337.27,0,0,0,259,293.37,281.24,259,293.37,281.24
8,Sylhet Division,3023,1605.89,1175.13,162,0,17.47,5969,5500.28,6191.78,6131,5500.28,6209.25
BANGLADESH,,37498,"13751.0
1","13357.2
9",3125,1590.18,951.13,53459,"55338.0
3","53184.7
5",56584,"56928.2
1","54135.8
8"
