District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,68,80.38,72.38,0,0,0.00,72,75,74.80,72,75,74.80
2,Barishal,537,563.88,563.28,0,0,0.00,520,521,389.00,520,521,389.00
3,Bhola,145,155.34,139.78,0,0,0.00,152,160,164.49,152,160,164.49
4,Jhallokati,143,151.48,160.80,0,0,0.00,94,97,124.00,94,97,124.00
5,Patuakhali,463,487.30,497.48,0,0,0.00,587,641,685.22,587,641,685.22
6,Pirojpur,111,117.28,117.16,0,0,0.00,81,80,80.02,81,80,80.02
1,Barishal Division,1467,1555.66,1550.88,0,0,0.00,1506,1574,1517.53,1506,1574,1517.53
7,Bandarban,79,83.62,84.84,30,31,32.15,136,136,137.95,166,167,170.10
8,Brahmanbaria,154,166.52,168.36,0,0,0.00,400,406,404.20,400,406,404.20
9,Chandpur,203,246.64,248.76,0,0,0.00,316,303,314.60,316,303,314.60
10,Chattogram,550,586.10,584.14,119,104,111.36,1306,1304,1344.25,1425,1408,"1455.6
1"
11,Cumilla,364,384.04,383.24,170,124,123.09,551,613,610.21,721,737,733.30
12,Cox’s Bazar,143,143.60,135.70,0,0,0.00,93,269,267.50,93,269,267.50
13,Feni,116,122.76,123.60,0,0,0.00,87,88,90.30,87,88,90.30
14,Khagrachari,676,716.46,717.60,140,0,0.00,1194,1306,1407.10,1334,1306,"1407.1
0"
15,Lakshmipur,105,113.24,114.64,0,0,0.00,71,69,78.10,71,69,78.10
16,Noakhali,177,183.86,189.30,0,0,0.00,204,237,237.60,204,237,237.60
17,Rangamati,404,426.82,427.80,132,131,131.44,746,749,745.01,878,880,876.45
2,"Chattogram
Division",2972,3173.66,3177.98,591,390,398.04,5104,5480,5636.82,5695,5870,6034.86
18,Dhaka,189,176.12,172.16,0,0,0.00,245,240,234.66,245,240,234.66
19,Faridpur,580,558.74,561.60,0,0,0.00,662,670,687.20,662,670,687.20
20,Gazipur,1275,358.72,361.70,184,0,0.00,1550,748,755.50,1734,748,755.50
21,Gopalganj,439,358.52,361.46,33,29,20.69,431,16,417.93,464,45,438.62
22,Kishoreganj,421,451.90,454.26,0,0,0.00,1054,1074,1101.00,1054,1074,"1101.0
0"
23,Madaripur,174,212.10,223.74,0,0,0.00,192,226,246.66,192,226,246.66
24,Manikganj,159,167.42,167.70,0,0,0.00,288,312,322.59,288,312,322.59
25,Munshiganj,98,104.18,106.34,0,0,0.00,147,153,169.30,147,153,169.30
26,Narayanganj,109,102.58,98.96,0,0,0.00,195,188,171.49,195,188,171.49
27,Narsingdi,264,280.20,282.74,0,0,0.00,666,665,437.55,666,665,437.55
28,Rajbari,145,156.28,164.28,0,0,0.00,230,265,276.02,230,265,276.02
29,Shariatpur,1361,1215.50,1204.86,700,0,0.00,53,1785,853.30,753,1785,853.30
30,Tangail,540,497.84,508.10,0,0,0.00,655,670,706.23,655,670,706.23
3,Dhaka Division,5753,4640.10,4667.90,917,29,20.69,6368,7012,6379.43,7285,7041,6400.12
31,Bagerhat,464,490.66,497.46,0,0,0.00,482,490,497.00,482,490,497.00
32,Chuadanga,94,99.24,99.60,0,0,0.00,246,236,239.00,246,236,239.00
33,Jashore,522,549.52,553.80,0,0,0.00,912,891,893.00,912,891,893.00
34,Jhenaidah,198,211.32,212.90,0,0,0.00,395,391,395.00,395,391,395.00
35,Khulna,475,508.14,509.60,0,0,0.00,583,584,589.00,583,584,589.00
36,Kushtia,276,255.72,255.34,0,0,0.00,1222,1215,1206.00,1222,1215,"1206.0
0"
37,Magura,512,514.24,510.60,0,0,0.00,1247,1200,1178.00,1247,1200,"1178.0
0"
38,Meherpur,57,63.36,66.04,0,0,0.00,130,138,156.00,130,138,156.00
39,Narail,116,106.88,107.04,20,0,0.00,163,162,162.00,183,162,162.00
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
40,Satkhira,430,417.50,420.64,113,0,0.00,597,701,719.00,710,701,719.00
4,Khulna Division,3144,3216.58,3233.02,133,0,0.00,5977,6008,6034.00,6110,6008,6034.00
41,Jamalpur,330,324.08,328.22,0,0,0.00,485,506,534.00,485,506,534.00
42,Mymensingh,1149,1207.34,1180.44,73,0,0.00,1598,1629,1616.00,1671,1629,"1616.0
0"
43,Netrokona,320,287.50,289.46,0,0,0.00,1042,721,673.00,1042,721,673.00
44,Sherpur,169,178.96,180.32,0,0,0.00,321,324,326.00,321,324,326.00
5,"Mymensingh
Division",1968,1997.88,1978.44,73,0,0.00,3446,3180,3149.00,3519,3180,3149.00
45,Bogura,326,344.42,303.42,0,0,0.00,638,639,534.63,638,639,534.63
46,Joypurhat,128,131.86,133.68,0,0,0.00,183,226,237.28,183,226,237.28
47,Naogaon,219,230.34,234.96,0,0,0.00,403,382,305.23,403,382,305.23
48,Natore,627,549.46,548.88,0,0,0.00,1031,1004,1004.51,1031,1004,"1004.5
1"
49,Chapai Nawabganj,125,119.88,124.23,0,0,0.00,246,254,271.54,246,254,271.54
50,Pabna,342,360.02,364.10,105,0,0.00,902,1022,914.52,1007,1022,914.52
51,Rajshahi,240,217.64,236.38,0,0,0.00,573,644,692.17,573,644,692.17
52,Sirajganj,260,256.40,261.44,0,114,0.00,455,448,554.56,455,562,554.56
6,Rajshahi Division,2267,2210.02,2207.18,105,114,0.00,4431,4619,4514.44,4536,4733,4514.44
53,Dinajpur,160,163.24,150.44,0,0,0.00,180,163,157.00,180,163,157.00
54,Gaibandha,70,65.58,65.82,0,0,0.00,64,64,71.42,64,64,71.42
55,Kurigram,84,84.66,83.68,0,0,0.00,158,171,132.85,158,171,132.85
56,Lalmonirhat,192,191.66,169.18,0,0,0.00,189,90,157.00,189,90,157.00
57,Nilphamari,144,169.70,168.90,0,0,0.00,183,293,304.68,183,293,304.68
58,Panchagar,113,95.80,97.08,0,0,0.00,115,128,138.71,115,128,138.71
59,Rangpur,118,125.58,127.24,0,0,0.00,175,233,242.22,175,233,242.22
60,Thakurgaon,56,49.86,37.94,0,0,0.00,69,72,51.74,69,72,51.74
7,Rangpur Divison,937,946.08,900.28,0,0,0.00,1133,1214,1255.62,1133,1214,1255.62
61,Habiganj,53,62.52,68.02,0,1,1.25,71,88,103.70,71,89,104.95
62,Moulvibazar,58,46.76,48.24,0,0,0.00,132,113,100.13,132,113,100.13
63,Sunamganj,70,50.32,52.36,0,0,0.00,62,69,83.00,62,69,83.00
64,Sylhet,95,95.60,91.04,0,3,6.83,67,115,105.27,67,118,112.10
8,Sylhet Division,276,255.20,259.66,0,4,8.08,332,385,392.10,332,389,400.18
BANGLADESH,,18784,17995.18,17975.34,1819,537,426.81,28297,29472,28878.94,30116,30009,29305.75
