District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,180,200,205.00,0,0,0.00,280,374,352.00,280,374,352.00
2,Barishal,467,472,475.58,0,0,0.00,990,910,"1005.0
0",990,910,"1005.0
0"
3,Bhola,200,210,85.01,0,0,0.00,608,621,549.60,608,621,549.60
4,Jhallokati,102,112,143.00,0,0,0.00,195,252,282.00,195,252,282.00
5,Patuakhali,500,516,79.05,0,0,0.00,981,920,"1013.5
9",981,920,"1013.5
9"
6,Pirojpur,255,200,14.74,0,0,0.00,502,507,506.81,502,507,506.81
1,Barishal Division,1704,1710,1002.38,0,0,0.00,3556,3584,3709.00,3556,3584,3709.00
7,Bandarban,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
8,Brahmanbaria,39,44,42.66,0,0,0.00,79,84,97.46,79,84,97.46
9,Chandpur,488,490,37.17,0,0,0.00,163,390,412.86,166,390,412.86
10,Chattogram,266,250,8.10,0,0,0.00,52,278,61.05,57,278,61.05
11,Cumilla,250,252,116.73,0,0,0.00,355,300,301.67,355,300,301.67
12,Cox’s Bazar,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
13,Feni,0.47,3.00,3.01,0,0,0.00,2,28,14.07,2,28,14.07
14,Khagrachari,111,108,15.61,0,0,0.00,217,213,42.44,217,213,42.44
15,Lakshmipur,160,120,58.40,0,0,0.00,276,272,0.41,276,272,0.41
16,Noakhali,45,44,41.64,0,0,0.00,977,974,543.60,977,974,543.60
17,Rangamati,283,304,375.70,35,34,957.81,418,452,207.30,453,486,"1165.1
1"
2,"Chattogram
Division",1642.47,1615,699.02,43,34,957.81,2539,2991,1680.86,2582,3025,2638.67
18,Dhaka,13,25,16.21,0,0,0.00,49,322,412.56,49,322,412.56
19,Faridpur,66,69,65.00,0,0,0.00,78,83,86.54,78,83,86.54
20,Gazipur,43,50,22.00,0,0,0.00,111,122,127.40,111,122,127.40
21,Gopalganj,208,200,60.49,0,0,0.00,401,451,307.15,401,451,307.15
22,Kishoreganj,1,1,4.11,0,0,0.00,9,10,16.93,9,10,16.93
23,Madaripur,42,27,24.24,0,0,0.00,471,415,374.41,471,415,374.41
24,Manikganj,21,23,22.06,0,0,0.00,76,73,75.20,76,73,75.20
25,Munshiganj,307,300,16.21,0,0,0.00,184,186,199.91,184,186,199.91
26,Narayanganj,3,3,2.56,7,7,230.00,30,23,200.54,37,30,430.54
27,Narsingdi,3,3,2.99,0,0,0.00,34,33,34.44,34,33,34.44
28,Rajbari,4,9,7.60,00,0,0.00,42,45,44.50,42,45,44.50
29,Shariatpur,380,350,58.25,0,0,0.00,376,368,372.12,376,368,372.12
30,Tangail,6,7,7.41,0,0,0.00,49,53,59.10,49,53,59.10
3,Dhaka Division,1097,1067,309.13,7,7,230.00,1910,2184,"2310.8
0",1917,2191,"2540.8
0"
31,Bagerhat,20,37,36.52,0,0,0.00,402,396,394.00,402,396,394.00
32,Chuadanga,2,2,1.94,0,0,0.00,11,12,4.00,11,12,4.00
33,Jashore,2,3,2.82,0,0,0.00,42,42,45.00,42,42,45.00
34,Jhenaidah,0.42,0.33,0.38,0,0,0.00,1,0.01,1.00,1,0.01,1.00
35,Khulna,23,19,18.58,18,0,0.00,47,114,106.00,65,114,106.00
36,Kushtia,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
37,Magura,22,13,9.47,0,0,0.00,215,155,37.00,215,155,37.00
38,Meherpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
39,Narail,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
40,Satkhira,65,60,82.15,0,0,0.00,129,103,76.00,129,103,76.00
4,Khulna Division,134.42,134.33,151.86,18,0,0.00,847,822.01,663.00,865,822.01,663.00
41,Jamalpur,52,41,43.00,0,0,0.00,183,188,194.00,183,188,194.00
42,Mymensingh,147,150,58.00,0,0,0.00,103,102,141.00,103,102,141.00
43,Netrokona,44,55,23.00,0,0,0.00,128,158,182.00,128,158,182.00
44,Sherpur,3,3,5.00,0,0,0.00,22,17,57.00,22,17,57.00
5,"Mymensingh
Division",246,249,362.00,0,0,0.00,436,465,574.00,436,465,574.00
45,Bogura,0.16,0.18,0.00,0,0,0.00,1,0.53,1.00,1,0.53,1.00
46,Joypurhat,2,2,2.00,0,0,0.00,17,21,21.00,17,21,21.00
47,Naogaon,0.50,2,1.00,0,0,0.00,1,1.43,0.00,1,1.43,0.00
48,Natore,0,0,0.00,0,0,0.00,0,0,1.00,0,0,1.00
49,Chapai Nawabganj,0.10,0.10,0.00,0,0,0.00,0,0.52,0.00,1,0.52,0.00
50,Pabna,0,0,0.00,0,0,0.00,0,0,1.00,0,0,1.00
51,Rajshahi,0,0,2.00,0,0,0.00,0,0,3.00,0,0,3.00
52,Sirajganj,0.40,0.48,1.00,0,0,0.00,3,3,4.00,3,3,4.00
6,Rajshahi Division,3.16,4.76,182.00,0,0,0.00,23,26.48,31.00,23,26.48,31.00
