District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,30,75,38,110,37.00,108.00
2,Barishal,220,753,229,887,238.00,823.00
3,Bhola,32,70,36,52,33.30,54.16
4,Jhallokati,163,299,184,483,188.00,494.00
5,Patuakhali,108,190,96,159,99.00,165.18
6,Pirojpur,214,597,203,588,256.00,744.00
1,Barishal Division,767,1984,786,2279,851.30,2388.34
7,Bandarban,37,45,38,45.95,39.00,47.20
8,Brahmanbaria,12,73,11.10,63.12,9.60,47.22
9,Chandpur,57,86,58.85,111.04,56.49,103.38
10,Chattogram,234,444,164.95,315.07,160.77,313.20
11,Cumilla,11,27,10.33,24.83,10.18,26.30
12,Cox’s Bazar,0,0,24.32,101.13,24.22,100.76
13,Feni,19,50,20.43,78.17,21.15,79.25
14,Khagrachari,161,479,169.80,518.46,180.05,552.31
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,4,8,11.05,51.15,11.42,34.54
17,Rangamati,168,444,164.45,421.78,154.55,427.95
2,Chattogram Division,703,1656,673.28,1733.70,667.43,1732.11
18,Dhaka,113,412,112.8,412.12,92.35,346.49
19,Faridpur,199,846,193,837,168.10,694.69
20,Gazipur,34,113,86.31,315.46,85.47,310.73
21,Gopalganj,68,264,71.05,275.98,69.35,322.56
22,Kishoreganj,7,12,5.40,14.90,3.25,8.22
23,Madaripur,18,54,21,85.80,16.45,52.41
24,Manikganj,40,47,32.35,48.19,33.47,57.29
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,51,166,49.15,161.70,52.95,164.95
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,69,248,71,254,68.00,239.00
29,Shariatpur,10,26,0,0,0,0
30,Tangail,218,709,171.76,539.83,147.75,443.30
3,Dhaka Division,827,2897,813.82,2944.98,737.14,2639.64
31,Bagerhat,241,556,183.80,315.30,178.00,316.00
32,Chuadanga,135,668,108,532.30,105.00,521.00
33,Jashore,176,786,200,909,224.00,1020.00
34,Jhenaidah,277,1353,284,1406,294.00,1474.00
35,Khulna,151,502,157.56,688.57,168.00,516.00
36,Kushtia,157,660,159,694,169.00,701.00
37,Magura,40,169,42.83,181.43,42.00,178.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0,0,0,0
39,Narail,158,535,145.90,488.52,149.00,501.00
40,Satkhira,270,1348,269.50,1340.40,302.00,1549.00
4,Khulna Division,1605,6577,1550.59,6555.64,1631.00,6776.00
41,Jamalpur,20,54,22,61,24.00,67.00
42,Mymensingh,66,257,96,286,68.00,214.00
43,Netrokona,11,34,15,37,42.00,125.00
44,Sherpur,14,230,19,57,58.00,182.00
5,Mymensingh Division,111,575,152,441,192.00,588.00
45,Bogura,11,44,17.26,112.10,17.63,111.93
46,Joypurhat,25,106,27.70,103.03,28.53,105.34
47,Naogaon,61,232,58.63,222.86,48.38,181.52
48,Natore,66,182,80,360.26,76.75,310.91
49,Chapai Nawabganj,54,115,51.65,107.36,49.21,106.32
50,Pabna,40,95,36,71.97,36.65,114.91
51,Rajshahi,669,1588,40.90,291.82,47.67,335.34
52,Sirajganj,271,585,32.50,123.50,43.98,149.76
6,Rajshahi Division,1197,2947,344.64,1392.90,348.80,1416.03
53,Dinajpur,155,443,151,435,134.00,696.00
54,Gaibandha,5,10,4,9,4.00,8.00
55,Kurigram,0,0,0.19,1.33,0.67,1.67
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,2,9,0,0,0,0
58,Panchagar,56,87,78,140.90,90.00,162.54
59,Rangpur,25,89,29,106,31.00,109.00
60,Thakurgaon,67,135,69,140,76.74,158.70
7,Rangpur Divison,310,773,331.19,832.23,336.41,1135.91
61,Habiganj,0,0,0,0,0,0
62,Moulvibazar,145,175,140.50,169.30,139.91,248.16
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet Division,145,175,140.50,169.30,139.91,248.16
BANGLADESH,,5665,17584,4792.02,16348.75,4903.99,16924.19
