District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0
7,Bandarban,215,346,216,347.34,217,349.10
8,Brahmanbaria,24,149,24.1,145.5,22.60,132.71
9,Chandpur,3,4,3.65,4.38,1.90,2.30
10,Chattogram,1116,3068,1108.17,3022.47,1045.52,3773.95
11,Cumilla,34,122,32.62,119.28,32.25,117.80
12,Cox’s Bazar,309,846,281.13,779.56,236.25,931.77
13,Feni,59,167,41.3,127.72,43,134
14,Khagrachari,3180,13215,3259.1,13636.44,3320,13992.81
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,24,59,57.25,190.25,59.90,206.49
17,Rangamati,454,1252,450,1199.43,442.70,1216.45
2,Chattogram Division,5418,19228,5473.32,19572.37,5421.12,20857.38
18,Dhaka,0,0,0,0,0,0
19,Faridpur,187,835,191,837,186,811.40
20,Gazipur,78,215,86.93,264.43,76.44,249.66
21,Gopalganj,17,69,18,72.63,13,62.87
22,Kishoreganj,148,466,106.52,417.02,79.15,306.18
23,Madaripur,0,0,0,0,0,0
24,Manikganj,9,23,8,24,8,24
25,Munshiganj,24,18,0,0,0,0
26,Narayanganj,54,163,54.8,165.52,58.50,170.70
27,Narsingdi,8,30,8.55,29.93,8.81,30.89
28,Rajbari,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0
30,Tangail,1206,4671,1173.97,4505.49,777.85,3041.04
3,Dhaka Division,1731,6490,1647.77,6316.02,1207.75,4696.74
31,Bagerhat,22,353,23,37,21,36
32,Chuadanga,69,302,70,312,59,266
33,Jashore,76,280,88,328,94,349
34,Jhenaidah,77,290,77,281,75,273
35,Khulna,106,354,51,180,51,127
36,Kushtia,0,0,0,0,29,130
37,Magura,11,37,12,40,11,35
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,113,374,111,366,115,437
4,Khulna Division,474,1990,432,1544,455,1653
41,Jamalpur,77,192,80,196,62,154
42,Mymensingh,287,873,329,973,304,940
43,Netrokona,202,555,180,560,166,529
44,Sherpur,62,437,80,292,120,427
5,Mymensingh Division,628,2057,669,2021,652,2050
45,Bogura,63,443,68,228,69.62,236.90
46,Joypurhat,164,588,109,422,27,99.36
47,Naogaon,83,299,95,331,65.40,234.96
48,Natore,64,161,16,55,25.50,88.11
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,226,387,229,397,237.50,740.02
51,Rajshahi,45,133,20,115,7.46,47.35
52,Sirajganj,76,292,47,157,55.02,215.43
6,Rajshahi Division,721,2303,584,1705,487.50,1662.13
53,Dinajpur,136,424,135,424,132,670
54,Gaibandha,56,132,47,107,42,97
55,Kurigram,31,99,80,210,166,580
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,48,224,41,152,44,164
58,Panchagar,75,239,92,238,110,270
59,Rangpur,25,56,41,115,43,117
60,Thakurgaon,33,63,35,63,34,64
7,Rangpur Divison,404,1237,471,1309,571,1962
61,Habiganj,277,568,285,573,234.18,573.67
62,Moulvibazar,183,276,81,180,75,168.38
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,115,332,90,244,102.20,363.97
8,Sylhet Division,575,1176,456,997,411.38,1106.02
BANGLADESH,,9951,34481,9733.09,33464.39,9205.75,33987.72
