District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,40,44,44,65,44,62
2,Barishal,275,460,284,463,290,480
3,Bhola,259,611,238,609,250,635
4,Jhallokati,104,105,108,155,116,157
5,Patuakhali,82,130,79,139,81,128
6,Pirojpur,199,343,185,344,187,345
1,Barishal Division,959,1693,938,1775,968,1807
7,Bandarban,231,366,231,375,232.50,378
8,Brahmanbaria,174,778,182.72,922.41,183.30,828.37
9,Chandpur,189,386,195.67,382.92,199.12,392.04
10,Chattogram,1519,4758,2093.17,5780.39,2110.09,5843.28
11,Cumilla,746,3377,725.50,3167.94,733.79,3205.05
12,Cox’s Bazar,219,471,176.04,364.29,180.33,375.78
13,Feni,310,274,264.66,268.42,267.50,271.06
14,Khagrachari,439,1105,444.85,1136.80,463.20,1198.62
15,Lakshmipur,479,803,481,816,495.50,852.80
16,Noakhali,344,648,343.67,654.87,332.88,650.06
17,Rangamati,329,784,320.10,763.52,316.24,744.17
2,Chattogram Division,4979,13750,5458.38,14632.56,5514.45,14739.23
18,Dhaka,247,13750,247,177.46,196.55,211.8
19,Faridpur,194,160,199,162,202.14,295
20,Gazipur,395,425,407,442.72,338.96,359.08
21,Gopalganj,312,748,318,863.67,319.80,766.93
22,Kishoreganj,454,1242,527,1474.63,565.74,1802.76
23,Madaripur,90,328,80,706.24,92.49,250.84
24,Manikganj,155,243,155,243.02,147.20,236.44
25,Munshiganj,91,92,90,115.28,86.75,142.79
26,Narayanganj,173,362,163,348.31,166.05,349.89
27,Narsingdi,242,429,236,424.81,234.40,435.92
28,Rajbari,109,103,113,107.95,199,373
29,Shariatpur,103,131,88,272.40,100,263
30,Tangail,901,1672,908,1611.24,903.02,1571.23
3,Dhaka Division,3466,6111,3531,6949.73,3552.1,7058.68
31,Bagerhat,155,159,208.50,230.29,215.30,240.71
32,Chuadanga,29,35,29.02,35.54,28.48,34.95
33,Jashore,638,2980,656,3021.98,657,3012
34,Jhenaidah,385,944,398,987.22,413,1034.56
35,Khulna,164,212,174.77,239.43,171.66,227.18
36,Kushtia,13,15,14,16,13,19
37,Magura,80,203,90.78,218.71,92.90,221.44
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,7,60,4.50,51.71,9.50,73.47
39,Narail,196,559,196,559,191.20,547.10
40,Satkhira,116,256,121.50,269.40,120.57,279.13
4,Khulna Division,1783,5423,1893.07,5629.28,1912.61,5689.54
41,Jamalpur,257,563,302,656,313,689
42,Mymensingh,1554,6863,1556,4757,1673,4672
43,Netrokona,190,289,188,545,188,571
44,Sherpur,379,1076,309,1065,305,886
5,Mymensingh Division,2380,8791,2355,7023,2479,6818
45,Bogura,310,833,264.34,739.21,304.12,899.25
46,Joypurhat,1478,6050,1483.27,6112.62,1490.14,6631.36
47,Naogaon,60,155,58,151.83,61,159.31
48,Natore,115,142,114.50,142.46,164.75,404.38
49,Chapai Nawabganj,0,0,0,0,0,0
50,Pabna,81,401,88.37,419,86.37,480.70
51,Rajshahi,17,12,30.30,70,42.63,149.17
52,Sirajganj,359,712,2041.78,7640.11,277.30,551.34
6,Rajshahi Division,2420,8344,4080.56,15275.23,2426.31,9275.51
53,Dinajpur,166,232,173,257,175,255
54,Gaibandha,150,59,186,195,174,173.60
55,Kurigram,60,80,65,85,69,95
56,Lalmonirhat,136,335,130,278,139,186
57,Nilphamari,39,57,40,57,40,77
58,Panchagar,291,594,270,478,275,450
59,Rangpur,244,250,260,270,260,266
60,Thakurgaon,63,68,62,67,67,73
7,Rangpur Divison,1149,1458,1186,1687,1199,1575.60
61,Habiganj,219,533,219.75,375.27,228.10,565.81
62,Moulvibazar,193,238,201,249,205.09,256.01
63,Sunamganj,65,137,66,151,264,556
64,Sylhet,194,335,209,320,213.98,267.70
8,Sylhet Division,671,1243,695.75,1095.27,911.17,1645.52
BANGLADESH,,17807,47030,20137.76,54067.07,18962.64,48609.08
