District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,122,385,125,392,126.00,388.00
2,Barishal,310,650,318,683,321.00,688.00
3,Bhola,372,750,380,812,384.18,815.00
4,Jhallokati,103,185,121,169,134.00,189.00
5,Patuakhali,103,150,112,129.92,102.50,125.52
6,Pirojpur,150,275,161,294,155.00,288.00
1,Barishal Division,1160,2395,1217,2479.92,1222.68,2493.52
7,Bandarban,125,402,131.20,413.5,134.00,430.35
8,Brahmanbaria,400,2240,575.10,4285.49,560.73,4067.51
9,Chandpur,275,855,250.33,805.31,244.07,673.37
10,Chattogram,531,1828,618.72,1975.12,1227.04,4560.66
11,Cumilla,1391,5355,1357.28,3901.61,1357.28,3901.61
12,Cox’s Bazar,108,494,114.39,770.31,120.85,769.30
13,Feni,338,652,348,673.23,349.70,675.63
14,Khagrachari,301,889,326.80,972,350.40,1026.92
15,Lakshmipur,243,376,286,422,293.50,821.92
16,Noakhali,127,151,252.85,452.90,261.50,555.50
17,Rangamati,127,268,145.20,307,153.54,348.17
2,Chattogram Division,3966,13510,4405.87,14978.47,5052.61,17830.94
18,Dhaka,133,687,127.13,632.59,135.73,603.93
19,Faridpur,95,308,105.50,319.25,107.20,357.12
20,Gazipur,85,211,74.67,192.12,67.55,181.47
21,Gopalganj,145,439,115,471.20,128.80,523.33
22,Kishoreganj,344,1355,383.12,1651.87,397.62,1878.92
23,Madaripur,125,184,162.10,407.41,159.99,439.15
24,Manikganj,78,154,87.50,175.22,97.74,323.53
25,Munshiganj,619,2527,599,2439.74,603.20,2557.47
26,Narayanganj,196,782,200.58,799.75,82.70,357.68
27,Narsingdi,78,298,87.52,326.09,87.12,323.46
28,Rajbari,182,678,184,699,182.00,760.00
29,Shariatpur,138,358,144,464,143.00,491.00
30,Tangail,224,685,220.83,675.41,210.58,885.20
3,Dhaka Division,2442,8666,2490.95,9253.65,2403.23,9682.26
31,Bagerhat,194,412,194.50,434.73,195.50,437.20
32,Chuadanga,196,879,211,983.98,221.00,983.98
33,Jashore,372,934,545,2705,522.42,2637.08
34,Jhenaidah,349,1480,354,1503,353.00,1484.00
35,Khulna,37,107,48.25,137.13,50.00,155.58
36,Kushtia,106,367,118,389,79.00,253.00
37,Magura,21,74,21.17,74.54,20.37,73.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,52,331,47,504.03,51.00,464.56
39,Narail,133,505,142,532,145.30,541.35
40,Satkhira,138,410,640,3302,148.55,467.15
4,Khulna Division,1598,5499,2320.92,10565.41,1786.14,7496.90
41,Jamalpur,119,363,104,313,111.00,340.00
42,Mymensingh,575,1941,571,1927,562.00,1915.00
43,Netrokona,101,406,164,764,209.00,1144.00
44,Sherpur,33,54,34,86,37.00,64.00
5,Mymensingh Division,828,2764,873,3090,919.00,3463.00
45,Bogura,242,922,259.33,1122.56,263.48,1184.58
46,Joypurhat,298,1270,299.08,1006.69,297.51,1064.98
47,Naogaon,309,1227,317.20,1272.41,340.53,1782.24
48,Natore,215,349,213.80,814.57,213.00,884.69
49,Chapai Nawabganj,146,369,159.45,425.67,153.50,404.27
50,Pabna,70,182,69,176,89.00,273.00
51,Rajshahi,390,1464,423.78,1669.47,401.99,1653.64
52,Sirajganj,538,2582,1744.64,6492.38,1458.00,7305.30
6,Rajshahi Division,2208,8365,3486.28,12979.75,3217.01,14552.70
53,Dinajpur,226,681,234,737,251.00,792.00
54,Gaibandha,177,399,172,400.80,121.00,316.07
55,Kurigram,115,317,116,304,140.66,361.63
56,Lalmonirhat,115,302,129,369,126.50,355.11
57,Nilphamari,187,665,191,646,199.50,684.77
58,Panchagar,203,614,217,695,201.50,673.29
59,Rangpur,101,289,105,304,106.00,316.00
60,Thakurgaon,99,161,104,167,109.30,187.37
7,Rangpur Divison,1223,3428,1268,3622.80,1255.46,3686.24
61,Habiganj,116,535,314.66,1949.51,327.00,388.00
62,Moulvibazar,163,638,173,700.03,184.00,688.00
63,Sunamganj,250,996,401,1402,377.00,815.00
64,Sylhet,200,500,282,823,287.00,189.00
8,Sylhet Division,729,2669,1170.66,4874.54,1175.00,4846.98
BANGLADESH,,14154,47296,17232.68,61844.54,17031.13,64052.54
