District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,38,165,39,166,40.00,168.00
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,29,124,23,104,22.00,100.00
1,Barishal Division,67,289,62,270,62.00,268.00
7,Bandarban,393,762,394,764.05,395.00,766.10
8,Brahmanbaria,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0
10,Chattogram,16,64,15.81,63.90,15.76,63.70
11,Cumilla,4,9,5.91,10.20,6.00,10.40
12,Cox’s Bazar,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0
14,Khagrachari,366,1256,374,1436.18,395.10,1530.69
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0
17,Rangamati,409,1330,392.60,1302.65,379.00,1316.52
2,Chattogram Division,1188,3421,1182.32,3576.98,1190.86,3687.41
18,Dhaka,0,0,0,0,0,0
19,Faridpur,203,853,192.40,845.28,191.00,833.56
20,Gazipur,56,184,58.16,306.56,58.49,307.63
21,Gopalganj,37,153,39.60,164.69,29.90,130.34
22,Kishoreganj,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,49,155,51.45,159.25,53.65,164.65
27,Narsingdi,0,0,0,0,0,0
28,Rajbari,61,205,58,182,57.00,202.00
29,Shariatpur,0,0,0,0,0,0
30,Tangail,0,0,0,0,0,0
3,Dhaka Division,406,1550,399.61,1657.78,390.04,1638.18
31,Bagerhat,22,39,35,68,35.00,69.00
32,Chuadanga,369,2181,367.60,2268.20,368.00,2235.00
33,Jashore,156,540,166,580,197.00,649.00
34,Jhenaidah,400,2182,400,2191,407.00,2190.00
35,Khulna,110,389,149,428,158.00,448.00
36,Kushtia,263,1251,258,1203,255.00,1233.00
37,Magura,24,109,31,140,29.00,136.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,97,610,110,846,114.00,918.00
39,Narail,92,329,96,343,98.00,350.00
40,Satkhira,303,1518,298,1439,327.00,1679.00
4,Khulna Division,1836,9148,1910.60,9506.20,1988.00,9907.00
41,Jamalpur,11,22,14,30,10.00,20.00
42,Mymensingh,12,50,15,62,17.00,70.00
43,Netrokona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensingh Division,23,72,29,92,27.00,90.00
45,Bogura,9,47,2.55,22.91,3.28,25.95
46,Joypurhat,34,144,34.65,185.75,35.82,239.26
47,Naogaon,30,130,94.82,211.88,27.90,118.98
48,Natore,45,89,38.5,216.35,57.50,336.62
49,Chapai Nawabganj,57,137,54.66,144.94,49.60,128.98
50,Pabna,60,139,62,144.13,69.00,268.74
51,Rajshahi,47,261,62.13,379.95,64.57,398.98
52,Sirajganj,21,63,16.4,49.71,25.31,89.03
6,Rajshahi Division,303,1010,365.71,1355.62,332.98,1606.54
53,Dinajpur,29,87,34,104,25.88,155.62
54,Gaibandha,53,155,38,104,39.00,105.90
55,Kurigram,2,17,2,11,1.89,11.64
56,Lalmonirhat,0,0,0,0,0,0
57,Nilphamari,52,258,29,157,31.25,171.19
58,Panchagar,0,0,0,0,0,0
59,Rangpur,52,163,56,181,50.00,157.00
60,Thakurgaon,18,18,22,22,25.00,24.75
7,Rangpur Divison,206,698,181,579,173.02,626.10
61,Habiganj,6,15,0,0,6.00,32.00
62,Moulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet Division,6,15,0,0,6.00,32.00
BANGLADESH,,2199,16203,2219.64,17037.58,2181.90,17855.23
