District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0,0
2,Barishal,0,0,0,0,0,0
3,Bhola,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0
1,Barishal Division,0,0,0,0,0,0
7,Bandarban,253,428,254,431,256,432.70
8,Brahmanbaria,45,50,62,118,55.50,104.21
9,Chandpur,0,0,0,0,0,0
10,Chattogram,1151,6039,1126,6000,1285.26,6637.49
11,Cumilla,48,169,52,173,55.20,175.30
12,Cox’s Bazar,52,291,54,295,84.52,436.78
13,Feni,34,125,37,137,37.15,138
14,Khagrachari,1301,6757,1340,7038,1253.40,7090.73
15,Lakshmipur,0,0,0,0,0,0
16,Noakhali,27,65,28,63,37.2,119.34
17,Rangamati,588,1626,580,1534,574.35,1645.60
2,Chattogram Division,3499,15550,3533,15789,3638.58,16780.15
18,Dhaka,0,0,0,0,2.16,6.47
19,Faridpur,188,843,181,836,171.39,791.69
20,Gazipur,214,413,171,460,170.28,457.77
21,Gopalganj,113,395,117,408,118.10,437.33
22,Kishoreganj,146,501,159,885,177.04,1088.77
23,Madaripur,20,39,21,111,17,72.25
24,Manikganj,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0
26,Narayanganj,57,175,56,168,57.10,170.85
27,Narsingdi,55,231,56,232,109.90,421.92
28,Rajbari,447,2484,453,2499,447.55,2493.91
29,Shariatpur,59,91,57,215,25,88
30,Tangail,794,4572,768,4481,723.80,3180.34
3,Dhaka Division,2093,9744,2039,10295,2019.32,9209.30
31,Bagerhat,197,590,232,845,233,864
32,Chuadanga,824,4650,826,5134,873,5618
33,Jashore,409,1859,422,1935,475,2178
34,Jhenaidah,726,3319,736,3374,745,3458
35,Khulna,140,468,264,1116,262,884
36,Kushtia,1200,5834,1202,5915,1251,8494
37,Magura,79,413,83,431,86,448
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,2004,16634,2708,23540,2688,26490
39,Narail,116,582,98,483,108,544
40,Satkhira,718,3144,723,3171,719,3144
4,Khulna Division,5695,37493,6571,45944,6721,52122
41,Jamalpur,87,158,89,205,92,224
42,Mymensingh,816,3160,823,3189,834,3365
43,Netrokona,131,321,129,467,97,376
44,Sherpur,148,619,143,850,151,834
5,Mymensingh Division,1182,4258,1184,4711,1174,4799
45,Bogura,1007,3062,1284,5978,1268.63,8171.49
46,Joypurhat,196,1059,158,708,234.40,1084.64
47,Naogaon,460,1568,470,1579,475.54,1670.55
48,Natore,324,542,378,1166,379.75,1661.26
49,Chapai Nawabganj,135,332,127,333,108.80,299.97
50,Pabna,552,1582,538,1817,578,2549.08
51,Rajshahi,987,4616,742,3377,789.15,3838.32
52,Sirajganj,87,264,88,282,83.99,367.73
6,Rajshahi Division,3748,13025,3785,15240,3918.26,19643.04
53,Dinajpur,543,1611,664,2151,675,3675
54,Gaibandha,612,2125,395,1370,590,2102
55,Kurigram,581,2150,555,2246,584,2363
56,Lalmonirhat,262,1553,210,1218,208,1309
57,Nilphamari,522,2274,456,1977,476,2076
58,Panchagar,1448,4421,1450,4695,1443,4695
59,Rangpur,293,1270,299,1298,291,1254
60,Thakurgaon,942,2860,935,2869,937,2968
7,Rangpur Divison,5203,18264,4964,17824,5204,20442
61,Habiganj,638,2039,622,1976,498.83,1583.96
62,Moulvibazar,80,180,545,1413,408.83,1228.07
63,Sunamganj,71,423,98,332,101,345
64,Sylhet,570,1615,249,525,294.55,983.55
8,Sylhet Division,1359,4257,1514,4246,1303.21,4140.58
BANGLADESH,,22779,98334,23590,109803,23978.37,122995.49
