District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,85,106,95,160,98,146
2,Barishal,344,578,355,581,366,596
3,Bhola,224,392,244,398,253,412
4,Jhallokati,208,195,338,580,407,521
5,Patuakhali,155,185,157,219,159,259
6,Pirojpur,229,317,227,311,232,314
1,Barishal Division,1245,1773,1416,2249,1515,2248
7,Bandarban,126,168.90,98,128.50,86,113.16
8,Brahmanbaria,362.80,937.20,700.25,3020.67,691.45,2159.20
9,Chandpur,245.20,471.66,248.55,583.60,250.57,592.65
10,Chattogram,367.50,1026.43,370.13,1034.51,381.48,1041.86
11,Cumilla,646.45,1843,641.12,1824.79,644.64,1842.33
12,Cox’s Bazar,79.20,104.81,79.84,482.95,84.09,119.55
13,Feni,122.30,177.55,141.19,233.69,145.02,226.94
14,Khagrachari,353.15,719.36,362.75,766.49,375.40,810.60
15,Lakshmipur,195,236,185,246,190,246
16,Noakhali,332.50,312.55,289.40,458.80,269.57,473.15
17,Rangamati,415,669.64,390.50,643.15,375.35,627.60
2,Chattogram Division,3245.10,6667.10,3506.73,9423.15,3493.57,8253.04
18,Dhaka,790,1754,694.75,1499.01,717.49,2044.16
19,Faridpur,550,1263,545,1252,551.25,1287.56
20,Gazipur,355,619,359.95,624.57,394.65,679.91
21,Gopalganj,794,2643,681.40,2362.59,676.33,2189.02
22,Kishoreganj,418,1162,470.67,1833.47,467.82,1832.39
23,Madaripur,199,234,309.75,2002.91,309.62,1989.92
24,Manikganj,303,531,322.75,826.24,396.07,1102.72
25,Munshiganj,416,464,420.50,528.23,420,624.99
26,Narayanganj,731,1353,646.95,1256.54,571.82,1098.41
27,Narsingdi,351,705,379.14,1007.05,379.33,1008.87
28,Rajbari,625,2927,639,2964,636,2964
29,Shariatpur,262,518,210,801.40,214,1016
30,Tangail,1933,5017,1906.55,4989.56,1857.60,4830.97
3,Dhaka Division,7727,19190,7586.41,21947.57,7591.98,22668.92
31,Bagerhat,489,1185,480.15,1115.69,534.20,1499.18
32,Chuadanga,492,1103,475,1081.4,476.50,1091.20
33,Jashore,570,1605,1240,5304,1259,5424.34
34,Jhenaidah,734,3241,722,3193.34,728.50,3238
35,Khulna,375,1113,373.01,1094.06,378.49,1075.04
36,Kushtia,570,1605,572,2835,571,2099
37,Magura,245,938,250.30,958.44,243.62,931.39
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,143,487,141,678.16,142,913.53
39,Narail,320,1376,323,1384,324,1377.90
40,Satkhira,549,1550,551.33,1515.89,561.24,1480.16
4,Khulna Division,4487,14203,5127.79,19159.98,5218.55,19129.74
41,Jamalpur,776,2142,758,2103,774,2163
42,Mymensingh,1770,8466,1467,4691,1523,4865
43,Netrokona,301,563,396,2037,402,2122
44,Sherpur,988,5659,875,4233,822,4056
5,Mymensingh Division,3835,16830,3496,13064,3521,13206
45,Bogura,376,1299.94,325.78,1258.64,326.80,1475.12
46,Joypurhat,210,1487.77,214.28,577.18,221.18,612.42
47,Naogaon,341,1263,344.94,1485.08,359.34,1529.30
48,Natore,262,377,274.50,1250.05,285.41,1009.75
49,Chapai Nawabganj,366.76,744,386.60,1097.68,388.30,1107.66
50,Pabna,361,851,471.34,1782.76,511.42,2216.03
51,Rajshahi,646,3249,728.33,3860.32,755.99,3958.50
52,Sirajganj,384,814,290.15,1553.89,365.11,1969.93
6,Rajshahi Division,2946.76,10085.71,3035.92,12865.60,3213.55,13878.71
53,Dinajpur,487,1107,440,939,468,1162
54,Gaibandha,198,532,248,698,251,665
55,Kurigram,222,513,223,498,223.95,515.23
56,Lalmonirhat,172,459,175,410,176.25,411.02
57,Nilphamari,188,587,187,586,185.24,564.3
58,Panchagar,401,833,409,989,393,956
59,Rangpur,263,453,261,446,260,459
60,Thakurgaon,385,695,381,693,385.28,699.53
7,Rangpur Divison,2316,5179,2324,5259,2342.72,5432.08
61,Habiganj,241,640,216.90,579.40,247.46,740.26
62,Moulvibazar,251,533,256.74,527.73,283.90,984.18
63,Sunamganj,302,1152,246,1036,193,1314
64,Sylhet,240,402,185,367.84,367.45,804.73
8,Sylhet Division,1034,2727,904.64,2510.97,1091.81,384317
BANGLADESH,,26835.86,76654.81,27397.49,86479.27,27988.18,88659.66
