District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,112,211,150,402,152.00,397.00
2,Barishal,450,980,459,996,372.00,943.00
3,Bhola,303,939,291,1003,328.00,1069.00
4,Jhallokati,232,594,196,536,232.00,634.00
5,Patuakhali,68,110,67,81,73.00,88.00
6,Pirojpur,362,1123,365,1097,358.00,1099.00
1,Barishal Division,1527,3957,1528,4115,1515.00,4230.00
7,Bandarban,267,752,278,782,282.90,794.86
8,Brahmanbaria,904,6334,930,6604,930.90,6615.18
9,Chandpur,281,970,287,1030,293.27,914.29
10,Chattogram,1787,8109,1969,8826,1956.95,8768.04
11,Cumilla,1669,8119,1677,8124,1673.60,8119.90
12,Cox’s Bazar,271,1084,336,1221,312.02,1114.71
13,Feni,116,229,124,256,125.61,259.43
14,Khagrachari,455,1469,475,1562,495.50,1610.08
15,Lakshmipur,170,382,175,405,185.00,627.12
16,Noakhali,271,640,284,1163,280.39,1223.95
17,Rangamati,201,655,200,647,200.85,675.38
2,Chattogram Division,6392,28743,6735,30620,6736.99,30722.94
18,Dhaka,971,9379,985.93,9577.88,1008.40,9606.39
19,Faridpur,649,2545,666,2561.95,644.00,3841.12
20,Gazipur,768,5509,757.49,5353.08,868.74,6176.90
21,Gopalganj,462,2384,425.80,2023.97,430.30,2056.20
22,Kishoreganj,588,2509,598.42,3595.54,600.29,4153.61
23,Madaripur,45,131,54.20,267.56,56.73,268.91
24,Manikganj,674,2322,685.50,3645.52,689.63,4046.45
25,Munshiganj,889,2435,888,2692.29,785.50,4333.70
26,Narayanganj,485,1618,507.12,1705.12,455.34,2029.79
27,Narsingdi,415,1627,407.49,1751.14,414.14,1996.08
28,Rajbari,1093,6523,1108,6617,1112.00,5740.00
29,Shariatpur,86,365,102,746,105.00,757.00
30,Tangail,1796,11357,1822.80,11569.21,1806.30,12467.44
3,Dhaka Division,8921,48704,9008.75,52106.26,8976.37,57473.59
31,Bagerhat,467,2650,470.50,2514.75,464.72,2519.49
32,Chuadanga,1844,5696,1873,5871.53,1876.50,6142.85
33,Jashore,1933,9018,1966,9143.62,1955.00,9262.84
34,Jhenaidah,1659,8770,1668,8739.92,1700.00,8997.70
35,Khulna,616,3475,604.22,3278.27,607.35,3228.53
36,Kushtia,848,4207,863,4268,954.00,4855.00
37,Magura,1659,262,214.80,734.33,220.15,1917.16
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,616,6374,884,8753,1057.00,10517.17
39,Narail,848,1450,418,1497,430.00,1533.92
40,Satkhira,1059,5980,1110.43,6397.43,1107.74,6374.80
4,Khulna Division,11549,47882,10071.95,51197.85,10372.46,55349.46
41,Jamalpur,3002,11459,2876,11090,2899.00,30200.00
42,Mymensingh,2200,17500,1717,16965,1664.00,20566.00
43,Netrokona,350,1075,381,1880,443.00,4468.00
44,Sherpur,1103,6011,1541,9907,1178.00,14709.00
5,Mymensingh Division,6655,36045,6515,39842,6184.00,69943.00
45,Bogura,1098,5186,1112,5233,1397.00,9471.00
46,Joypurhat,317,1405,323,1697,322.00,1733.00
47,Naogaon,1210,8381,1382,8966,1405.00,10081.00
48,Natore,747,2208,706,5280,690.00,5717.00
49,Chapai Nawabganj,831,2762,833,2839,853.00,3147.00
50,Pabna,1353,9494,1717,12397,1774.00,12528.00
51,Rajshahi,1453,10975,1567,12322,1565.00,12484.00
52,Sirajganj,804,5366,845,5372,787.00,5372.00
6,Rajshahi Division,7813,21064,8485,21064,8793.00,21064.00
53,Dinajpur,3043,21064,3095,21972,3097.00,22112.00
54,Gaibandha,482,2452,487,2515,531.25,2871.96
55,Kurigram,899,6274,916,6359,755.00,5163.72
56,Lalmonirhat,1792,13443,1803,14118,1817.25,14128.32
57,Nilphamari,1603,13546,1757,9832,1724.54,13157.66
58,Panchagar,888,4718,883,5279,844.00,5242.00
59,Rangpur,991,12425,999,10501,1306.00,15372.00
60,Thakurgaon,996,5061,1002,5123,1005.90,5150.94
7,Rangpur Divison,10694,78983,10942,75699,11080.94,83198.60
61,Habiganj,397,2219,370.39,2006,456.49,2705.66
62,Moulvibazar,392,1731,375,1740,368.76,1759.18
63,Sunamganj,973,7221,1084,8973,1037.00,8608.00
64,Sylhet,892,6608,914,7321,905.60,7251.60
8,Sylhet Division,2654,17779,2743.39,20040,2767.85,20324.44
BANGLADESH,,54250,283157,56029.09,294684.11,56426.61,342306.03
