District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,926,3078,155,336,155.00,745.00
2,Barishal,950,2400,960,3117,1091.00,4269.00
3,Bhola,864,2149,582.30,1863.29,961.00,2358.00
4,Jhallokati,364,778,417,798,451.00,879.00
5,Patuakhali,185,440,187,205.70,196.00,246.00
6,Pirojpur,437,933,389,678,388.00,674.00
1,Barishal Division,2942,6975,2690.30,6997.99,3242.00,9171.00
7,Bandarban,513,1356,518,1371.10,524.80,1386.20
8,Brahmanbaria,1601,5281,1489.60,5580.79,225.00,877.50
9,Chandpur,1560,6502,1564.35,6531.16,1589.25,5285.12
10,Chattogram,4241,15591,4317.36,16406.10,4409.82,17710.72
11,Cumilla,3518,27719,3521,27740,3525.00,27747.50
12,Cox’s Bazar,546,3185,681.20,4436.90,775.42,5057.72
13,Feni,645,2750,651.75,2764,654.92,2767.53
14,Khagrachari,746,2376,772,2488.70,779.60,2576.33
15,Lakshmipur,533,4613,611,5594,611.00,5169.00
16,Noakhali,1036,3245,1029.79,3731.09,1689.01,7656.57
17,Rangamati,602,1136,600.20,1320.18,612.75,1362.42
2,Chattogram Division,15541,73754,15756.25,77964.02,15396.57,77596.61
18,Dhaka,1279,5399,1166.30,5828.24,1085.90,5472.15
19,Faridpur,779,4527,801.87,4648.24,803.50,4648.63
20,Gazipur,936,6961,1113.15,7074.10,1132.18,7186.14
21,Gopalganj,688,4129,828.40,5722.47,840.10,5934.90
22,Kishoreganj,886,7251,912.80,7778.86,917.42,7835.37
23,Madaripur,386,5181,371.30,4569.41,352.97,3610.26
24,Manikganj,574,3164,591.85,3306.72,602.47,3587.00
25,Munshiganj,552,1810,560,1849.60,594.50,2250.98
26,Narayanganj,717,2368,680.70,2223.62,639.15,2258.67
27,Narsingdi,725,2255,692.21,2154.32,694.15,2183.74
28,Rajbari,281,941,283,1309,260.00,1250.00
29,Shariatpur,1328,10078,1364,13140,1375.00,13477.00
30,Tangail,802,5257,815.40,5281.15,829.72,5352.77
3,Dhaka Division,9933,59321,10180.98,64885.73,10127.06,65047.61
31,Bagerhat,1189,5587,1235,7043,1240.00,7282.00
32,Chuadanga,892,3746,907,3811.33,897.00,3992.00
33,Jashore,1409,6845,1318,6567,1460.00,7089.00
34,Jhenaidah,999,3401,1024,3483,1027.00,3498.00
35,Khulna,752,1723,781,1809,817.00,2387.00
36,Kushtia,785,5717,793,5794,783.00,5713.00
37,Magura,130,769,134,791,140.00,823.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,324,1532,289,2640,272.00,3125.00
39,Narail,451,1546,465,1601,512.00,1935.00
40,Satkhira,816,2419,834,2862,786.00,2836.00
4,Khulna Division,7747,33285,7780,36401.33,7934.00,38680.00
41,Jamalpur,4000,15500,3869,13435,3856.00,13771.00
42,Mymensingh,725,6051,1993,17762,1994.00,19558.00
43,Netrokona,525,2710,628,3715,678.00,4150.00
44,Sherpur,900,8500,785,6686,785.00,5810.00
5,Mymensingh Division,6150,32761,7275,41598,7313.00,43289.00
45,Bogura,911,3473,913.25,3475.91,911.24,3631.39
46,Joypurhat,367,2065,365.65,2014.12,365.56,2074.02
47,Naogaon,886,3360,945.21,3547.21,918.37,3507.90
48,Natore,685,1958,703.90,2041.83,707.48,2976.61
49,Chapai Nawabganj,2214,8536,2478,10611.24,2471.50,11872.54
50,Pabna,832,2951,871,3158.62,902.00,3454.00
51,Rajshahi,8029,67057,8135.70,67468.39,8150.51,67611.33
52,Sirajganj,604,3497,651.87,3844.21,693.64,4627.53
6,Rajshahi Division,14528,92897,15064.58,96161.53,15120.30,99755.32
53,Dinajpur,4392,51336,4396,52127,4356.00,39009.68
54,Gaibandha,263,1964,276,616,259.44,888.55
55,Kurigram,264,1452,250,754,267.80,880.07
56,Lalmonirhat,471,2439,471,4225,472.50,2458.30
57,Nilphamari,351,2075,350,1905,358.56,1971.40
58,Panchagar,2006,13051,2111,15999,2032.00,15834.93
59,Rangpur,710,7401,707,5778,718.00,5183.00
60,Thakurgaon,594,6837,600,6762,566.14,6457.02
7,Rangpur Divison,9051,86555,9161,88166,9030.44,72682.95
61,Habiganj,1159,8140,1132.53,6543.36,1195.76,7297.37
62,Moulvibazar,598,3642,595.00,3559.67,599.42,3614.44
63,Sunamganj,1351,13810,1392,14461,1357.00,14100.00
64,Sylhet,1460,4354,1851,11076.80,1836.00,11065.30
8,Sylhet Division,4568,29946,4970.53,35640.83,4988.18,36077.11
BANGLADESH,,70460,415494,72878.64,447815.43,73151.55,442299.60
