District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,304,368,340,1629,328.00,1649.00
2,Barishal,826,2320,827,2339,835.00,2400.00
3,Bhola,777,1959,780,2282,616.00,1966.00
4,Jhallokati,266,452,274,475,282.00,498.00
5,Patuakhali,214,330,216,328.20,255.00,384.00
6,Pirojpur,310,1147,306,1148,301.00,1103.00
1,Barishal Division,2697,6576,2743,8201.20,2617.00,8000.00
7,Bandarban,658,2025,665,2046.03,668.00,2054.30
8,Brahmanbaria,1099,5588,1067.30,6745.98,1042.15,6299.03
9,Chandpur,999,4823,970.07,5377.10,933.41,4374.49
10,Chattogram,2902,14157,2892.56,14057.34,2989.63,14442.40
11,Cumilla,1361,6486,1365.17,6789.09,1366.20,6779.20
12,Cox’s Bazar,833,4192,822.38,4363.13,850.96,3989.53
13,Feni,432,1315,432.14,1316.43,440.55,1340.27
14,Khagrachari,1338,4626,1570,4813.76,1395.00,4944.26
15,Lakshmipur,723,1781,751,1883,752.90,2045.00
16,Noakhali,1079,2627,1198.32,4276.58,1211.06,4625.93
17,Rangamati,975,3903,986.80,3948.86,998.25,4000.32
2,Chattogram Division,12399,51523,12720.74,55617.30,12648.11,54894.73
18,Dhaka,977,9152,1059.94,8266.46,1056.60,7252.00
19,Faridpur,586,2695,598,2753,556.00,2868.06
20,Gazipur,664,3006,898.72,3892.41,995.33,4275.66
21,Gopalganj,377,2122,386.92,2274.79,396.22,2223.83
22,Kishoreganj,1152,8633,1204.48,6820.18,1194.25,7061.74
23,Madaripur,432,2313,410.40,3027,420.25,2109.85
24,Manikganj,939,3792,978.15,5612,992.80,6109.00
25,Munshiganj,456,2346,468.40,2453.53,457.80,2943.92
26,Narayanganj,383,1412,387.69,1378.90,351.22,1207.40
27,Narsingdi,789,3083,804.80,3276.77,795.70,3253.75
28,Rajbari,1131,4692,1132,4697,1114.00,5187.00
29,Shariatpur,377,2122,386,2987.40,450.00,2868.00
30,Tangail,2727,11368,2718,12663,2778.84,11598.99
3,Dhaka Division,10990,56736,11433.50,60102.44,11559.01,58959.20
31,Bagerhat,783,4063,721,3706,722.00,3528.00
32,Chuadanga,1045,4335,1057,4390.88,499.78,1884.58
33,Jashore,2093,8619,1998,8129,1994.00,10357.00
34,Jhenaidah,1312,5952,1313,6630,1319.00,6234.00
35,Khulna,530,1908,519,1951,500.00,1885.00
36,Kushtia,908,5683,1002,6065,944.00,7775.00
37,Magura,400,1576,400,1586,394.00,1567.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,327,1081,367,1740,362.00,1909.00
39,Narail,346,1319,363,1396,363.00,1410.00
40,Satkhira,504,2081,500,2129,511.00,2182.00
4,Khulna Division,8248,36617,8240,37722.88,7608.78,38731.58
41,Jamalpur,2447,10047,2379,9726,2328.00,10084.00
42,Mymensingh,2652,13220,2619,13028,2631.00,13721.00
43,Netrokona,845,2050,875,2467,976.00,4204.00
44,Sherpur,1536,9914,1541,9908,1492.00,7181.00
5,Mymensingh Division,7480,35231,7414,35129,7427.00,35190.00
45,Bogura,1765,7514,2447,10205,2285.00,15061.00
46,Joypurhat,503,2191,504,2322,506.00,2405.00
47,Naogaon,1113,8089,1180,8389,1190.00,8688.00
48,Natore,914,2495,804,3090,797.00,4043.00
49,Chapai Nawabganj,403,1371,408,1426,418.00,1517.00
50,Pabna,1014,2994,1440,6066,1470.00,6591.00
51,Rajshahi,2272,13248,2223,14287,2230.00,14605.00
52,Sirajganj,1388,5927,1319,7774,1338.00,8373.00
6,Rajshahi Division,9372,43829,10325,53559,10234.00,61283.00
53,Dinajpur,1303,4342,1331,4441,1267.00,4608.00
54,Gaibandha,841,3384,802,3177,778.00,2950.70
55,Kurigram,1110,4590,1103,4624,1144.00,5087.99
56,Lalmonirhat,680,2994,685,3005,678.50,2984.50
57,Nilphamari,1294,4455,1498,6914,1475.14,6646.10
58,Panchagar,1481,8817,1716,11966.30,1679.00,11754.22
59,Rangpur,1111,3457,1128,3697,1139.00,3738.00
60,Thakurgaon,883,2002,886,2011,884.50,2143.76
7,Rangpur Divison,8703,34041,9149,39835.30,9045.14,39913.27
61,Habiganj,1045,7721,1037,7739.30,1096.00,7520.88
62,Moulvibazar,723,2879,765.48,4414.49,779.74,3754.94
63,Sunamganj,815,3981,1028,5318,902.00,4666.00
64,Sylhet,2312,7409,2389,7974,2666.00,8799.16
8,Sylhet Division,4895,21990,5219.48,25445.79,5443.74,24740.98
BANGLADESH,,64784,286543,67244.72,315612.91,66582.78,321712.76
