District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,205,248,238,387,237.00,395.00
2,Barishal,750,1100,761,1168,686.00,1236.00
3,Bhola,417,661,439.61,717.32,435.00,724.00
4,Jhallokati,317,318,487,573,504.00,601.00
5,Patuakhali,149,151,156,134.83,180.00,159.00
6,Pirojpur,334,336,336,341,337.00,340.00
1,Barishal Division,2172,2814,2417.61,3321.15,2379.00,3455.00
7,Bandarban,181,416,190.50,434.75,190.30,433.34
8,Brahmanbaria,778,1376,720.90,1289.56,713.00,1267.51
9,Chandpur,466,896,466.45,910.51,608.53,1293.78
10,Chattogram,1191,1999,1105.88,2008.27,1239.53,1895.67
11,Cumilla,1295,2815,1293.80,2812.10,1276.00,2788.00
12,Cox’s Bazar,187,470,188.79,526.25,189.75,532.68
13,Feni,526,998,527.97,998.80,529.31,1003.21
14,Khagrachari,354,651,363,686.79,375.12,714.09
15,Lakshmipur,529,665,530,678,525.00,872.00
16,Noakhali,584,594,583.11,718.39,604.56,839.85
17,Rangamati,301,385,294.50,370.18,295.31,378.53
2,Chattogram Division,6392,11265,6264.90,11433.60,6546.41,12018.66
18,Dhaka,672,3372,704.78,3498.48,820.40,4122.20
19,Faridpur,255,543,261,547.50,265.00,547.37
20,Gazipur,281,421,336.88,499.43,353.26,515.61
21,Gopalganj,287,595,287.50,594.42,300.15,620.45
22,Kishoreganj,346,545,365.68,617.62,393.16,733.07
23,Madaripur,464,762,481,890.65,478.47,945.26
24,Manikganj,263,442,278.60,488.44,290.25,539.71
25,Munshiganj,413,929,414.70,952.20,396.50,1059.66
26,Narayanganj,590,1159,560.56,1110.80,418.06,702.93
27,Narsingdi,262,325,257.63,324.66,257.54,327.38
28,Rajbari,725,2969,780,3094,715.00,2365.00
29,Shariatpur,161,178,179,540,202.00,591.00
30,Tangail,483,915,486.90,937.74,494.90,947.78
3,Dhaka Division,5202,13155,5394.23,14095.94,5384.69,14017.42
31,Bagerhat,559,838,559.75,848.44,548.70,849.46
32,Chuadanga,485,1113,503,1133.52,505.00,1124.97
33,Jashore,1036,2393,1123,2595,1039.00,2434.83
34,Jhenaidah,718,1687,729,1668.02,745.00,1720.04
35,Khulna,492,833,502.90,823.25,512.15,799.67
36,Kushtia,633,1998,629,1989,633.00,2232.00
37,Magura,113,229,118.40,240.09,121.89,246.44
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,217,582,244,983.97,229.00,829.62
39,Narail,396,753,390,743,397.00,820.43
40,Satkhira,755,1431,760.02,1524.08,757.22,1512.74
4,Khulna Division,5404,11857,5559.07,12548.37,5487.96,12570.20
41,Jamalpur,688,1257,845,1539,851.00,1612.00
42,Mymensingh,710,1691,729,1727,768.00,1896.00
43,Netrokona,165,243,187,397,209.00,526.00
44,Sherpur,360,733,364,745,356.00,838.00
5,Mymensingh Division,1923,3924,2125,4408,2184.00,4872.00
45,Bogura,351,637,357.50,648.7,423.61,760.03
46,Joypurhat,200,555,198.35,404.01,202.37,420.17
47,Naogaon,528,947,535.88,960.85,540.13,1049.91
48,Natore,512,816,513.80,1016.11,516.00,1067.43
49,Chapai Nawabganj,371,747,358.39,706.51,361.32,747.78
50,Pabna,483,956,620.50,1533.95,619.00,1723.00
51,Rajshahi,1385,3873,1364.65,3411.59,1386.00,3427.00
52,Sirajganj,448,878,463.95,974.68,531.82,1149.73
6,Rajshahi Division,4278,9409,4413.02,9656.40,4580.25,10345.05
53,Dinajpur,412,658,427,613,451.00,784.77
54,Gaibandha,337,472,315,445,327.29,509.57
55,Kurigram,384,723,394,737,414.00,733.26
56,Lalmonirhat,377,690,387,715,393.50,735.01
57,Nilphamari,289,575,290,589,307.27,606.22
58,Panchagar,543,1001,534,937,501.00,984.20
59,Rangpur,817,1147,980,1505,992.00,1549.00
60,Thakurgaon,299,508,426,727,420.00,714.18
7,Rangpur Divison,3458,5774,3753,6268,3806.06,6616.21
61,Habiganj,238,419,253.60,452.05,264.32,2048.00
62,Moulvibazar,565,1126,560.40,1123.74,585.28,2219.70
63,Sunamganj,442,648,483,1445,485.00,2996.00
64,Sylhet,530,705,460.60,603.56,542.80,1558.00
8,Sylhet Division,1775,2898,1757.60,3624.35,1877.40,8821.70
BANGLADESH,,30604,61096,31684.43,65355.81,32245.77,72716.24
