District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,20,30,24,46,23.00,44.00
2,Barishal,0,0,0,0,0.00,0.00
3,Bhola,112,313,110,307,106.00,297.00
4,Jhallokati,0,0,0,0,0.00,0.00
5,Patuakhali,0.75,2.6,0.75,1.28,7.80,5.46
6,Pirojpur,0,6,0,0,0.00,0.00
1,Barishal Division,132.75,351.6,134.75,354.28,136.80,346.46
7,Bandarban,4,7,4.2,5,5.50,7.15
8,Brahmanbaria,15,18,21.80,32.68,22.55,34.43
9,Chandpur,22,46,21.86,85.36,22.35,91.62
10,Chattogram,52,176,50.95,173,50.65,172.27
11,Cumilla,10,20,10.33,25.94,10.71,27.34
12,Cox’s Bazar,14,27,6.60,10.44,6.72,10.28
13,Feni,0.22,0.58,0.25,0.66,0.27,0.72
14,Khagrachari,10.10,20,10.40,20.84,11.00,22.34
15,Lakshmipur,5,10,3.95,7.10,6.00,15.60
16,Noakhali,21,39,25.50,73.95,29.00,98.60
17,Rangamati,0,0,0,0,0.00,0.00
2,Chattogram Division,153.32,363.58,155.84,434.97,164.75,480.35
18,Dhaka,437,3147,412.40,3053.70,429.20,3049.60
19,Faridpur,28,60,32,64,29.20,60.10
20,Gazipur,52.07,203,53.70,202,52.80,211.90
21,Gopalganj,0,0,0,0,0.00,0.00
22,Kishoreganj,39,121,40.10,125.70,44.20,136.10
23,Madaripur,0,0,0,0,0.00,0.00
24,Manikganj,1123,3314,1288.60,8947.29,1562.00,10994.20
25,Munshiganj,0,0,0,0,0.00,0.00
26,Narayanganj,50,96,47.80,89.10,11.09,17.60
27,Narsingdi,1.15,2.16,1.10,1.50,1.14,1.75
28,Rajbari,53,198,52,204,61.00,242
29,Shariatpur,14,31,14,45,8.00,68
30,Tangail,103,343,102,338.80,104.40,291.30
3,Dhaka Division,1900.22,7515.16,2043.70,13071.29,2303.03,15072.55
31,Bagerhat,44,91,45,94,43.06,89.36
32,Chuadanga,76,283,73.15,273.77,69.60,279.36
33,Jashore,125,463,142,479,130.93,512.07
34,Jhenaidah,60,204,62.35,214.86,66.00,224.00
35,Khulna,13,26,22.33,43.04,21.26,41.03
36,Kushtia,77,248,93,296,106.00,314.00
37,Magura,21,74,22.32,76.03,25.95,87.84
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,35,121,33,172.57,35.00,189.45
39,Narail,28,68,30,71,29.00,69.52
40,Satkhira,90,331,92.84,353.90,95.95,366.08
4,Khulna Division,569,1909,615.99,2074.17,622.75,2172.71
41,Jamalpur,272,1217,290,1213,289.00,1216.00
42,Mymensingh,224,773,210,724,282.00,996.00
43,Netrokona,16,56,10,30,0.00,0.00
44,Sherpur,155,594,161,606,168.00,612.00
5,Mymensingh Division,667,2640,671,2573,739.00,2824.00
45,Bogura,138,608,148.11,814.13,169.44,971.92
46,Joypurhat,48,151,46.48,173.50,47.23,213.31
47,Naogaon,42,202,68.26,324.68,68.93,339.58
48,Natore,75,219,63.03,203.59,81.46,437.18
49,Chapai Nawabganj,0,0,0,0,0.00,0.00
50,Pabna,441,3342,439,3312,475.25,3808.00
51,Rajshahi,87,358,112.25,522.84,102.97,485.19
52,Sirajganj,62,266,65.16,274.20,64.16,275.43
6,Rajshahi Division,893,5146,942.29,5624.94,1009.44,6530.61
53,Dinajpur,137,290,161,341,158.50,364.59
54,Gaibandha,158,328,161,347,153.23,389.79
55,Kurigram,72,155,76,161,94.44,204.70
56,Lalmonirhat,93,347,101,386,101.50,388.20
57,Nilphamari,98,357,108,405,116.00,442.52
58,Panchagar,187,618,201,652,203.50,684.57
59,Rangpur,202,512,211,537,216.00,594.00
60,Thakurgaon,78,392,81,348,85.00,365.78
7,Rangpur Divison,1025,2999,1100,3177,1128.17,3434.15
61,Habiganj,0,0,0,0,0.00,0.00
62,Moulvibazar,8,20,7,35,8.00,30.00
63,Sunamganj,0,0,18,37,19.00,39.00
64,Sylhet,26,49,48,185.70,54.00,219.94
8,Sylhet Division,34,69,73,257.70,81.00,288.94
BANGLADESH,,5374.29,20993.34,5736.57,27567.35,6184.94,31149.77
