District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,2505,4945,1539,5800,1459.00,3800.00
2,Barishal,4570,15000,4580,16822,4260.00,15610.00
3,Bhola,4550,17417,4892.74,19522,4722.00,17842.48
4,Jhallokati,744,2528,740,2820,753.00,2603.00
5,Patuakhali,1327,3568,1347,4970.53,1423.00,3990.11
6,Pirojpur,454,1804,461,1778,445.00,1709.00
1,Barishal Division,14150,45262,13559.74,51712.53,13062.00,45554.59
7,Bandarban,378,1446,382.60,1450,388.00,1470.00
8,Brahmanbaria,2564,11295,2502.10,9815.88,2502.90,11303.37
9,Chandpur,1343,4498,1358.33,4626.34,1348.39,4655.52
10,Chattogram,4493,15843,4439.52,15466.17,4447.35,15350.74
11,Cumilla,2216,10851,2203,10543.38,2212.82,10560.80
12,Cox’s Bazar,595.88,2055.50,811.56,3483.69,739.28,3117.23
13,Feni,1178,4637,1221.55,4677.16,1225.24,4683.15
14,Khagrachari,863,3184,878,3270.28,886.30,3329.64
15,Lakshmipur,966,2433,968,2474.70,964.00,2438.00
16,Noakhali,2947,6606,7068.30,27473.59,14039.24,55357.59
17,Rangamati,606,2248,606.35,2230.34,607.88,2240.08
2,Chattogram Division,18149.88,65096.50,22439.31,85511.53,29361.40,114506.12
18,Dhaka,425,2651,393.30,2130.54,242.25,1902.36
19,Faridpur,559,2128,539,2042,518.00,1973.87
20,Gazipur,249,1151,357.16,1248.09,24.05,123.60
21,Gopalganj,36,173,28.75,138.23,30.10,145.43
22,Kishoreganj,2022,10308,2074.82,11776.36,2087.87,11916.33
23,Madaripur,303,1551,425.50,1752.68,412.07,1813.45
24,Manikganj,362,1115,330.4,1601.21,311.40,1606.16
25,Munshiganj,168,606,154.71,591.24,166.51,659.17
26,Narayanganj,436,2062,432.85,2059.66,409.19,1910.74
27,Narsingdi,1847,10675,1851.48,10688.67,1851.33,10750.50
28,Rajbari,351,1336,348,1332.56,305.00,1284.00
29,Shariatpur,1151,8962,1181,5377,1187.00,5542.00
30,Tangail,1456,6313,1623.70,6800.89,1395.85,6258.19
3,Dhaka Division,9365,49031,9740.67,47539.13,8940.62,45885.80
31,Bagerhat,632,2435,627,2200,612.00,2235.00
32,Chuadanga,108,655,116,702,107.00,644.00
33,Jashore,197,871,225,887,186.00,830.00
34,Jhenaidah,143,673,146,690,144.00,676.00
35,Khulna,26,62,27,71,28.00,78.00
36,Kushtia,291,1359,296,1372,279.00,1319.00
37,Magura,90,353,90,352,91.00,351.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,69,319,70,368,82.00,522.00
39,Narail,123,504,64,265,73.00,384.00
40,Satkhira,59,229,39,176,37.00,160.00
4,Khulna Division,1738,7460,1700,7083,1639.00,7199.00
41,Jamalpur,3182,18395,4034,23433,4143.00,24437.00
42,Mymensingh,1210,4951,1193,4891,1167.00,5014.00
43,Netrokona,622,2607,653,3753,723.00,4176.00
44,Sherpur,1180,6761,1042,6723,1050.00,6738.00
5,Mymensingh Division,6194,32714,6922,38800,7083.00,40365.00
45,Bogura,1514,5503,1505,6628.31,1340.27,4946.30
46,Joypurhat,254,1047,235.75,970.91,223.10,911.95
47,Naogaon,902,3646,904.76,3680.18,738.04,3017.01
48,Natore,811,2983,794.50,3019.86,751.13,2966.67
49,Chapai Nawabganj,151,719,148.45,687.88,150.50,679.27
50,Pabna,396,1956,397.53,1693.24,377.00,1824.00
51,Rajshahi,221,1210,240.60,1358.96,206.77,1386.61
52,Sirajganj,835,3761,825.85,3742.55,958.21,4593.30
6,Rajshahi Division,5084,20825,5052.44,21781.89,4745.02,20325.11
53,Dinajpur,479,1970,482,1885,501.00,2047.00
54,Gaibandha,595,2159,593,2015,705.57,2323.06
55,Kurigram,1104,6467,1043,6026,1029.70,5969.21
56,Lalmonirhat,228,690,222,685,224.50,697.09
57,Nilphamari,367,1699,352,1634,354.58,1626.76
58,Panchagar,354,1480,371,1973,365.00,1922.70
59,Rangpur,730,2245,725,2190,737.00,2261.00
60,Thakurgaon,404,1494,399,1467,889.41,3315.80
7,Rangpur Divison,4261,18204,4187,17875,4806.76,20162.62
61,Habiganj,685,3222,686.20,3189.42,595.91,2811.92
62,Moulvibazar,322.50,1038.70,230.70,1102.86,284.00,1731.35
63,Sunamganj,410,2111,703,4380,695.00,4331.00
64,Sylhet,288,755,303.15,825.60,298.10,837.54
8,Sylhet Division,1705.5,7126.7,1923.05,9497.88,1873.01,9711.81
BANGLADESH,,60647.38,245719.20,65524.21,279800.96,71510.81,303710.05
