Name of Crops,2019-20,,2020-21,,2021-22,
,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
Bhadoi Fodder,5729,33452,6743.85,43483,8065.47,68538.98
Rabi Fodder,38213,232302,38860.09,240966.42,41075.37,270627.83
Total Fodder,43942,265754,45603.94,284449.4,49140.84,541255.66
Mulberry,87 4,264 03,934,30534,733.00,29435.00
Sub Total,44816,292156,46537.94,314983.4,49873.84,570690.66
Marry Gold,13 35,2997,1025.62,1812.64,1022.76,1777.54
Rose Flower,666,19193,650,21981.70,608.09,22140.14
Tube Rose,903,2154,1235.56,4129.57,1217.13,4098.43
Belly,27,17,15.29,6.72,23.18,10.60
Gladiolas,924,4055,943.62,4159.54,557.50,3793.55
Cosmos,15,13,10.45,6.97,12.92,8.44
Chrysanthemum,29,15,27,11.05,37.18,136.36
Dalia,0,0,23.05,12.42,31.17,76.17
Sub Total,3899,28444,3930.59,32120.61,3509.93,32041.23
Grand Total,487 15,3206 00,50468.53,347104.01,53383.77,338958
