District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2,Barishal,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
3,Bhola,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4,Jhallokati,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5,Patuakhali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6,Pirojpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1,Barishal Division,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
7,Bandarban,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
8,Brahmanbaria,1.23,1.23,0.89,0,0,0.00,4,0.29,0.28,4,0.29,0.28
9,Chandpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
10,Chattogram,90,112.69,97.04,82,147.47,153.01,40,69.22,71.43,122,216.69,224.44
11,Cumilla,5,5.26,5.22,7,6.82,6.72,11,12.35,12.15,18,19.17,18.87
12,Cox’s Bazar,92,60.53,60.82,65,87.84,90.95,42,31.67,28.58,107,119.51,119.53
13,Feni,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
14,Khagrachari,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
15,Lakshmipur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
16,Noakhali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
17,Rangamati,21,22,21.78,6,2,1.46,3,7.01,5.38,9,9.01,6.84
2,"Chattogram
Division",209.23,201.71,185.75,160,244.13,252.14,100,120.54,117.82,260,364.67,369.96
18,Dhaka,62,63.32,64.10,17,22.16,244.64,1,1.14,24.70,18,23.30,269.34
19,Faridpur,3,4,4.00,1,0.27,0.28,0,0.25,0.28,1,0.52,0.56
20,Gazipur,30,30,30.00,14,15.67,15.69,1,0.33,0.31,15,16,16.00
21,Gopalganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
22,Kishoreganj,17.81,17.83,1.97,0,2.25,0.28,17,14.63,0.88,17,16.88,1.16
23,Madaripur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
24,Manikganj,10,6.15,6.71,2,12.30,0.00,1,0,13.41,3,12.30,13.41
25,Munshiganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
26,Narayanganj,4,5.01,3.02,0,0.13,0.15,0,0.85,0.74,1,0.98,0.89
27,Narsingdi,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
28,Rajbari,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
29,Shariatpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
30,Tangail,3,2.61,3.34,1,0,0.23,0,1.41,1.51,1,1.41,1.74
3,Dhaka Division,129.81,128.92,113.14,35,52.78,261.27,21,18.61,41.83,56,71.39,303.1
31,Bagerhat,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
32,Chuadanga,24,24.08,24.20,6,6.57,7.24,2,1.57,1.71,8,8.14,8.95
33,Jashore,222,222,212.00,18795,"21344.
39",21358,0,10.61,2.00,18795,21355,21360
34,Jhenaidah,16,16.90,15.31,5,29.72,34.02,29,3.81,11.84,34,33.53,45.86
35,Khulna,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
36,Kushtia,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
37,Magura,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
38,Meherpur,0,0,0.00,0,0,0.00,0,0,0.00,,0,0.00
39,Narail,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
40,Satkhira,1,0.51,0.47,2,0,0.00,2,0.41,0.46,2,0.41,0.46
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
4,Khulna Division,263,263.49,251.98,18808,"21380.
68","21399.
26",31,16.40,16.01,18839,"21397.
08","21415.
27"
41,Jamalpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
42,Mymensingh,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
43,Netrokona,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
44,Sherpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5,"Mymensingh
Division",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
45,Bogura,11,11.51,10.87,1,3.78,2.91,5,2.20,1.32,6,5.98,4.23
46,Joypurhat,10,0,0.00,1,7.37,0.00,2,17.09,0.00,3,24.46,0.00
47,Naogaon,5,5.52,4.84,6,7.97,5.52,1,16.82,8.98,7,24.79,14.5
48,Natore,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
49,Chapai Nawabganj,3,3.24,3.87,0,0.30,0.00,1,81,1.41,1,81.30,1.41
50,Pabna,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
51,Rajshahi,0,0.71,2.40,0,0.19,0.23,0,0.06,0.33,0,0.25,0.56
52,Sirajganj,5,4.95,4.83,0,0.35,0.34,0,2.53,2.45,11,2.88,2.79
6,Rajshahi Division,34,25.93,26.81,8,19.96,9.00,20,120,14.49,28,140,23.49
53,Dinajpur,2,1.63,1.22,2,1.83,0.32,2,1.91,2.26,4,3.74,2.58
54,Gaibandha,1,0.96,0.73,0,0,0.00,0.1,0.09,1.93,0.1,0.09,1.93
55,Kurigram,0,0,1.68,0,0,2.95,0,0,1.24,0,0,4.19
56,Lalmonirhat,6,5.97,4.04,0,0,0.00,1,0.65,0.77,1,0.65,0.77
57,Nilphamari,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
58,Panchagar,1,1.41,4.44,1,0.82,7.39,0,0,1.14,1,0.82,8.53
59,Rangpur,20,20.11,18.30,3,2.21,7.52,1,1.38,2.80,4,3.59,10.32
60,Thakurgaon,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
7,Rangpur Divison,30,30.08,30.41,6,4.87,18.18,4.10,4.03,10.14,10.10,8.90,28.32
61,Habiganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
62,Moulvibazar,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
63,Sunamganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
64,Sylhet,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
8,Sylhet Division,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
BANGLADESH,,666,650,608.09,19017,"21702.
42","21939.
58",176.10,279.28,200.29,"19193.1
0","21981.
70","22140.
14"
