District/ Division,,2019-20,,2020-21,,2021-22,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0,0,0.00,0.00
2,Barishal,0,0,0,0,0.00,0.00
3,Bhola,0,0,0,0,0.00,0.00
4,Jhallokati,0,0,0,0,0.00,0.00
5,Patuakhali,0,0,0,0,0.00,0.00
6,Pirojpur,0,0,0,0,0.00,0.00
1,Barishal Division,0,0,0,0,0.00,0.00
7,Bandarban,0,0,0,0,0.00,0.00
8,Brahmanbaria,0,0,0,0,1.8,0.13
9,Chandpur,0,0,0,0,0.00,0.00
10,Chattogram,0,0,0,0,0.00,0.00
11,Cumilla,0,0,0.47,0.46,0.45,0.44
12,Cox’s Bazar,0,0,0,0,0.00,0.00
13,Feni,0,0,0,0,0.00,0.00
14,Khagrachari,0,0,0,0,0.00,0.00
15,Lakshmipur,0,0,0,0,0.00,0.00
16,Noakhali,0,0,0,0,0.00,0.00
17,Rangamati,0,0,3.49,0.91,1.95,0.58
2,Chattogram Division,0,0,3.96,1.37,4.2,1.15
18,Dhaka,0,0,0,0,0.00,0.00
19,Faridpur,0,0,4,4,3.50,3.44
20,Gazipur,0,0,3,0,2.00,1.46
21,Gopalganj,0,0,0,0,0.00,0.00
22,Kishoreganj,0,0,0,0,0.00,0.00
23,Madaripur,0,0,0,0,0.00,0.00
24,Manikganj,0,0,0,0,0.00,0.00
25,Munshiganj,0,0,0,0,0.00,0.00
26,Narayanganj,0,0,0,0,12.39,65.17
27,Narsingdi,0,0,0,0,0.00,0.00
28,Rajbari,0,0,0,0,0.00,0.00
29,Shariatpur,0,0,0,0,0.00,0.00
30,Tangail,0,0,0,0,0.00,0.00
3,Dhaka Division,0,0,7,6,17.89,70.07
31,Bagerhat,0,0,0,0,0.00,0.00
32,Chuadanga,0,0,0,0,0.00,0.00
33,Jashore,0,0,7.09,2.05,5.23,0.00
34,Jhenaidah,0,0,0,0,0.00,0.00
35,Khulna,0,0,0,0,0.00,0.00
36,Kushtia,0,0,0,0,0.00,
37,Magura,0,0,0,0,0.00,0.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0,0,0.00,0.00
39,Narail,0,0,0,0,0.00,2.07
40,Satkhira,0,0,,,0.00,0.00
4,Khulna Division,0,0,7.09,2.05,5.23,2.07
41,Jamalpur,0,0,0,0,0.00,0.00
42,Mymensingh,0,0,0,0,0.00,0.00
43,Netrokona,0,0,0,0,0.00,0.00
44,Sherpur,0,0,0,0,0.00,0.00
5,Mymensingh Division,0,0,0,0,0.00,0.00
45,Bogura,0,0,0,0,0.00,0.00
46,Joypurhat,0,0,0,0,0.00,0.00
47,Naogaon,0,0,5,3,4.45,0.00
48,Natore,0,0,0,0,0.00,0.00
49,Chapai Nawabganj,0,0,0,0,0.00,0.00
50,Pabna,0,0,0,0,0.00,0.00
51,Rajshahi,0,0,0,0,0.00,0.00
52,Sirajganj,0,0,0,0,0.00,0.00
6,Rajshahi Division,0,0,5,3,4.45,2.88
53,Dinajpur,0,0,0,0,0.00,0.00
54,Gaibandha,0,0,0,0,0.00,0.00
55,Kurigram,0,0,0,0,0.00,0.00
56,Lalmonirhat,0,0,0,0,0.00,0.00
57,Nilphamari,0,0,0,0,0.00,0.00
58,Panchagar,0,0,0,0,0.00,0.00
59,Rangpur,0,0,0,0,0.00,0.00
60,Thakurgaon,0,0,0,0,0.00,0.00
7,Rangpur Divison,0,0.00,0,0,0.00,0.00
61,Habiganj,0,0,0,0,0.00,0.00
62,Moulvibazar,0,0,0,0,0.00,0.00
63,Sunamganj,0,0,0,0,0.00,0.00
64,Sylhet,0,0,0,0,0.00,0.00
8,Sylhet Division,0,0,0,0,0.00,0.00
BANGLADESH,,0,0,23.05,12.42,31.17,76.17
