Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug,Sep.,Oct.,Nov.,Dec.
Dhaka,14.3,16.2,20.8,23.6,24.7,26.7,27.0,27.2,27.2,25.8,20.1,16.0
Tangail,11.8,13.2,18.4,21.4,23.1,25.4,25.8,25.9,25.2,24.0,20.4,15.6
Mymensingh,12.7,14.3,18.7,21.4,23.9,26.4,26.8,27.4,26.5,25.5,17.9,13.5
Faridpur,12.3,13.7,19.2,22.6,24.0,26.3,26.7,27.1,27.1,25.6,19.25,14.5
Madaripur,12.4,13.3,18.9,22.3,24.2,*,*,*,*,*,*,*
Srimangal,11.1,11.6,16.0,20.0,23.3,25.4,25.7,26.0,25.7,24.6,16.9,11.8
Sylhet,13.6,15.1,18.7,21.1,23.0,25.3,25.7,26.4,25.6,25.1,19.5,14.8
Bogura,12.8,14.0,19.4,22.2,23.9,26.6,27.0,27.4,26.9,25.5,18.6,13.9
Dinajpur,10.9,11.9,17.5,20.1,22.8,26.2,26.4,,,,,
Ishwardi,11.2,12.2,17.7,21.7,24.0,26.3,26.8,27.2,26.8.,25.2,17.6,11.8
Rajshahi,11.4,12.5,18.0,21.6,24.1,26.2,26.9,27.2,26.8,25.0,17.3,12.9
Rangpur,11.9,12.8,17.7,20.6,23.2,26.0,26.2,27.0,26.0,24.7,17.9,13.7
Syedpur,11.3,12.4,17.5,19.6,22.5,25.8,26.3,26.8,25.9,24.3,16.5,12.6
Chuadanga,11.0,11.9,17.8,21.8,23.9,26.1,26.6,27.0,26.5,25.0,17.4,12.3
Jashore,11.2,13.2,18.6,22.4,24.4,26.0,26.6,26.7,26.6,25.2,17.9,12.9
Khulna,13.8,15.0,20.5,24.0,25.2,26.7,27.1,26.9,26.9,25.9,19.6,14.3
Mongla,14.2,15.4,20.8,24.3,25.3,26.4,26.8,26.9,26.7,25.7,20.4,15.6
Satkhira,13.4,14.7,20.1,23.9,24.9,27.0,27.3,27.3,27.1,26.0,19.7,14.2
Barishal,12.5,13.1,19.0,22.9,24.7,26.2,26.5,26.5,26.3,25.4,18.7,13.2
Bhola,13.0,13.8,19.6,23.1,24.9,26.2,26.5,26.6,26.4,25.6,19.3,13.7
Khepupara,13.7,14.6,20.3,24.2,25.5,25.8,26.8,26.5,26.3,25.7,19.8,14.2
Patuakhali,14.0,14.8,20.4,23.5,25.2,26.3,26.8,26.7,26.6,25.7,20.3,14.9
Chandpur,14.1,15.6,20.4,23.2,24.8,26.4,26.9,26.8,27.0,26.2,20.2,15.6
Ambagan(Ctg,15.0,15.8,20.7,23.5,25.2,26.0,25.8,25.7,26.1,25.9,20.7,16.2
Chittagong,15.1,15.6,20.8,23.8,25.7,26.1,25.9,26.0,26.0,26.5,20.6,16.2
Cumilla,13.1,14.2,19.3,22.1,24.4,25.9,26.5,26.2,26.4,25.5,19.2,13.7
Cox's Bazar,16.1,16.5,21.4,24.2,25.9,25.8,25.7,25.5,26.0,25.7,21.6,17.0
Feni,13.4,14.2,19.2,22.4,24.4,25.6,26.1,26.0,26.0,25.0,18.9,*
Hatiya,13.9,14.8,20.0,22.9,24.9,26.2,26.3,25.9,26.0,25.7,20.1,15.2
Kutubdia,15.1,15.5,20.4,23.7,25.6,26.3,25.9,25.7,26.3,25.9,20.9,16.2
M.court,14.7,15.7,20.7,23.2,25.1,26.3,26.7,26.4,26.7,26.0,20.9,15.9
Rangamati,13.6,13.2,18.0,21.8,24.1,25.3,25.5,25.3,25.7,26.6,19.8,14.5
Sandwip,13.7,14.1,19.3,22.8,25.0,25.9,25.9,25.9,25.7,25.6,20.7,16.2
Sitakunda,12.7,13.2,18.4,22.4,24.9,26.0,26.0,26.1,28.7,25.3,18.6,13.3
Teknaf,14.7,14.5,20.5,24.0,25.2,*,*,*,*,*,*,*
Gopalgonj,*,*,*,*,*,*,*,*,*,*,*,*
Tarash,*,*,*,*,*,*,*,*,*,*,*,*
Netrokona,*,*,*,*,*,*,*,*,*,*,*,*
Rajarhat,*,*,*,*,*,*,*,*,*,*,*,*
Badalgachhi,*,*,*,*,*,*,*,*,*,*,*,*
Dimla,*,*,*,*,*,*,*,*,*,*,*,*
Netrokonai,*,*,*,*,*,*,*,*,*,*,*,*
