District name,Jun-2021,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food (in
TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,-,,,-,,,-,,,-,,,-,,,-,,,407,,,254,,
Khagrachari,400,,,250,,,-,,,-,,,-,,,-,,,443,,,278,,
Rangamati,373,,,267,,,303,,,232,,,-,,,-,,,466,,,326,,
Chattogram,525,,,417,,,510,,,363,,,457,,,345,,,594,,,430,,
Cox’sbazar,577,,,294,,,480,,,300,,,371,,,239,,,614,,,337,,
Cumilla,462,,,430,,,408,,,400,,,400,,,400,,,488,,,408,,
Chandpur,-,,,-,,,-,,,-,,,-,,,-,,,360,,,-,,
Brahmmanbaria,421,,,300,,,471,,,400,,,358,,,227,,,485,,,371,,
Noakhali,534,,,-,,,600,,,-,,,525,,,-,,,613,,,-,,
Lakshmipur,-,,,-,,,-,,,-,,,-,,,-,,,400,,,-,,
Feni,-,,,-,,,513,,,-,,,483,,,-,,,618,,,-,,
"Chattogram
Division",470,,,326,,,469,,,339,,,433,,,303,,,499,,,343,,
Sylhet,421,,,300,,,401,,,-,,,375,,,-,,,429,,,350,,
Maulavi Bazar,403,,,258,,,390,,,332,,,-,,,-,,,429,,,339,,
Sunamganj,387,,,304,,,-,,,-,,,-,,,-,,,391,,,340,,
Habiganj,388,,,-,,,-,,,-,,,-,,,-,,,406,,,288,,
Sylhet Division,400,,,287,,,396,,,332,,,375,,,-,,,414,,,329,,
Dhaka,505,,,350,,,418,,,300,,,375,,,300,,,525,,,400,,
Gazipur,455,,,350,,,-,,,-,,,484,,,383,,,556,,,438,,
Manikganj,500,,,400,,,479,,,351,,,477,,,350,,,576,,,431,,
Munshiganj,520,,,300,,,500,,,-,,,456,,,-,,,541,,,350,,
Narayanganj,435,,,375,,,422,,,350,,,375,,,325,,,487,,,405,,
Narsingdi,-,,,-,,,506,,,310,,,514,,,-,,,550,,,340,,
Faridpur,461,,,-,,,-,,,-,,,450,,,-,,,759,,,-,,
Rajbari,390,,,350,,,333,,,200,,,300,,,200,,,520,,,300,,
Madaripur,433,,,350,,,-,,,-,,,550,,,-,,,475,,,400,,
Gopalganj,444,,,400,,,394,,,-,,,346,,,-,,,481,,,420,,
Shariatpur,375,,,350,,,-,,,-,,,300,,,-,,,425,,,350,,
Tangail,450,,,340,,,430,,,310,,,450,,,275,,,490,,,390,,
Kishoreganj,-,,,-,,,416,,,-,,,378,,,-,,,464,,,-,,
Dhaka Division,452,,,357,,,433,,,304,,,420,,,306,,,527,,,384,,
Mymensing,,458,,,333,,,451,,,257,,,497,,,-,,,531,,,343,
Jamalpur,,503,,,-,,,331,,,-,,,337,,,-,,,520,,,-,
Sherpur,,445,,,-,,,456,,,-,,,467,,,-,,,490,,,-,
Netrokona,,360,,,266,,,398,,,308,,,-,,,-,,,466,,,365,
"Mymensing
Division",442,,,300,,,409,,,283,,,434,,,-,,,502,,,354,,
