District name,Nov-21,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food
(in TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,-,,,-,,,-,,,-,,,-,,,-,,,443,,,221,,
Khagrachari,450,,,300,,,-,,,-,,,-,,,-,,,460,,,293,,
Rangamati,382,,,263,,,313,,,234,,,-,,,-,,,475,,,323,,
Chattogram,540,,,430,,,495,,,367,,,498,,,348,,,572,,,424,,
Cox’sbazar,621,,,388,,,591,,,395,,,500,,,-,,,665,,,463,,
Cumilla,503,,,330,,,430,,,297,,,417,,,285,,,415,,,346,,
Chandpur,-,,,-,,,-,,,-,,,-,,,-,,,476,,,,,
Brahmmanbaria,405,,,317,,,382,,,-,,,384,,,-,,,451,,,329,,
Noakhali,541,,,-,,,600,,,-,,,525,,,-,,,605,,,-,,
Lakshmipur,-,,,-,,,-,,,-,,,-,,,-,,,460,,,-,,
Feni,-,,,-,,,528,,,-,,,495,,,-,,,574,,,-,,
"Chattogram
Division",492,,,338,,,477,,,323,,,470,,,317,,,509,,,343,,
Sylhet,433,,,350,,,414,,,,,,375,,,,,,453,,,300,,
Maulavi Bazar,420,,,285,,,425,,,350,,,,,,,,,458,,,341,,
Sunamganj,359,,,301,,,,,,,,,,,,,,,402,,,334,,
Habiganj,450,,,375,,,,,,,,,,,,,,,436,,,317,,
Sylhet Division,416,,,328,,,420,,,350,,,375,,,-,,,437,,,323,,
Dhaka,590,,,400,,,508,,,350,,,500,,,350,,,580,,,450,,
Gazipur,515,,,310,,,-,,,-,,,493,,,400,,,591,,,479,,
Manikganj,450,,,300,,,436,,,283,,,397,,,270,,,514,,,358,,
Munshiganj,550,,,-,,,-,,,-,,,473,,,-,,,523,,,375,,
Narayanganj,445,,,375,,,430,,,363,,,375,,,325,,,488,,,420,,
Narsingdi,-,,,-,,,434,,,300,,,493,,,350,,,552,,,400,,
Faridpur,448,,,-,,,-,,,-,,,500,,,-,,,520,,,-,,
Rajbari,433,,,400,,,-,,,-,,,435,,,370,,,540,,,-,,
Madaripur,375,,,200,,,370,,,-,,,320,,,-,,,410,,,332,,
Gopalganj,480,,,,,,350,,,-,,,383,,,-,,,518,,,350,,
Shariatpur,400,,,288,,,300,,,250,,,334,,,-,,,417,,,308,,
Tangail,485,,,390,,,460,,,350,,,445,,,310,,,525,,,440,,
Kishoreganj,400,,,300,,,494,,,-,,,486,,,-,,,518,,,350,,
Dhaka Division,464,,,329,,,420,,,316,,,433,,,339,,,515,,,387,,
Mymensing,,471,,,310,,,501,,,317,,,449,,,350,,,545,,,460,
Jamalpur,,485,,,0,,,482,,,0,,,489,,,0,,,558,,,0,
Sherpur,,521,,,0,,,544,,,0,,,513,,,0,,,589,,,0,
Netrokona,,402,,,297,,,450,,,332,,,,,,,,,513,,,399,
"Mymensing
Division",470,,,304,,,494,,,325,,,484,,,350,,,551,,,430,,
