District name,Jun-2022,,,,,,,
,With Food,,,,,,"Without Food (in
TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,471,336
Khagrachari,450,300,-,-,-,-,460,329
Rangamati,371,258,306,225,-,-,479,322
Chattogram,543,393,512,339,487,346,580,412
Cox’sbazar,611,388,560,333,538,298,644,458
Cumilla,514,398,476,340,549,420,558,335
Chandpur,-,-,-,-,-,-,488,-
Brahmmanbaria,459,350,394,-,405,350,496,373
Noakhali,534,-,600,-,525,-,624,-
Lakshmipur,-,-,-,-,-,-,460,-
Feni,544,-,-,-,-,-,618,-
"Chattogram
Division",503,348,475,309,501,353,534,366
Sylhet,428,350,420,-,375,-,459,300
Maulavi Bazar,416,342,400,276,-,-,477,380
Sunamganj,380,294,-,-,-,-,427,335
Habiganj,438,350,-,-,-,-,453,330
Sylhet Division,415,334,410,276,375,-,454,336
Dhaka,555,400,532,350,425,300,552,450
Gazipur,560,370,-,-,548,467,681,491
Manikganj,709,500,677,497,602,400,736,553
Munshiganj,550,350,-,-,485,-,541,300
Narayanganj,650,550,575,488,500,480,730,632
Narsingdi,-,-,654,500,604,-,671,550
Faridpur,489,-,-,-,550,-,550,-
Rajbari,580,400,-,-,550,400,650,483
Madaripur,475,325,450,-,400,-,483,420
Gopalganj,388,-,-,-,379,350,472,400
Shariatpur,420,380,383,250,350,-,533,425
Tangail,485,375,640,325,565,275,670,535
Kishoreganj,-,-,533,-,498,-,530,-
"Dhaka
Division",533,406,555,402,497,382,600,476
Mymensing,499,413,522,467,573,500,565,470
Jamalpur,549,-,575,-,567,-,656,-
Sherpur,516,-,550,-,540,-,580,-
Netrokona,488,325,499,340,-,-,530,423
"Mymensing
Division",513,369,537,404,560,500,583,447
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,474,-,400,-,-,-,505,-
Jhalokathi,533,449,-,-,-,-,598,493
Perojpur,528,-,504,400,425,380,578,-
Bhola,510,-,442,-,-,-,555,389
Patuakhali,550,-,500,-,-,-,700,-
Barguna,618,368,648,393,-,-,583,343
"Barishal
Division",536,409,499,397,425,380,587,408
Jashore,-,-,-,-,-,-,342,258
Jhenaidah,334,256,313,241,300,228,365,278
Magura,457,-,413,-,372,-,497,-
Narail,365,-,-,-,467,-,487,402
Khulna,-,-,-,-,-,-,460,371
Bagerhat,-,-,450,300,460,-,497,320
Satkhira,-,-,-,-,-,-,371,313
Kushtia,425,350,-,-,-,-,475,400
Chuadanga,275,-,-,-,-,-,300,-
Meherpur,367,-,-,-,-,-,417,-
Khulna Division,370,303,392,271,400,228,421,335
Rajshahi,425,292,415,350,422,377,460,360
Naogaon,420,335,350,300,-,-,403,325
Natore,350,315,-,-,-,-,427,318
"Chapai
Nawabganj",450,345,450,335,450,330,470,347
Bogura,438,275,365,-,423,-,455,-
Joypurhat,400,300,488,475,-,-,503,430
Pabna,506,-,-,-,-,-,555,300
Sirajganj,-,-,-,-,-,-,469,350
"Rajshahi
Division",427,310,414,365,432,354,468,347
Rangpur,380,235,-,-,-,-,392,260
Gaibandha,-,-,-,-,-,-,373,275
Kurigram,383,215,-,-,-,-,384,237
Nilphamari,404,243,-,-,-,-,415,270
Lalmonirhat,407,305,245,287,-,-,419,314
Dinajpur,413,344,-,-,-,-,467,382
Thakurgaon,350,292,-,-,-,-,410,314
Panchagar,380,280,-,-,-,-,400,259
"Rangpur
Division",388,273,245,287,-,-,408,289
BANGLADESH,467,342,478,355,478,369,509,374
