District name,Aug-2022,,,,,,,
,With Food,,,,,,"Without Food
(in TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,500,343
Khagrachari,450,300,0,0,0,0,460,329
Rangamati,384,266,313,231,0,0,484,325
Chattogram,578,426,499,360,500,354,621,459
Cox’sbazar,635,385,618,355,562,294,707,438
Cumilla,573,415,493,358,575,440,528,350
Chandpur,0,0,0,0,0,0,489,0
Brahmmanbaria,404,325,359,0,400,350,473,406
Noakhali,548,0,600,0,525,0,632,0
Lakshmipur,0,0,0,0,0,0,480,0
Feni,568,0,0,0,0,0,625,0
"Chattogram
Division",517,353,480,326,512,360,545,378
Sylhet,431,350,424,0,375,0,453,300
Maulavi Bazar,402,335,400,276,0,0,463,363
Sunamganj,401,287,0,0,0,0,446,322
Habiganj,500,350,0,0,0,0,480,432
Sylhet Division,434,330,412,276,375,-,461,354
Dhaka,492,400,488,350,417,300,564,450
Gazipur,595,365,550,450,544,429,611,588
Manikganj,500,400,497,386,461,375,560,454
Munshiganj,450,350,0,0,501,0,485,400
Narayanganj,650,550,575,488,500,480,703,592
Narsingdi,0,0,508,0,518,0,551,0
Faridpur,614,300,0,0,600,0,672,330
Rajbari,630,450,450,400,575,0,730,475
Madaripur,404,300,500,0,550,0,508,410
Gopalganj,513,0,300,200,408,300,525,375
Shariatpur,440,390,400,325,350,0,542,450
Tangail,570,305,495,255,510,200,600,475
Kishoreganj,0,0,573,0,501,0,563,0
Dhaka Division,533,381,485,357,495,347,586,454
Mymensing,501,405,513,433,551,475,525,470
Jamalpur,595,-,590,-,544,-,640,-
Sherpur,503,-,510,-,543,-,548,-
Netrokona,491,300,443,300,-,-,524,393
"Mymensing
Division",523,353,514,367,456,475,559,432
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,490,0,410,0,0,0,498,0
Jhalokathi,558,450,0,0,0,0,640,496
Perojpur,553,0,530,440,440,380,606,300
Bhola,512,0,416,0,0,0,584,398
Patuakhali,550,0,500,0,0,0,650,0
Barguna,653,407,683,435,0,0,615,385
"Barishal
Division",553,406,485,438,440,380,599,426
Jashore,0,0,0,0,0,0,370,249
Jhenaidah,390,300,368,287,356,271,419,321
Magura,536,0,509,0,476,0,582,0
Narail,402,300,0,0,342,0,476,362
Khulna,0,0,0,0,0,0,475,372
Bagerhat,517,0,471,0,488,0,535,350
Satkhira,0,0,0,0,0,0,383,321
Kushtia,467,4000,0,0,0,0,525,450
Chuadanga,323,0,0,0,0,0,355,0
Meherpur,488,0,0,0,0,0,560,0
Khulna Division,446,333,449,287,415,271,468,346
Rajshahi,463,382,442,388,0,0,463,377
Naogaon,456,0,375,340,0,0,470,349
Natore,442,351,465,340,0,0,472,372
"Chapai
Nawabganj",515,400,550,400,0,0,486,367
Bogura,392,0,519,0,466,0,449,0
Joypurhat,400,300,450,400,0,0,450,400
Pabna,500,375,0,0,0,0,551,298
Sirajganj,0,0,0,0,0,0,394,300
"Rajshahi
Division",453,357,464,306,441,0,467,351
Rangpur,415,275,0,0,0,0,390,270
Gaibandha,0,0,0,0,0,0,379,283
Kurigram,373,234,0,200,0,0,386,263
Nilphamari,414,272,0,0,0,0,388,248
Lalmonirhat,364,271,400,300,0,0,364,268
Dinajpur,401,320,0,0,0,0,445,357
Thakurgaon,416,317,0,0,0,0,410,330
Panchagar,382,282,0,0,0,0,357,259
"Rangpur
Division",395,281,405,250,0,0,390,285
BANGLADESH,482,349,462,326,461,367,509,378
