District,River,"Sundar-
bans",Beel,"Kaptai
Lake","Flood
Plain",Pond,"Seasonal
Cultured
Water Body",Baor,"Shrimp/
Prawn
Farm","Pen
Culture","Cage
Culture",Total
Dhaka,1159,0,842,0,6239,8618,3541,0,5,2049,4,22457
Faridpur,2118,0,606,0,9306,21394,6312,812,14,1171,15,41748
Gazipur,519,0,1804,0,17305,27653,8361,0,5,910,11,56568
Gopalganj,691,0,888,0,8739,17539,3262,814,2251,4141,13,38338
Kishoreganj,2466,0,7122,0,46642,27083,1058,0,2,936,4,85313
Madaripur,1492,0,323,0,8679,13479,210,1464,73,1395,181,27296
Manikganj,2883,0,700,0,11214,13670,3031,0,7,518,0,32023
Munshiganj,3376,0,287,0,11917,9946,4302,0,4,201,0,30033
Narayanganj,1817,0,166,0,1702,10529,3383,0,1,1062,0,18661
Narsingdi,2707,0,1306,0,13161,24997,833,0,2,100,939,44045
Rajbari,2989,0,307,0,6555,15844,2715,33,4,0,6,28450
Shariatpur,5727,0,47,0,5682,14579,732,0,39,4,0,26810
Tangail,1355,0,2401,0,11900,41802,2440,0,5,9,0,59912
Dhaka Division,29299,0,16799,0,159041,247133,40180,3123,2411,12496,1173,511652
Jamalpur,2991,0,3306,0,10088,19877,1517,0,2,0,19,37800
Mymensingh,1323,0,6585,0,11453,313213,1258,0,4,20,21,333877
Netrakona,1496,0,6906,0,37567,42159,3275,0,0,90,0,91493
Sherpur,971,0,2581,0,2606,23862,1028,0,0,0,0,31048
Mymensingh Division,6781,0,19378,0,61714,399111,7078,0,5,110,40,494217
Bagerhat,5335,22295,32,0,5190,17943,1878,18,76090,206,3,128990
Chuadanga,359,0,1115,0,1354,11755,1414,1650,0,0,0,17647
Jashore,974,0,1765,0,36410,135789,25302,3834,31591,0,0,235665
Jhenaidah,354,0,1081,0,6483,27684,4292,2150,0,0,0,42044
Khulna,3725,1223,244,0,21121,18611,1085,0,70935,0,2,116946
Kushtia,1301,0,586,0,3945,24601,3900,210,1,0,0,34544
Magura,1170,0,158,0,2962,11344,67,248,46,0,0,15995
Meherpur,292,0,396,0,903,7450,214,254,0,0,18,9527
Narail,970,0,566,0,3373,5127,630,0,4598,0,0,15264
Satkhira,1355,741,34,0,14164,42490,1954,198,78668,0,0,139604
Khulna Division,15835,24259,5977,0,95905,302794,40736,8562,261928,206,23,756225
Barguna,6378,0,0,0,3692,8096,649,0,626,18,86,19545
Barishal,41562,0,37,0,9476,39291,8022,0,3023,0,60,101471
Bhola,94252,0,0,0,5351,39067,434,0,134,0,155,139393
Jhalokati,2049,0,15,0,4777,4967,582,0,178,120,10,12698
Patuakhali,31416,0,0,0,10632,26780,244,0,3316,5,0,72393
Pirojpur,3623,0,12,0,4163,9793,1076,0,2526,0,28,21221
Barishal Division,179280,0,64,0,38091,127994,11007,0,9802,143,339,366720
