District,Area (Ha),,,,Shrimp/ Prawn Production (MT),,,,"Crab
Produc
-tion
(MT)","Fish
Produc-
tion
(MT)","Total
Produc-
tion (MT)"
,Bagda,Galda,Crab,Total,Bagda,Galda,"Other
shrim
p/
praw
n","Total
shrimp/
prawn",,,
Dhaka,0,1.25,0,1.25,0,0.05,0,0.05,0,4.80,4.85
Faridpur,0,9.40,0,9.40,0,3.71,0,3.71,0,10.35,14.06
Gazipur,0,1.20,0,1.20,0,0.32,0,0.32,0,4.90,5.22
Gopalgan,0,1440.55,0,1440.55,0,818.04,0,818.04,0,1432.60,2250.64
Kishoreganj,0,0.54,0,0.54,0,0.32,0,0.32,0,1.84,2.16
Madaripur,0,17.5,0,17.50,0,9.67,0,9.67,0,63.39,73.06
Manikganj,0,3.10,0,3.10,0,2.62,0,2.62,0,4.11,6.73
Munsiganj,0,0.66,0,0.66,0,0.50,0,0.50,0,3.00,3.50
Narayanganj,0,0.40,0,0.40,0,0.21,0,0.21,0,1.20,1.41
Narsingdi,0,0.52,0,0.52,0,0.41,0,0.41,0,1.51,1.92
Rajbari,0,0.91,0,0.91,0,0.52,0,0.52,0,3.30,3.82
Shariatpur,0,14.05,0,14.05,0,5.35,0,5.35,0,33.30,38.65
Tangail,0,0.95,0,0.95,0,0.47,0,0.47,0,4.14,4.61
Dhaka Div.,0,1491.03,0,1491.03,0,842.19,0,842.19,0,1568.44,2410.63
Jamalpur,0,0.42,0,0.42,0,0.21,0,0.21,0,1.61,1.82
Mymensingh,0,0.97,0,0.97,0,0.59,0,0.59,0,2.99,3.58
Netrakona,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Sherpur,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Mymensingh Div.,0,1.39,0,1.39,0,0.80,0,0.80,0,4.60,5.40
Bagerhat,52551,20173.30,1310,"74034.3
0","18336
.80",19115.70,"2419.
45",39871.95,3042,33176.00,76089.95
Chuadanga,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Jashore,1278,15634.16,65,"16977.1
6","356.
00","8988.0
0","89.5
0",9433.50,0.35,"22157.0
0",31590.85
Jhenaidah,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Khulna,32998.33,19016.44,7325,"59339.7
7","1122
4.35","11937.
75","1960
.40","25122.5
0",5850,"39962.0
0",70934.50
Kushtia,0,1.00,0,1.00,0,0.27,0,0.27,0,0.47,0.74
Magura,0,11.11,0,11.11,0,3.95,0,3.95,0,42.07,46.02
Meherpur,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Narail,0,2327.00,,2327.00,0,2100,218,2318.00,0,2280.00,4598.00
Satkhira,58294,9389.00,321,"68004.0
0","2480
2.00","9014.5
0","4441
.50","38258.0
0",1936,"38474.0
0",78668.00
Khulna Div.,"145121.3
3",66552.01,9021,"220694.
34","5471
9.15","51160.
17","9128
.85","115008.
17","10828.3
5","136091.
54",261928.06
Barguna,256.5,148.40,8,412.90,99,95.30,"78.2
5",272.55,33.90,319.20,625.65
Barishal,0,1085.00,0,1085.00,0,467.50,65.5,533.00,0,2490.00,3023.00
