Name,2019-20,,2020-21,,2021-22,
,Area,Production,Area,Production,Area,Production
Aus Rice,,,,,,
Local,"3,25,364","1,61,714","2,65,264","1,39,086","2,48,505","1,31,421"
HYV*,"2,38,0957","25,93,681","29,59,516","31,45,624","26,15,582","28,69,436"
Total Aus,"27,06,320","27,55,396","32,24,780","32,84,710","28,64,087","30,00857"
Aman Rice,,,,,,
Broadcast,"5,74,311","2,63,316","5,82,371","2,81,220","6,14,084","2,71,791"
Local Trans.,"20,71,387","12,32,057","19,57,768","12,23,034","17,85,670","11,07,786"
HYV*,"1,10,93,529","1,27,07,824","113,18,953","129,33,509","117,32,031","135,78,813"
Total Aman,"1,37,39,227","1,42,03,197","138,59,092","144,37,763","141,31,786","149,58,390"
Boro Rice,,,,,,
Local,"81,928","60,510","77,414","56,060","61,175","45,478"
HYV*,"94,96,436","1,54,57,679","92,98,315","152,02,276","90,27,557","148,23,141"
Hybrid,"21,89,336","41,27,145","24,53,421","46,26,947","28,07,230","53,17,326"
Total Boro,"1,17,67,700","1,96,45,334","118,29,150","198,85,283","118,95,962","201,85,945"
Total Rice,"2,82,13,247","3,66,03,927","2,89,13,022","3,76,07,756",28891835,38145192
Wheat,"8,21,081","10,29,354","8,12,805","10,85,368",777718,1085834
Total Of Mojar Cereals,"2,90,34,328","3,76,33,281",29725827,38693124,29669553,39231026
