District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Productio
n"
,,Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,231401,93643,20.64,1.904,178315,231852,93850,22.45,2.070,194271
2,Barishal,302665,122482,20.28,1.871,229149,300640,121687,20.76,1.914,232967
3,Bhola,388575,157248,29.49,2.720,427686,413366,167346,31.32,2.888,483326
4,Jhallokati,116665,47212,21.28,1.963,92688,116760,47257,20.88,1.925,90990
5,Patuakhali,431833,174753,20.07,1.852,323592,464161,187884,22.39,2.065,388012
6,Pirojpur,155038,62740,17.28,1.594,99988,156529,63350,15.53,1.432,90716
1,"Barishal
Division",1626177,658078,22.26,2.054,1351419,"168330
8",681374,23.56,2.172,1480282
7,Bandarban,25646,10378,31.50,2.905,30154,24635,9974,29.86,2.753,27455
8,Brahmanbaria,174588,70652,27.18,2.507,177143,174096,70474,26.88,2.479,174681
9,Chandpur,90004,36423,20.91,1.928,70243,105017,42500,18.91,1.744,74129
10,Chattogram,444857,180024,26.20,2.417,435070,445835,180489,26.69,2.461,444143
11,Cumilla,327517,132539,24.37,2.248,297925,313671,126985,26.38,2.432,308845
12,Cox’s Bazar,181306,73371,29.75,2.744,201325,183516,74297,30.43,2.806,208441
13,Feni,163129,66015,32.21,2.971,196106,162866,65935,32.38,2.985,196830
14,Khagrachari,66694,26990,34.94,3.223,86994,67542,27344,33.04,3.046,83300
15,Lakshmipur,185213,74952,28.22,2.603,195078,187521,75916,29.17,2.690,204188
16,Noakhali,382971,155025,27.69,2.553,395848,372889,150955,28.45,2.623,395982
17,Rangamati,23990,9708,32.12,2.963,28765,23686,9589,31.77,2.929,28090
2,"Chattogram
Division",206515,836075,27.42,2.529,2114643,"206127
5",834459,27.89,2.572,2146083
18,Dhaka,18702,7568,25.86,2.385,18052,18598,7528,25.12,2.316,17437
19,Faridpur,191856,77640,27.87,2.570,199564,202637,82033,29.40,2.710,222346
20,Gazipur,112432,45499,31.77,2.930,133334,108468,43912,32.51,2.997,131623
21,Gopalganj,59993,24278,20.14,1.858,45111,56699,22950,19.07,1.759,40366
22,Kishoreganj,186328,75403,31.03,2.862,215828,187274,75818,29.79,2.747,208251
23,Madaripur,40746,16500,22.24,2.050,33832,43330,17538,20.96,1.933,33902
24,Manikganj,19457,7874,24.64,2.273,17897,83496,33794,15.63,1.442,48722
25,Munshiganj,41822,16924,10.54,0.972,16453,49161,19895,11.20,1.033,20553
26,Narayanganj,19756,7995,14.69,1.355,10831,18146,7345,15.77,1.454,10682
