Name of Crops,2020-21,,2021-22,,2022-23,
,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
Gram,11318.37,5008.77,10712.66,4846.62,9972.05,4664.50
Arhar,1106,474,1071.46,454.42,1011.98,422.50
Lentil (Masur),360699,185500,356946.10,190743.61,334429.60,196829.24
Pea (Motor),18501,8051.97,18276.65,8131.99,17237.51,7707.47
Green gram (Mug),109304.77,41189.26,113909.14,41548.48,11209.60,45565.80
Black gram (Mashkalai),100333.96,37344.18,102219.95,39005.33,101790.36,40907.40
Kheshari,286335.29,130629.34,290902.15,131908.45,271794.00,129015.32
Fallon,30231.53,16083.02,30714.45,15474.35,30031.45,13797.07
Garikalai,1421.10,433.20,1232.98,373.87,1217.86,370.10
Other pulses,-,-,-,-,-,-
Total,919251.02,424713.74,925985.5,432487.1,880194.41,439279.4
