District/ Division,,2020-21,,2021-22,,2022-23,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0.00,0.00,0.00,0.00
2,Barishal,0,0,18.00,4.00,0.00,0.00
3,Bhola,106,79.19,177.00,72.09,174.00,82.94
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,50,10.75,52.00,11.02,54.00,11.50
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
1,Barishal Division,156,89.94,247.00,87.11,228.00,94.44
7,Bandarban,5.22,0.65,5.10,0.67,5.20,0.68
8,Brahmanbaria,269.35,93,276.04,95.63,273.08,88.28
9,Chandpur,0,0,0.00,0.00,0.00,0.00
10,Chattogram,0,0,0.00,0.00,0.00,0.00
11,Cumilla,15.80,5.75,15.00,5.00,16.31,6.35
12,Cox’s Bazar,0,0,0.00,0.00,0.00,0.00
13,Feni,0,0,0.00,0.00,0.00,0.00
14,Khagrachari,0,0,0.00,0.00,0.00,0.00
15,Lakshmipur,0,0,0.00,0.00,0.00,0.00
16,Noakhali,27,3.78,164.80,44.55,171.50,48.09
17,Rangamati,0,0,0.00,0.00,0.00,0.00
2,Chattogram Division,317.37,103.18,460.94,145.85,466.09,143.40
18,Dhaka,0,0,0.00,0.00,0.00,0.00
19,Faridpur,2493.30,587.05,2492.25,585.00,2470.30,579.04
20,Gazipur,5.45,2.37,4.95,2.16,4.80,2.10
21,Gopalganj,1821.50,533.98,1837.20,571.80,1847.20,585.26
22,Kishoreganj,0,0,0.00,0.00,0.00,0.00
23,Madaripur,293.50,80.71,275.83,80.75,215.71,62.45
24,Manikganj,0,0,13.50,4.65,8.07,2.74
25,Munshiganj,0,0,0.00,0.00,0.00,0.00
26,Narayanganj,6.20,1.35,6.05,1.27,5.96,1.23
27,Narsingdi,0,0,0.00,0.00,0.00,0.00
28,Rajbari,436,117,282.00,141.00,310.00,142.77
29,Shariatpur,45,19,54.00,23.00,53.00,25.00
30,Tangail,116.65,25.11,106.61,24.00,97.67,22.34
3,Dhaka Division,5217.60,1366.57,5072.39,1433.63,5012.71,1422.93
31,Bagerhat,0,0,0.00,0.00,0.00,0.00
32,Chuadanga,78.50,25,76.00,22.99,70.15,20.65
33,Jashore,107,28,108.00,28.90,115.00,31.83
34,Jhenaidah,158,45,150.00,37.14,133.50,34.97
35,Khulna,0,0,0.00,0.00,0.00,0.00
36,Kushtia,486,194,474.00,189.00,409.00,166.00
37,Magura,2940.45,827.79,2883.50,809.10,2864.75,824.38
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0.00,0.00,0.00,0.00
39,Narail,352,92.30,262.00,69.75,280.00,75.33
40,Satkhira,0,0,0.00,0.00,0.00,0.00
4,Khulna Division,4121.95,1212.09,3953.50,1156.88,3872.40,1153.16
41,Jamalpur,168,48,161.00,51.00,158.00,46.00
42,Mymensingh,38,13,41.00,15.00,42.00,15.00
43,Netrokona,17,8,14.00,6.00,5.00,2.00
44,Sherpur,2,0.52,2.00,1.00,1.45,0.43
5,Mymensingh Division,225,69.52,218.00,73.00,206.45,63.43
45,Bogura,0,0,0.00,0.00,0.00,0.00
46,Joypurhat,0,0,0.00,0.00,0.00,0.00
47,Naogaon,62.41,10.70,2.00,0.27,0.00,0.00
48,Natore,30,7.85,24.00,6.00,18.00,5.00
49,Chapai Nawabganj,131.45,32.10,123.00,30.00,122.00,32.00
50,Pabna,336,102,239.00,70.00,153.00,46.00
51,Rajshahi,27,8.15,24.00,7.00,20.00,6.00
52,Sirajganj,871,304.51,864.00,312.00,666.00,222.00
6,Rajshahi Division,1457.86,465.31,1276.00,425.27,979.00,311.00
53,Dinajpur,53,10,41.00,8.13,40.40,9.00
54,Gaibandha,80,23,76.00,23.00,61.20,18.88
55,Kurigram,582,227,850.20,211.90,565.40,200.65
56,Lalmonirhat,6,2,6.25,1.38,6.75,1.77
57,Nilphamari,0,0,0.00,0.00,0.00,0.00
58,Panchagar,220,44,205.00,43.26,171.00,33.84
59,Rangpur,0,0,0.00,0.00,0.00,0.00
60,Tahkurgaon,364,81,351.99,79.77,351.00,79.56
7,Rangpur Division,1305,387,1530.44,367.44,1195.75,343.70
61,Habigonj,19,6.46,10.00,3.00,7.75,2.19
62,Moulvibazar,0,0,0.00,0.00,0.00,0.00
63,Sunamganj,11,9,19.00,16.00,30.00,25.00
64,Sylhet,39,26.08,38.00,27.06,31.00,23.01
8,Sylhet Division,69,41.54,67.00,46.06,68.75,50.20
BANGLADESH,,10156.22,3094.22,12869.78,3735.15,12029.15,3582.26
