District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,8120,8120.11,7063.60,380,298.72,279.61,10373,6921.28,6566.39,10753,7220,6846
2,Barishal,11243,9043.00,"10087.0
0",0,0,1072.53,14286,18592,"19876.4
7",14286,18592,20949
3,Bhola,12771,"12734.8
0","12561.8
0",1556,1363.57,1181.29,28239,"24059.4
3","21033.6
9",29795,25423,"22214.9
8"
4,Jhallokati,3287,3169.00,3204.00,0,0,0,7217,6561,6327,7217,6561,6327
5,Patuakhali,1887,1887.00,1901.00,0,0,0,11673,11411,11237,11673,11411,11237
6,Pirojpur,3263,3262.70,3262.70,2751,2761.7,2760.56,19987,19976.3,"19976.4
4",22738,22738,22737
1,Barishal Division,40571,"38216.6
1","38080.1
0",4687,4423.99,5293.99,91775,"87521.0
1","85016.9
9",96462,91945,"90310.9
8"
7,Bandarban,621,622.00,622.60,7,466.81,475.62,1085,629.19,642.74,1092,1096,1118.36
8,Brahmanbaria,1045,554.06,566.36,0,0,0,5299,5167.39,5380.14,5299,5167.39,5380.14
9,Chandpur,1550,431.93,432.52,0,0,0,11414,"10184.1
5","10209.1
1",11414,"10184.1
5","10209.1
1"
10,Chattogram,2938,2449.58,2526.17,1021,892.5,902.89,7030,6046.22,6062.45,8051,6938.72,6965.34
11,Cumilla,2343,1278.00,1277.44,2475,1861.47,1860.74,4508,454,5251.26,6983,2315.47,7112
12,Cox’s Bazar,900,377.59,433.74,3737,4541.81,4620.3,6022,7405.96,7610,9759,"11947.7
7",12230.3
13,Feni,962,961.53,962.14,102,25.13,171.57,2213,2197.3,3798.43,2315,2222.43,3970
14,Khagrachari,542,552.20,558.11,33,25.13,25.34,900,945.91,959,933,971.04,984.34
15,Lakshmipur,9000,487.76,503.75,0,880.36,976.99,13085,12331.9,"13188.0
1",13085,"13212.2
6",14165
16,Noakhali,1449,1473.59,1676.44,0,0,0,14612,"17774.2
6","17959.0
7",14612,"17774.2
6","17959.0
7"
17,Rangamati,2429,2275.27,2267.88,4021,2079.9,"2049.02
4",17,1659.73,"1663.18
8",4038,3739.63,"3712.21
2"
2,"Chattogram
Division",23779,"11463.5
1","11827.1
5",11396,"10773.1
1","11082.4
7",66185,"64796.0
1","72723.4
0",77581,"75569.1
2","83805.8
7"
18,Dhaka,900,226.74,303.34,122,128.99,132.25,2793,2744.53,3019.43,2915,2873.52,3151.68
19,Faridpur,452,410.00,414.00,160,362.11,342.66,4731,4751.46,4771.73,4891,5113.57,5114.39
20,Gazipur,342,383.15,388.86,190,192.67,193.8,1566,1634.32,1670.2,1756,1826.99,1864
21,Gopalganj,750,750.90,752.57,125,1075.53,108.84,2448,2117.11,2124.95,2573,3192.64,2233.79
22,Kishoreganj,347,345.54,376.97,277,293.58,171.95,4900,5081.92,5221.56,5177,5375.5,5393.51
23,Madaripur,412,414.49,426.09,0,0,0,6507,4693.77,4637.26,6507,4693.77,4637.26
