District/ Division,,2020-21,,2021-22,,2022-23,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,42,30,41.00,29.00,51.00,37.00
2,Barishal,493,305,492.00,310.00,394.00,227.00
3,Bhola,329.20,220.10,405.40,268.37,414.60,297.05
4,Jhallokati,100,60,113.00,68.00,118.00,69.00
5,Patuakhali,52.00,22.10,56.00,34.91,60.00,23.01
6,Pirojpur,114,71,120.00,72.00,125.00,75.00
1,Barishal Division,1130.20,708.2,1227.40,782.28,1162.60,728.06
7,Bandarban,0.50,0.50,25.43,37.37,31.35,45.02
8,Brahmanbaria,161,123.98,169.60,141.11,227.55,172.89
9,Chandpur,410.36,234.21,518.97,330.77,487.96,579.96
10,Chattogram,269,129.46,288.68,135.35,311.06,176.43
11,Cumilla,930.40,975.74,941.10,975.40,954.30,1001.30
12,Cox’s Bazar,112.15,37.13,144.70,97.00,151.53,105.52
13,Feni,1.79,1.81,1.80,1.90,1.61,1.19
14,Khagrachari,230.05,128.45,239.16,139.79,247.61,148.76
15,Lakshmipur,121,86.9,116.20,116.72,116.50,125.45
16,Noakhali,75.63,45.01,102.08,63.82,118.27,75.14
17,Rangamati,144.90,77.49,148.73,76.02,147.02,77.70
2,Chattogram Division,2456.78,1840.68,2696.45,2115.25,2794.76,2509.36
18,Dhaka,340.43,367.40,496.26,864.21,547.80,976.93
19,Faridpur,131.50,66.39,133.42,66.94,151.78,134.63
20,Gazipur,44.62,13.81,74.12,23.67,78.50,25.33
21,Gopalganj,56.04,38.52,100.00,91.53,113.37,98.39
22,Kishoreganj,15.60,12.24,70.56,56.54,86.36,71.32
23,Madaripur,118.80,71.45,127.51,85.83,143.09,96.56
24,Manikganj,122.87,179.84,127.82,168.11,127.82,168.12
25,Munshiganj,231.95,176.34,273.00,202.62,280.43,211.84
26,Narayanganj,165.94,144.26,174.37,155.41,162.83,147.65
27,Narsingdi,56.26,47.45,61.01,50.70,72.06,60.79
28,Rajbari,152,246,154.00,265.00,171.00,281.35
29,Shariatpur,561,303,547.00,308.00,562.00,324.00
30,Tangail,242.89,83.69,248.56,126.62,251.00,156.85
3,Dhaka Division,2239.90,1750.39,2587.63,2465.18,2748.04,2753.76
31,Bagerhat,16,3.90,18.15,4.63,12.50,3.46
32,Chuadanga,187.80,585.19,186.90,519.88,191.50,449.13
33,Jashore,48.94,34,55.42,40.12,57.32,38.04
34,Jhenaidah,94.50,55,103.00,61.00,106.28,63.30
35,Khulna,11.40,8.61,16.05,12.97,17.24,14.20
36,Kushtia,2,6,8.00,21.00,9.00,17.00
37,Magura,39.95,24.28,40.75,24.23,49.85,32.27
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,30,27.28,31.00,30.78,30.50,28.88
39,Narail,79.13,26.63,79.68,26.72,93.95,33.36
40,Satkhira,17.82,5.97,20.12,7.42,24.07,9.47
4,Khulna Division,527.54,776.86,559.07,748.75,592.21,689.11
41,Jamalpur,68,27,74.00,30.00,76.00,31.00
42,Mymensingh,89,40,97.00,50.00,98.00,51.00
43,Netrokona,0,0,67.00,113.00,53.00,82.00
44,Sherpur,9,10,20.00,25.00,22.00,29.00
5,Mymensingh Division,166,77,258.00,218.00,249.00,193.00
45,Bogura,107,74,128.00,94.00,142.00,177.00
46,Joypurhat,9,6,9.00,5.00,11.00,7.00
47,Naogaon,45,28,45.00,33.00,56.00,39.00
48,Natore,49,38.78,65.00,121.00,73.00,135.00
49,Chapai Nawabganj,99,115,100.00,129.00,102.00,135.00
50,Pabna,60,52,81.00,84.00,85.00,89.00
51,Rajshahi,24,19,73.00,72.00,86.00,88.00
52,Sirajganj,22,12,30.00,23.00,33.00,27.00
6,Rajshahi Division,415,344.78,531.00,561.00,588.00,697.00
53,Dinajpur,165,75,176.00,92.00,184.00,103.00
54,Gaibandha,46.84,19.64,47.66,20.87,49.15,20.68
55,Kurigram,169,83,169.28,78.68,170.84,81.43
56,Lalmonirhat,196,217,191.75,208.32,194.25,212.76
57,Nilphamari,111,111,110.54,100.25,118.90,94.64
58,Panchagar,135,72,152.50,83.28,156.00,85.39
59,Rangpur,197,97,202.00,100.00,209.00,106.00
60,Tahkurgaon,52,62,66.72,73.71,67.00,75.03
7,Rangpur Division,1071.84,736.64,1116.45,757.11,1149.14,778.93
61,Habigonj,0,0,72.00,70.56,72.00,70.56
62,Moulvibazar,21,11.03,21.00,10.70,75.00,137.16
63,Sunamganj,9,10,14.00,16.00,17.00,19.00
64,Sylhet,75,53.42,129.00,91.49,131.00,136.32
8,Sylhet Division,105,74.45,236.00,188.75,295.00,363.04
BANGLADESH,,8112.26,6309,9212.00,7836.32,9578.75,8712.26
