District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,7349,5642,"1062.6
6",0,0,0.00,2515,2350,"2072.0
0",2515,2350,"2072.0
0"
2,Barishal,842,812,377.00,0,0,0.00,580,587,664.00,580,587,664.00
3,Bhola,171,143.88,139.08,0,0,3.58,709.80,662.70,522.40,709.8,662.70,525.98
4,Jhallokati,497,487.03,437.00,0,0,0.00,430,437,439.00,430,437,439.00
5,Patuakhali,"1009.6
9",1488,"1488.0
0",0,0,0.00,1058.47,1200,"1705.0
0","1058.4
7",1200,"1705.0
0"
6,Pirojpur,782,505.43,505.43,0,0,0.00,373.45,367.60,365.00,373.45,367.60,365.00
1,Barishal Division,"10650.9
3",9078.34,4009.17,0,0,3.58,5666.72,5604.30,5767.40,5666.72,5604.30,5770.98
7,Bandarban,39,39,39.30,0,0,0.00,6,6.18,6.24,6,6.18,6.24
8,Brahmanbaria,32,33,28.87,0,0,0.00,72.41,79,72.64,72.41,79,72.64
9,Chandpur,110,144,134.01,0,0,0.00,921.20,718,712.36,921.2,718,712.36
10,Chattogram,281.32,383,261.24,0,0,0.00,596.54,1200,612.80,596.54,1200,612.99
11,Cumilla,538.42,540,539.74,48,24,24.87,939.44,949,975.13,987.44,973,"1000.0
0"
12,Cox’s Bazar,152.46,97,93.53,0,0,0.00,395.14,398,399.75,395.14,398,399.75
13,Feni,254.43,256,256.89,0,0,0.00,426.64,429,430.08,426.64,429,430.08
14,Khagrachari,66,63,63.75,0,0,0.00,102,108,116.99,102,108,116.99
15,Lakshmipur,206,231,165.17,0,0,0.00,592,556,559.45,592,556,559.45
16,Noakhali,158,154,149.76,0,0,0.00,491,258,266.04,491,258,266.04
17,Rangamati,144,192,191.72,0,33.21,31.47,188,183.79,171.74,188,217,203.21
2,"Chattogram
Division",1982,2132,1923.98,48,57.21,56.34,4730.37,4884.97,4323.22,4778.37,4942.18,4379.75
18,Dhaka,24.23,23.92,22.68,0,0,0.00,133.53,134.38,125.47,133.53,134.38,125.47
19,Faridpur,401,379,468.00,149.13,147.41,144.20,1154.90,"1092.5
9","1059.0
6","1304.0
3",1240,"1203.2
6"
20,Gazipur,144.03,108,105.00,22.94,23,21.87,235.06,223,201.13,258,246,223.00
21,Gopalganj,719.57,702.27,747.34,0,0,0.00,1211.62,"1199.4
0","1195.4
1","1211.6
2","1199.4
0","1195.4
1"
22,Kishoreganj,25.38,19.95,17.56,0,0,0.00,82.38,75.73,77.48,82.38,75.73,77.48
23,Madaripur,732.89,629.13,609.63,0,0,0.00,1750.99,"2103.4
0","2046.8
0","1750.9
9","2103.4
0","2046.8
0"
24,Manikganj,533.00,532.37,402.68,0,0,0.00,541.69,537.65,486.86,541.69,537.65,486.86
25,Munshiganj,33.11,32.03,31.07,0,0,0.00,63.97,62.83,67.68,63.97,62.83,67.68
26,Narayanganj,50.53,50.43,57.43,0,0,0.00,947.89,415.9,295.20,947.89,415.90,295.20
27,Narsingdi,17.69,19.51,19.74,0,1,0.56,148.80,135.17,131.28,148.8,136.17,131.84
28,Rajbari,126.43,123.30,120.30,22.84,30.40,28.99,774.66,"1032.1
0","1002.2
1",797.5,"1062.5
0","1031.2
0"
29,Shariatpur,278.32,273.75,203.22,18.24,30.40,25.65,432.10,762.60,629.64,450.34,793,655.29
