District/ Division,,2020-21,,2021-22,,2022-23,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,305,1397,131,617,277.00,1020.00
2,Barishal,1760,5781,510,1885,1705.00,3656.00
3,Bhola,563,2039,279,1080,578.00,2890.00
4,Jhallokati,2910,9500,395,2250,2933.00,10239.00
5,Patuakhali,561,1885.90,472,1699,607.00,2006.48
6,Pirojpur,2786,13454,692,3410,2825.00,13717.00
1,Barishal Division,8885,34056.90,2479,10941,8925.00,33528.48
7,Bandarban,3830,18430,776,3751.55,3846.60,18500.00
8,Brahmanbaria,269.65,1030.29,131.40,377.81,269.73,1069.50
9,Chandpur,990,5131.68,235.84,1009.28,1000.16,6570.63
10,Chattogram,2961.32,14513.03,481.60,2563.68,2991.68,15026.22
11,Cumilla,849.55,3930,226,1066.62,853.40,3936.96
12,Cox’s Bazar,854.91,2315.62,255.46,1076.25,860.87,3631.46
13,Feni,483,2155.1,222.85,602.92,489.81,2388.50
14,Khagrachari,7462,26938,1294.34,5459.11,7371.50,27102.17
15,Lakshmipur,3250,12432,431,4938.81,3266.00,13734.10
16,Noakhali,1212.69,3493.36,328.93,1290.60,1159.15,3917.86
17,Rangamati,9230,42734,1040.45,5702.32,9323.60,44015.88
2,Chattogram Division,31393.12,133103.08,5423.87,27838.95,31432.50,139893.28
18,Dhaka,588.56,4075.02,343,1800.17,612.35,4300.16
19,Faridpur,202,624,207.10,628.63,220.71,1099.10
20,Gazipur,1499.68,9163.26,443.50,2310.52,1591.08,9747.93
21,Gopalganj,909.9,5384.92,760.50,5221.48,798.40,4621.37
22,Kishoreganj,1536.34,11557.94,184.14,2574.09,1559.34,11645.04
23,Madaripur,1584,12195.42,164.27,871.50,1577.00,10753.39
24,Manikganj,601,1966.03,433.26,1231.28,606.35,3076.31
25,Munshiganj,170.1,647.66,156.95,595.75,183.00,934.09
26,Narayanganj,195.71,1000.28,127.97,541.42,188.60,969.29
27,Narsingdi,3677.74,25074.45,99.04,585.66,3573.00,22962.73
28,Rajbari,1071,6258.88,1114,11565,1066.00,6554.00
29,Shariatpur,413,1563,262,1853,427.00,1693.00
30,Tangail,11391.15,88314.68,451.35,2372.53,11159.71,89582.56
3,Dhaka Division,23840.18,167825.54,4747.08,32151.03,23562.54,167938.97
31,Bagerhat,2077,8637.37,637,1978,2272.00,9448.68
32,Chuadanga,1813,17999.44,685,5261,1815.00,18062.68
33,Jashore,1973,10150.87,1290,8577,2051.00,11029.00
34,Jhenaidah,8152,50351.2,3280,21041,8347.00,51349.20
35,Khulna,305,5123.54,872,4590,1303.87,5162.01
36,Kushtia,1760,36962,598,6115,3935.00,34780.00
37,Magura,563,14819,286,1960,1611.00,17069.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,2432,37399.12,352,5446,2474.00,37965.05
39,Narail,638,4394,348,2203,654.00,4531.60
40,Satkhira,995.5,6240.93,1192,7765,1034.04,6473.93
4,Khulna Division,25007.44,192077.47,9540,64936,25496.91,195871.15
41,Jamalpur,1324,7323,227,911,1343.00,7448.00
42,Mymensingh,5325,36200,389,2420,5338.00,37744.00
43,Netrokona,804,4588,143,733,848.00,4904.00
44,Sherpur,623,3480.70,266,1642,648.00,4081.00
5,Mymensingh Division,8076,51591.70,1025,5706,8177.00,54177.00
45,Bogura,2572.5,20335.51,210.16,1768.25,2527.00,20194.00
46,Joypurhat,416.53,3055.44,117.97,703.45,432.00,3161.00
47,Naogaon,1631.83,13864.85,666.25,5452.59,1476.00,16722.00
48,Natore,856,14360,467.95,7268.97,997.00,18327.00
49,Chapai Nawabganj,419.96,3395.41,240.22,1544.03,491.00,5341.00
50,Pabna,756,5564.16,695.27,6011.28,769.00,6143.00
51,Rajshahi,4672.5,47822.03,722.68,8150.27,4894.00,51081.00
52,Sirajganj,583.98,4354.52,273.27,1486.12,422.00,2945.00
6,Rajshahi Division,11909.3,112751.92,3393.77,32384.96,12008.00,123914.00
53,Dinajpur,2772,28912,189,862,2797.00,26259.00
54,Gaibandha,3459,62407.2,287,1748,3300.00,42912.50
55,Kurigram,520.53,5296.87,217,1368,477.08,5156.66
56,Lalmonirhat,277,3001.12,211,938,282.55,3148.59
57,Nilphamari,439.83,3672.82,153,889,461.54,3577.47
58,Panchagar,402,5070.5,155,629,419.00,5639.88
59,Rangpur,2321,13041,199,906,2339.00,19484.00
60,Thakurgaon,1161.46,5855.58,141,449,1175.57,9940.95
7,Rangpur Divison,11352.82,127257.09,1552,7789,11251.74,116119.05
61,Habiganj,279.33,775.06,111.37,403.87,294.49,1358.61
62,Moulvibazar,269,1423,130.17,452.98,296.20,1597.13
63,Sunamganj,325,1949,10,36,332.00,1977.00
64,Sylhet,855,3341,228,799,827.00,3988.00
8,Sylhet Division,1728.33,7488.06,479.54,1691.85,1749.69,8920.74
BANGLADESH,,122192.19,826151.76,28640.26,183438.79,122603.38,840362.67
