District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,184.14,183.44,147.12,0,0.00,0.00,97.68,53.68,53.98,97.68,53.68,53.98
2,Barishal,150.18,150.53,64.00,0,0.00,0.00,358,345.00,151.00,358,345.00,151.00
3,Bhola,34.10,36.48,36.42,0,0.00,0.00,105.64,132.30,122.10,105.64,132.30,122.10
4,Jhallokati,193,197.00,196.00,0,0.00,0.00,184,190.00,184.00,184,190.00,184.00
5,Patuakhali,72,104.00,72.00,0,0.00,0.00,97,105.00,93.00,97,105.00,93.00
6,Pirojpur,15.20,15.10,15.88,0,0.00,0.00,61.63,62.01,62.23,61.63,62.01,62.23
1,Barishal Division,648.62,686.55,531.42,0,0.00,0.00,903.95,887.99,666.31,903.95,887.99,666.31
7,Bandarban,139,140.00,139.80,27.54,27.88,28.31,181.46,186.12,186.69,209,214.00,215.00
8,Brahmanbaria,58,58.23,40.19,0,0.00,0.00,238.80,239.16,172.42,238.80,239.16,172.42
9,Chandpur,51.50,67.87,68.08,0,0.00,0.00,321.31,310.18,310.18,321.31,310.18,310.18
10,Chattogram,50.01,61.59,61.21,0,0.00,0.00,568.90,552.18,525.21,568.90,552.18,525.21
11,Cumilla,287.55,289.94,291.14,0,0.00,0.00,822.38,827.95,832.57,822.38,827.95,832.57
12,Cox’s Bazar,16.12,20.13,22.69,0,0.00,0.00,282.62,269.00,260.23,282.62,269.00,260.23
13,Feni,53,53.73,61.12,0,0.00,0.00,204.11,196.35,204.58,204.11,196.35,204.58
14,Khagrachari,78,76.21,76.40,0,0.00,0.00,258,240.24,264.62,258,240.24,264.62
15,Lakshmipur,445,152.00,167.27,0,0.00,0.00,336,433.00,408.00,336,433.00,408.00
16,Noakhali,45.77,37.22,37.48,0,0.00,0.00,223,256.94,265.08,223,256.94,265.08
17,Rangamati,195,196.24,195.31,9.88,9.29,9.19,473.12,465.01,458.77,483,474.30,467.96
2,"Chattogram
Division","1418.8
5","1153.1
6",1160.69,37.42,37.17,37.50,3909.70,"3976.1
3","3888.3
5","3947.1
2","4013.3
0",3925.85
18,Dhaka,13.15,14.21,12.74,0,0.00,0.00,186.54,182.98,129.78,186.54,182.98,129.78
19,Faridpur,18,1.40,19.00,0,0.00,0.00,67.11,7.11,74.37,67.11,7.11,74.37
20,Gazipur,57,63.00,63.00,0,0.00,0.00,165.70,275.00,278.50,165.70,275.00,278.50
21,Gopalganj,30.55,33.03,32.62,0,0.00,0.00,75.54,60.16,62.40,75.54,60.16,62.40
22,Kishoreganj,67.99,55.19,59.50,0,0.00,0.00,303.32,417.89,411.21,303.32,417.89,411.21
23,Madaripur,8.61,9.38,9.84,0,0.00,0.00,55.20,64.96,69.26,55.20,64.96,69.26
24,Manikganj,21.76,25.37,25.70,0,0.00,0.00,40.80,158.88,152.40,40.80,158.88,152.40
25,Munshiganj,14.95,15.56,16.01,0,0.00,0.00,93.46,101.93,113.27,93.46,101.93,113.27
26,Narayanganj,23.50,16.76,16.65,0,0.00,0.00,178.57,163.26,157.61,178.57,163.26,157.61
27,Narsingdi,15.60,17.71,19.14,0,0.00,0.00,124.29,124.75,134.48,124.29,124.75,134.48
28,Rajbari,42.20,43.20,50.27,0,0.00,0.00,32.68,37.18,48.06,32.68,37.18,48.06
29,Shariatpur,28.20,32.80,36.72,0,0.00,0.00,200.50,232.90,231.70,200.50,232.90,231.70
30,Tangail,38.89,52.84,53.58,0,0.00,0.00,527.09,552.95,535.39,527.09,552.95,535.39
3,Dhaka Division,380.40,380.45,414.77,0,0.00,0.00,2050.80,"2379.9
5","2398.4
3","2050.8
0","2379.9
5",2398.43
31,Bagerhat,49.45,50.05,57.03,0,0.00,0.00,228.38,214.49,204.12,228.38,214.49,204.12
32,Chuadanga,4.27,4.22,4.23,0,0.00,0.00,20.37,19.10,17.76,20.37,19.10,17.76
33,Jashore,29.34,29.34,29.06,0,0.00,0.00,141.49,145.48,148.20,141.49,145.48,148.20
34,Jhenaidah,21.34,22.61,24.45,0,0.00,0.00,25.90,28.56,32.28,25.90,28.56,32.28
35,Khulna,34.52,35.01,34.90,0,0.00,2.65,75.84,79.95,76.67,75.84,79.95,79.32
36,Kushtia,2,2.00,2.26,0,0.00,0.00,2,5.00,5.00,2,5.00,5.00
37,Magura,16.43,15.59,14.46,0,0.00,0.00,212,175.66,197.56,212,175.66,197.56
38,Meherpur,4.07,4.06,8.10,0,0.00,0.00,1.58,1.66,6.51,1.58,1.66,6.51
39,Narail,24.81,28.04,27.07,0,0.00,0.00,19.92,21.54,20.29,19.92,21.54,20.29
