District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2021-23,2020-21,2021-22,2021-23,2020-21,2021-22,2021-23,2020-21,2021-22,2021-23
1,Barguna,119,119.72,113.87,0,0.00,0.00,35,35.00,45.21,35,35.00,45.21
2,Barishal,106,120.52,110.00,0,0.00,0.00,154,231.00,222.00,154,231.00,222.00
3,Bhola,1,1.07,1.07,0,0.00,0.00,4,4.28,2.88,4,4.28,2.88
4,Jhallokati,35,37.07,36.00,0,0.00,0.00,31,32.00,35.00,31,32.00,35.00
5,Patuakhali,11,22.00,22.00,0,0.00,0.00,13,16.00,16.00,13,16.00,16.00
6,Pirojpur,64,64.24,64.46,16,16.74,0.00,354,356.26,377.70,370,373.00,377.70
1,Barishal Division,336,364.62,347.40,16,16.74,0.00,591,674.54,698.79,607,691.28,698.79
7,Bandarban,40,40.30,40.53,5,5.17,5.17,3,2.54,2.60,8,7.71,7.77
8,Brahmanbaria,13,13.19,18.67,0,0.00,0.00,39.49,36.29,33.71,39.49,36.29,33.71
9,Chandpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
10,Chattogram,45,45.53,35.69,0,0.00,0.00,59,60.22,58.82,59,60.22,58.82
11,Cumilla,13,12.78,14.36,0,0.00,0.00,7.22,7.03,8.32,7.22,7.03,8.32
12,Cox’s Bazar,5,6.84,7.50,0,0.00,0.00,8.51,6.69,7.32,8.51,6.69,7.32
13,Feni,2,2.49,2.50,0,0.00,0.00,2.35,2.38,2.39,2.35,2.38,2.39
14,Khagrachari,99,102.71,102.48,0,0.00,0.00,82,84.54,81.70,82,84.54,81.70
15,Lakshmipur,14,7.32,7.40,0,0.00,0.00,13,11.88,12.94,13,11.88,12.94
16,Noakhali,1,0.11,0.20,0,0.00,0.00,3,0.64,1.09,3,0.64,1.09
17,Rangamati,37,37.02,37.33,1,1.13,1.12,19,24.66,25.08,20,25.79,26.20
2,"Chattogram
Division",269,268.29,266.66,6,6.30,6.29,237,236.87,233.97,243,243.17,240.26
18,Dhaka,16,15.56,16.02,0,0.00,0.00,71,70.98,74.92,71,70.98,74.92
19,Faridpur,141,31.10,32.00,0,33.53,33.26,979,268.21,276.07,979,301.74,309.33
20,Gazipur,7,7.00,7.00,0,0.00,0.00,41,38.00,31.00,41,38.00,31.00
21,Gopalganj,15,17.78,18.07,0,0.00,0.00,53,55.66,43.33,53,55.66,43.33
22,Kishoreganj,4,2.36,2.18,0,0.00,0.00,2.37,6.23,5.22,2.37,6.23,5.22
23,Madaripur,44,47.47,47.39,0,0.00,0.00,361.24,340.50,319.10,361.24,340.50,319.10
24,Manikganj,10,10.25,10.41,0,0.00,0.00,9.15,8.80,10.56,9.15,8.80,10.56
25,Munshiganj,4,4.83,4.88,0,0.00,0.00,8,14.00,13.97,8,14.00,13.97
26,Narayanganj,4,4.01,4.06,0,0.00,0.00,28,25.85,22.89,28,25.85,22.89
27,Narsingdi,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
28,Rajbari,11,11.47,12.91,0,0.00,0.00,48.40,40.00,49.36,48.40,40.00,49.36
29,Shariatpur,33,29.03,30.17,0,0.00,0.00,203.40,109.70,111.20,203.40,109.70,111.20
