District/ Division,,2020-21,,2021-22,,2022-23,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,40,155,43.00,160.00,38.00,153.00
2,Barishal,312,982,319.00,1023.00,357.00,1101.00
3,Bhola,147,422,150.00,349.00,146.00,452.00
4,Jhallokati,177,650,250.00,915.00,261.00,972.00
5,Patuakhali,101,510,108.00,450.00,110.00,352.00
6,Pirojpur,95,261,96.00,262.00,100.00,271.00
1,Barishal Division,872,2980,966.00,3159.00,1012.00,3301.00
7,Bandarban,353,819.55,355.00,825.60,356.90,830.81
8,Brahmanbaria,262.10,643.34,252.20,690.75,256.15,704.8
9,Chandpur,249.70,704.90,229.07,568.69,232.84,579.15
10,Chattogram,759.22,2785.45,758.76,2750.99,762.88,2766.77
11,Cumilla,408.73,1388.75,412.61,1471.44,405.8,2166.66
12,Cox’s Bazar,200.33,600.65,178.27,548.15,204.54,613.08
13,Feni,53.60,95.57,57.20,98.25,58.40,195
14,Khagrachari,729.65,2875.49,762.40,3021.80,788.20,3157.25
15,Lakshmipur,105,297,155.00,465.00,163.00,513.33
16,Noakhali,175.96,311.59,222.90,972.82,220.02,893.94
17,Rangamati,600.80,1670.16,606.80,1712.14,585.05,1679.17
2,Chattogram Division,3898.09,12192.45,3990.21,13125.63,4033.78,14099.96
18,Dhaka,554.55,1454.11,537.40,1530.55,607.03,3730.35
19,Faridpur,288,661,293.04,732.21,307.4,964.95
20,Gazipur,326.21,1002.17,321.09,1052.16,370.29,1146.91
21,Gopalganj,649,3820,525.19,3070.49,474.4,2651.67
22,Kishoreganj,207.91,1133.24,210.68,1141.85,194.83,1080.96
23,Madaripur,322,482,388.50,1967.11,374.88,1785.48
24,Manikganj,538.95,3564.23,536.38,3639.82,592.6,4163
25,Munshiganj,522.05,2965.44,515.65,3165.10,515.65,3165.10
26,Narayanganj,308,1409.31,285.98,1498.09,270.97,1174.88
27,Narsingdi,361.73,1296.67,357.68,1334.96,370.91,1418.15
28,Rajbari,717,5518,739.00,6063.80,745.00,6615.50
29,Shariatpur,193,1698,211.00,1856.00,214.00,1900.00
30,Tangail,833.25,2561.71,843.55,3108.98,873.87,3246.99
3,Dhaka Division,5821.65,27565.88,5765.14,30161.12,5911.83,33043.94
31,Bagerhat,409,1174,428.00,1499.00,435.00,1572.68
32,Chuadanga,3757,27876,3586.00,25481.00,3562.50,23705.30
33,Jashore,1310,6608,1313.00,6688.00,1313.00,6684.00
34,Jhenaidah,975,5719,992.00,5803.00,999.00,5820.61
35,Khulna,396.23,2559.76,406.00,3058.00,421.62,3227.90
36,Kushtia,620,4555,632.00,4445.00,651.00,5187.00
37,Magura,296,1287,297.00,1310.00,302.82,1816.14
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,356,2318,350.00,2274.00,358.00,2414.61
39,Narail,249,949,252.00,980.00,258.00,1018.68
40,Satkhira,434,1809,429.00,1767.00,437.00,1802.87
4,Khulna Division,8802.23,54854.76,8685.00,53305.00,8737.94,53249.79
41,Jamalpur,582,2030,587.00,2090.00,592.00,2108.00
42,Mymensingh,830,2908,833.00,3315.00,843.00,3356.00
43,Netrokona,299,1286,287.00,1222.00,285.00,1253.00
44,Sherpur,482,1606,456.00,1444.00,474.00,1596.00
5,Mymensingh Division,2193,7830,2163.00,8071.00,2194.00,8313.00
45,Bogura,463,1747,451.00,1884.00,416.00,1892.00
46,Joypurhat,215,1025,226.00,1086.00,227.00,1434.00
47,Naogaon,319,1344,334.00,1451.00,352.00,1851.00
48,Natore,432,2015,439.00,2048.00,455.00,4031.00
49,Chapai Nawabganj,323,1330,362.00,1506.00,362.00,1521.00
50,Pabna,698,2784,785.00,3902.00,770.00,6447.00
51,Rajshahi,736,5981,728.00,6083.00,713.00,6350.00
52,Sirajganj,312,1831,301.00,1804.00,314.00,1925.00
6,Rajshahi Division,3498,18057,3626.00,19764.00,3609.00,25451.00
53,Dinajpur,478,2302,486.00,2626.00,507.50,2858.10
54,Gaibandha,399,1199,402.00,1201.00,387.00,1288.00
55,Kurigram,360,1286,374.00,1366.00,378.00,1451.82
56,Lalmonirhat,244,778,247.00,813.00,246.25,809.81
57,Nilphamari,388,1671,393.00,1663.00,398.72,1692.34
58,Panchagar,463,1652,457.00,1656.00,429.00,1549.84
59,Rangpur,651,2537,655.00,2596.00,653.00,2582.00
60,Thakurgaon,867,2287,869.00,2356.00,856.50,2486.44
7,Rangpur Divison,3850,13712,3883.00,14277.00,3855.97,14718.35
61,Habiganj,293.56,1332.72,311.45,1141.14,312.03,1500.01
62,Moulvibazar,247.35,857.09,243.04,875.90,247.49,903.99
63,Sunamganj,140,315,142.00,320.00,131.00,293.00
64,Sylhet,325,787,389.40,1006.04,386.00,1448.87
8,Sylhet Division,1005.91,3291.81,1085.89,3343.08,1076.52,4145.87
BANGLADESH,,29940.88,140483.9,30164.24,145205.83,30431.04,156322.91
