District/ Division,,2020-21,,2021-22,,2022-23,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,125,156,148,240,149.00,285.00
2,Barishal,416,630,420,620,448.00,568.00
3,Bhola,411,874,420,907,413.00,946.00
4,Jhallokati,335,610,362,465,370.00,431.00
5,Patuakhali,139,235,140,168,154.00,280.00
6,Pirojpur,417,826,384,442,387.00,440.00
1,Barishal Division,1843,3331,1874,2842,1921.00,2950.00
7,Bandarban,334,539,341,550.34,344.50,555.48
8,Brahmanbaria,206.23,401.99,188.94,351.70,185.84,372.19
9,Chandpur,197.10,298.6,252.74,298.95,275.19,414.64
10,Chattogram,259.65,497.46,1425.04,3525.53,1432.66,3553.02
11,Cumilla,591.80,1582.44,593.53,1591.55,594.05,1592.78
12,Cox’s Bazar,343.66,606.03,343.66,606.03,309.47,556.53
13,Feni,123.70,194.44,128,198,128.34,198.32
14,Khagrachari,625.30,1198.96,643.80,1244.79,668.80,1325.94
15,Lakshmipur,139.30,162.84,155,187.65,162.37,224.95
16,Noakhali,213.92,327.71,198.51,295.81,208.11,349.58
17,Rangamati,519.40,788.87,506.65,788.77,565.00,755.75
2,Chattogram Division,3554.06,6598.34,4776.87,9639.12,4874.33,9899.18
18,Dhaka,448.94,901.25,507.53,1503.08,460.63,1340.54
19,Faridpur,330.05,400.16,324.51,394.40,334.65,919.51
20,Gazipur,353.77,366.11,333.69,343.30,332.40,495.54
21,Gopalganj,192.64,614.38,202.80,226.24,211.60,413.05
22,Kishoreganj,519.82,1348.30,532.73,1379.79,548.73,1540.95
23,Madaripur,191.98,430.62,196.09,448.86,195.31,440.30
24,Manikganj,305.36,1740.48,324.13,1846.9,372.60,1628.17
25,Munshiganj,522.20,558.40,527.70,578.83,533.20,720.54
26,Narayanganj,232.79,295.94,252.39,344.37,220.97,303.76
27,Narsingdi,317.34,673.30,531.12,1392.40,359.52,927.54
28,Rajbari,329,616,334,631,345.00,704.00
29,Shariatpur,314,1197.60,429,975,428.80,949.00
30,Tangail,497.81,936.44,511.37,1038.29,521.20,1153.58
3,Dhaka Division,4555.7,10078.98,5007.06,11102.46,4864.61,11536.48
31,Bagerhat,880,1220,898,1337,972.40,1447.54
32,Chuadanga,426,861,429,870,428.00,867.82
33,Jashore,923,2934,937,3025,960.00,3111.39
34,Jhenaidah,639,1546,638,1548,648.50,1572.80
35,Khulna,253.38,271.79,278,319,277.62,311.27
36,Kushtia,380,897,380,909,380.00,838.00
37,Magura,114,300,112,298,116.37,301.92
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,238,727,242,1034,245.60,1074.13
39,Narail,207,608,211,617,252.00,755.60
40,Satkhira,197,533,223,614,235.48,645.81
4,Khulna Division,4257.38,9897.79,4348,10571,4515.97,10926.28
41,Jamalpur,417,892,410,838,430.00,1036.00
42,Mymensingh,1166,2574,1129,2456,1182.00,4186.00
43,Netrokona,255,517,256,559,263.00,668.00
44,Sherpur,269,748,272,722,276.00,882.00
5,Mymensingh Division,2107,4731,2067,4575,2151.00,6772.00
45,Bogura,792.44,2782.53,806.24,3736.30,808.00,4295.00
46,Joypurhat,542.82,2436.67,544.82,2601.09,552.00,4116.00
47,Naogaon,1600.20,3836.73,1599.62,3837.84,1593.00,6218.00
48,Natore,456.50,862.32,494.50,1201.98,500.00,4157.00
49,Chapai Nawabganj,257.07,501.86,274.06,539.64,276.00,826.00
50,Pabna,813,1374.73,824.70,1782.74,902.00,5243.00
51,Rajshahi,872.50,2260.22,878.80,2471.51,865.00,4569.00
52,Sirajganj,324.35,701.14,316.72,661.09,315.00,1312.00
6,Rajshahi Division,5658.88,14756.20,5739.46,16832.19,5811.00,30736.00
53,Dinajpur,646,1365,645,1240,650.10,1262.46
54,Gaibandha,393,724,390,726,380.50,687.80
55,Kurigram,410,868,570,1004,511.00,1076.40
56,Lalmonirhat,288,632,293,634,302.00,656.01
57,Nilphamari,290,829,295,718,290.14,703.75
58,Panchagar,461,1305,452,1280,453.00,1309.29
59,Rangpur,932,1865,935,1886,932.00,1909.00
60,Thakurgaon,470,720,476,787,478.00,792.99
7,Rangpur Divison,3890,8308,4056,8275,3996.74,8397.70
61,Habiganj,182.73,396.04,186.88,407.01,196.45,360.84
62,Moulvibazar,192,366,189.88,412.01,182.41,545.79
63,Sunamganj,221,395,166,410,163.00,404.00
64,Sylhet,349,455,350,356,368.00,565.00
8,Sylhet Division,944.73,1612.04,892.76,1585.02,909.86,1875.63
BANGLADESH,,26810.75,59313.35,28761.15,65421.79,29044.51,83093.27
