District/ Division,,2020-21,,2021-22,,2022-23,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,72,119,71.00,120.00,77.00,131.00
2,Barishal,289,998,427.00,1326.00,449.00,1482.00
3,Bhola,81,232.69,80.00,235.00,85.00,267.00
4,Jhallokati,320,1268,330.00,1313.00,340.00,1457.00
5,Patuakhali,47,120,69.00,126.00,72.00,131.00
6,Pirojpur,466,1305,455.00,1261.00,464.00,1284.00
1,Barishal Division,1275,4042.69,1432.00,4381.00,1487.00,4752.00
7,Bandarban,23.65,22.47,23.79,22.60,22.00,20.90
8,Brahmanbaria,33.5,51.49,31.10,51.80,25.90,42.87
9,Chandpur,0,0,0.00,0.00,0.00,0.00
10,Chattogram,85.56,208.4,93.08,246.43,78.96,192.77
11,Cumilla,3.18,15,3.03,3.05,3.55,15.00
12,Cox’s Bazar,0,0,0.00,0.00,3.55,15.00
13,Feni,0,0,0.00,0.00,0.00,0.00
14,Khagrachari,12,19.07,7.00,7.46,6.00,6.50
15,Lakshmipur,0,0,0.00,0.00,0.00,0.00
16,Noakhali,0,0,0.00,0.00,7.00,15.66
17,Rangamati,9.05,7.10,8.07,7.03,6.90,5.89
2,Chattogram Division,166.94,323.53,166.07,338.37,153.86,314.59
18,Dhaka,41,62.19,43.50,193.57,45.10,201.32
19,Faridpur,112,197.01,110.80,195.50,108.50,193.84
20,Gazipur,61.87,266.51,61.82,262.84,61.95,270.56
21,Gopalganj,16.5,27.07,17.90,29.45,0.00,0.00
22,Kishoreganj,36.55,93.75,29.43,63.03,27.79,52.33
23,Madaripur,36,163.91,19.00,58.01,31.57,83.88
24,Manikganj,0,0,0.00,0.00,0.00,0.00
25,Munshiganj,18.3,28.51,20.10,36.93,22.77,54.81
26,Narayanganj,17.20,17.45,42.20,112.31,41.20,99.68
27,Narsingdi,63.41,97.40,61.21,96.62,47.17,73.87
28,Rajbari,32,104,28.00,103.00,36.00,148.20
29,Shariatpur,0,0,0.00,0.00,0.00,0.00
30,Tangail,24.52,56.11,27.07,54.86,27.93,54.86
3,Dhaka Division,459.35,1113.91,461.03,1206.12,449.98,1233.35
31,Bagerhat,596,1438,603.10,1470.58,779.40,2176.94
32,Chuadanga,32,147.20,30.00,137.70,27.00,126.40
33,Jashore,0,0,0.00,0.00,84.00,295.68
34,Jhenaidah,125,365,132.00,410.60,134.00,392.44
35,Khulna,463,1028,465.35,1024.29,431.89,1053.07
36,Kushtia,0,0,0.00,0.00,0.00,0.00
37,Magura,0,0,0.00,0.00,0.00,0.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0.00,0.00,0.00,0.00
39,Narail,0,0,0.00,0.00,0.00,0.00
40,Satkhira,75,306,71.45,305.63,67.17,262.89
4,Khulna Division,1291,3284.20,1301.90,3348.80,1523.46,4307.42
41,Jamalpur,33,62,32.00,62.00,31.00,61.00
42,Mymensingh,9,12,0.00,0.00,13.00,16.00
43,Netrokona,0,0,0.00,0.00,0.00,0.00
44,Sherpur,0,0,0.00,0.00,0.00,0.00
5,Mymensingh Division,42,74,32.00,62.00,44.00,77.00
45,Bogura,0,0,0.00,0.00,0.00,0.00
46,Joypurhat,0,0,0.00,0.00,0.00,0.00
47,Naogaon,0,0,0.00,0.00,0.00,0.00
48,Natore,0,0,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0,0,0.00,0.00,0.00,0.00
50,Pabna,0,0,0.00,0.00,0.00,0.00
51,Rajshahi,0,0,0.00,0.00,0.00,0.00
52,Sirajganj,0,0,0.00,0.00,0.00,0.00
6,Rajshahi Division,0,0,0.00,0.00,0.00,0.00
53,Dinajpur,11,20,10.25,21.41,12.00,30.61
54,Gaibandha,0,0,0.00,0.00,0.00,0.00
55,Kurigram,0,0,0.00,0.00,0.00,0.00
56,Lalmonirhat,0,0,0.00,0.00,0.00,0.00
57,Nilphamari,0,0,0.00,0.00,0.00,0.00
58,Panchagar,37,66,36.00,65.39,34.00,62.42
59,Rangpur,0,0,0.00,0.00,0.00,0.00
60,Thakurgaon,39,188,33.00,156.95,27.00,126.65
7,Rangpur Divison,87,274,79.25,243.75,73.00,219.68
61,Habiganj,0,0,0.00,0.00,0.00,0.00
62,Moulvibazar,27.50,90.76,0.00,0.00,0.00,0.00
63,Sunamganj,0,0,0.00,0.00,0.00,0.00
64,Sylhet,4,10,6.60,16.00,7.30,18.00
8,Sylhet Division,31.50,100.76,6.60,16.00,7.30,18.00
BANGLADESH,,3352.79,9213.09,3478.85,9596.04,3738.60,10922.04
