District/ Division,,2020-21,,2021-22,,2022-23,
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,0,0,0.00,0.00,0.00,0.00
2,Barishal,0,0,0.00,0.00,0.00,0.00
3,Bhola,0,0,0.00,0.00,0.00,0.00
4,Jhallokati,26,34,23.00,30.00,0.00,0.00
5,Patuakhali,0,0,0.00,0.00,0.00,0.00
6,Pirojpur,0,0,0.00,0.00,0.00,0.00
1,Barishal Division,26,34,23.00,30.00,0.00,0.00
7,Bandarban,0,0,0.00,0.00,0.00,0.00
8,Brahmanbaria,0,0,0.00,0.00,0.00,0.00
9,Chandpur,0,0,0.00,0.00,0.00,0.00
10,Chattogram,0,0,0.00,0.00,0.00,0.00
11,Cumilla,0,0,0.00,0.00,0.00,0.00
12,Cox’s Bazar,0,0,0.00,0.00,0.00,0.00
13,Feni,0,0,0.00,0.00,0.00,0.00
14,Khagrachari,0,0,0.00,0.00,0.00,0.00
15,Lakshmipur,0,0,0.00,0.00,0.00,0.00
16,Noakhali,0,0,0.00,0.00,0.00,0.00
17,Rangamati,0,0,0.00,0.00,0.00,0.00
2,Chattogram Division,0,0,0.00,0.00,0.00,0.00
18,Dhaka,0,0,0.00,0.00,0.00,0.00
19,Faridpur,0,0,0.00,0.00,0.00,0.00
20,Gazipur,0,0,0.00,0.00,0.00,0.00
21,Gopalganj,0,0,0.00,0.00,0.00,0.00
22,Kishoreganj,9.55,14.42,5.45,8.20,4.15,6.11
23,Madaripur,0,0,0.00,0.00,0.00,0.00
24,Manikganj,0,0,0.00,0.00,0.00,0.00
25,Munshiganj,0,0,0.00,0.00,0.00,0.00
26,Narayanganj,0,0,0.00,0.00,0.00,0.00
27,Narsingdi,0,0,0.00,0.00,0.00,0.00
28,Rajbari,0,0,0.00,0.00,0.00,0.00
29,Shariatpur,0,0,0.00,0.00,0.00,0.00
30,Tangail,0,0,0.00,0.00,0.00,0.00
3,Dhaka Division,9.55,14.42,5.45,8.20,4.15,6.11
31,Bagerhat,0,0,0.00,0.00,0.00,0.00
32,Chuadanga,5.28,44.35,3.00,25.05,2.00,16.68
33,Jashore,0,0,0.00,0.00,62.00,188.48
34,Jhenaidah,0,0,0.00,0.00,0.00,0.00
35,Khulna,57.86,110.17,55.59,103.86,50.76,94.43
36,Kushtia,0,0,0.00,0.00,0.00,0.00
37,Magura,0,0,0.00,0.00,0.00,0.00
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0.00,0.00,0.00,0.00
39,Narail,0,0,0.00,0.00,0.00,0.00
40,Satkhira,0,0,207.83,738.52,214.23,755.06
4,Khulna Division,63.14,154.52,266.42,867.43,328.99,1054.65
41,Jamalpur,0,0,0.00,0.00,0.00,0.00
42,Mymensingh,0,0,0.00,0.00,0.00,0.00
43,Netrokona,0,0,0.00,0.00,0.00,0.00
44,Sherpur,0,0,0.00,0.00,0.00,0.00
5,Mymensingh Division,0,0,0.00,0.00,0.00,0.00
45,Bogura,0,0,0.00,0.00,0.00,0.00
46,Joypurhat,0,0,0.00,0.00,0.00,0.00
47,Naogaon,0,0,0.00,0.00,0.00,0.00
48,Natore,0,0,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0,0,0.00,0.00,0.00,0.00
50,Pabna,0,0,0.00,0.00,0.00,0.00
51,Rajshahi,0,0,0.00,0.00,0.00,0.00
52,Sirajganj,0,0,0.00,0.00,0.00,0.00
6,Rajshahi Division,0,0,0.00,0.00,0.00,0.00
53,Dinajpur,0,0,0.00,0.00,0.00,0.00
54,Gaibandha,0,0,0.00,0.00,0.00,0.00
55,Kurigram,0,0,0.00,0.00,0.00,0.00
56,Lalmonirhat,0,0,0.00,0.00,0.00,0.00
57,Nilphamari,0,0,0.00,0.00,0.00,0.00
58,Panchagar,0,0,0.00,0.00,0.00,0.00
59,Rangpur,0,0,0.00,0.00,0.00,0.00
60,Thakurgaon,0,0,0.00,0.00,0.00,0.00
7,Rangpur Divison,0,0,0.00,0.00,0.00,0.00
61,Habiganj,0,0,0.00,0.00,0.00,0.00
62,Moulvibazar,0,0,0.00,0.00,0.00,0.00
63,Sunamganj,0,0,0.00,0.00,0.00,0.00
64,Sylhet,0,0,0.00,0.00,0.00,0.00
8,Sylhet Division,0,0,0.00,0.00,0.00,0.00
BANGLADESH,,98.69,202.94,294.87,905.63,333.14,1060.76
