District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acre
s
(Maun
d)","Hector
s
(M.
Ton)",(M. Ton)
1,Barguna,20117,8141,39.57,3.650,29714,18940,7665,35.81,3.303,25317
2,Barishal,64790,26231,40.19,3.705,97197,61319,24826,40.71,3.753,93180
3,Bhola,89621,36269,45.57,4.203,152446,90463,36610,45.16,4.165,152494
4,Jhallokati,23981,9705,35.38,3.263,31670,27897,11290,37.81,3.487,39372
5,Patuakhali,1943,786,37.63,3.471,2729,3807,1541,36.71,3.386,5217
6,Pirojpur,27247,11027,41.12,3.793,41821,30443,12320,39.10,3.606,44432
1,"Barishal
Division",227699,92159,41.84,3.858,355578,232869,94251,41.42,3.820,360012
7,Bandarban,8964,3628,38.81,3.580,12986,8206,3321,37.71,3.478,11551
8,Brahmanbaria,246951,99940,41.47,3.825,382272,247878,100315,41.45,3.823,383522
9,Chandpur,132039,53435,46.69,4.306,230119,131968,53407,33.12,3.055,163149
10,Chattogram,121175,49039,41.65,3.842,188389,114196,46215,41.73,3.849,177880
11,Cumilla,317592,128580,44.75,4.126,530505,317418,128509,44.41,4.095,526186
12,Cox’s Bazar,98002,39661,44.91,4.142,164288,96899,39215,45.33,4.181,163958
13,Feni,61380,24840,36.10,3.330,82711,62347,25231,36.35,3.353,84596
14,Khagrachari,17253,6982,38.76,3.575,24962,17113,6926,40.44,3.730,25833
15,Lakshmipur,49938,20218,44.00,4.057,82018,46303,18746,35.93,3.313,62100
16,Noakhali,35408,14329,47.07,4.342,62212,33476,13548,48.78,4.499,60954
17,Rangamati,9438,3820,42.71,3.939,15047,9420,3812,42.51,3.921,14947
2,"Chattogram
Division",1098140,444471,43.31,3.995,1775508,1085225,439244,41.34,3.813,1674677
18,Dhaka,102496,41480,54.58,5.034,208818,104232,42182,50.01,4.613,194574
19,Faridpur,47496,19221,49.01,4.520,86890,48632,19681,50.44,4.652,91564
20,Gazipur,114250,46255,46.33,4.272,197581,116217,47051,46.59,4.296,202111
