District name,Apr-2024,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,Without Food (in TK),,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,633,,,433,,,583,,,375,,,533,,,325,,,664,,,479,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,494,,,404,,
Rangamati,369,,,281,,,313,,,231,,,0,,,0,,,539,,,369,,
Chattogram,630,,,410,,,586,,,380,,,529,,,325,,,712,,,450,,
Cox’sbazar,769,,,400,,,704,,,365,,,713,,,0,,,821,,,475,,
Cumilla,552,,,350,,,543,,,400,,,457,,,300,,,603,,,402,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,492,,,417,,,450,,,350,,,400,,,0,,,558,,,488,,
Noakhali,633,,,0,,,600,,,0,,,525,,,0,,,712,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,460,,,0,,
Feni,650,,,0,,,0,,,0,,,0,,,0,,,700,,,0,,
Chattogram Division,575,,,370,,,540,,,350,,,526,,,317,,,624,,,438,,
Sylhet,471,,,375,,,414,,,0,,,400,,,0,,,515,,,450,,
Maulavi Bazar,523,,,420,,,460,,,376,,,0,,,0,,,542,,,430,,
Sunamganj,491,,,362,,,0,,,0,,,0,,,0,,,532,,,400,,
Habiganj,588,,,475,,,0,,,0,,,0,,,0,,,600,,,471,,
Sylhet Division,518,,,408,,,437,,,376,,,400,,,0,,,547,,,438,,
Dhaka,730,,,450,,,670,,,450,,,590,,,400,,,740,,,600,,
Gazipur,638,,,500,,,0,,,0,,,531,,,444,,,710,,,575,,
Manikganj,550,,,450,,,531,,,400,,,500,,,350,,,606,,,488,,
Munshiganj,550,,,350,,,0,,,0,,,541,,,400,,,608,,,450,,
Narayanganj,675,,,570,,,615,,,533,,,550,,,400,,,696,,,584,,
Narsingdi,0,,,0,,,639,,,500,,,600,,,0,,,720,,,0,,
Faridpur,550,,,0,,,0,,,0,,,0,,,0,,,607,,,290,,
Rajbari,567,,,0,,,310,,,0,,,0,,,0,,,595,,,0,,
Madaripur,546,,,463,,,0,,,0,,,550,,,0,,,601,,,535,,
Gopalganj,550,,,0,,,0,,,0,,,592,,,500,,,755,,,650,,
Shariatpur,605,,,363,,,0,,,0,,,600,,,0,,,667,,,420,,
Tangail,610,,,440,,,633,,,390,,,468,,,340,,,699,,,480,,
Kishoreganj,808,,,0,,,805,,,0,,,831,,,0,,,874,,,0,,
Dhaka Division,615,,,448,,,600,,,455,,,578,,,405,,,683,,,507,,
Mymensing,588,,,506,,,575,,,454,,,532,,,440,,,666,,,542,,
Jamalpur,590,,,0,,,550,,,0,,,530,,,0,,,650,,,0,,
,,590,,,0,,,550,,,0,,,530,,,0,,,650,,,0,
Sherpur,,642,,,400,,,600,,,375,,,600,,,0,,,700,,,450,
Netrokona,,655,,,525,,,626,,,508,,,575,,,400,,,699,,,568,
Mymensing Division,619,,,477,,,588,,,446,,,559,,,420,,,679,,,520,,
