District name,Sep-2024,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,Without Food (in TK),,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,667,,,467,,,617,,,425,,,600,,,375,,,657,,,471,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,494,,,404,,
Rangamati,444,,,316,,,321,,,300,,,0,,,0,,,515,,,358,,
Chattogram,708,,,494,,,626,,,425,,,588,,,428,,,745,,,521,,
Cox’sbazar,787,,,480,,,770,,,425,,,716,,,400,,,856,,,500,,
Cumilla,628,,,438,,,556,,,400,,,500,,,325,,,738,,,488,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,470,,,400,,,450,,,350,,,405,,,300,,,604,,,513,,
Noakhali,619,,,0,,,650,,,0,,,600,,,0,,,717,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,490,,,0,,
Feni,655,,,0,,,0,,,0,,,0,,,0,,,710,,,0,,
Chattogram Division,603,,,414,,,570,,,388,,,568,,,366,,,648,,,465,,
Sylhet,471,,,350,,,414,,,0,,,375,,,0,,,516,,,400,,
Maulavi Bazar,482,,,420,,,394,,,415,,,0,,,0,,,516,,,453,,
Sunamganj,480,,,343,,,0,,,0,,,0,,,0,,,522,,,386,,
Habiganj,513,,,400,,,0,,,0,,,0,,,0,,,533,,,464,,
Sylhet Division,486,,,378,,,404,,,415,,,375,,,0,,,522,,,426,,
Dhaka,640,,,470,,,620,,,420,,,560,,,370,,,680,,,520,,
Gazipur,688,,,475,,,650,,,452,,,613,,,450,,,755,,,560,,
Manikganj,600,,,0,,,578,,,450,,,521,,,400,,,645,,,550,,
Munshiganj,0,,,0,,,0,,,0,,,515,,,0,,,566,,,450,,
Narayanganj,655,,,550,,,613,,,530,,,550,,,505,,,669,,,577,,
Narsingdi,0,,,0,,,585,,,0,,,541,,,0,,,583,,,0,,
Faridpur,580,,,480,,,0,,,0,,,0,,,0,,,628,,,348,,
Rajbari,617,,,0,,,567,,,0,,,0,,,0,,,650,,,0,,
Madaripur,515,,,475,,,0,,,0,,,500,,,0,,,617,,,515,,
Gopalganj,650,,,0,,,0,,,0,,,525,,,450,,,580,,,450,,
Shariatpur,625,,,388,,,0,,,0,,,600,,,0,,,679,,,440,,
Tangail,580,,,400,,,538,,,360,,,508,,,310,,,626,,,416,,
Kishoreganj,550,,,0,,,551,,,0,,,626,,,0,,,613,,,0,,
Dhaka Division,609,,,463,,,588,,,442,,,551,,,414,,,638,,,483,,
Mymensing,579,,,484,,,542,,,450,,,532,,,382,,,615,,,512,,
Jamalpur,560,,,-,,,540,,,-,,,525,,,-,,,630,,,-,,
Sherpur,,566,,,350,,,518,,,300,,,500,,,-,,,620,,,400,
Netrokona,551,551,,0,0,,535,535,,427,427,,500,500,,400,400,,604,604,,510,510,
Mymensing Division,564,,,417,,,534,,,392,,,514,,,391,,,617,,,474,,
