Commodity,Unit,2021-22,,2022-23,,2023-24,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"0105- Livefowl domestic Spices -
other",No.,-,-,-,-,-,-
0202-Meat of bovine animal,Kg,71121,39467,58769,43484,23515,18723
0303-Eels fish frozen,Kg,7596296,2949351,7469418,3433069,7797001,3661415
"03037-Fish, other frozen",Kg,-,-,-,-,,
"03039010-90 Livers and roes
frozen",Kg,-,-,-,-,-,-
"03052-Liver/roe dry smoked sltd in
brine",Kg,-,-,-,-,-,-
"0305- Fish filet dry sltd in brine
not smoked",Kg,3582072,626447,2130393,526525,2724900,704856
"03054910-Sharkfins, smoked
cooked or not salted",Kg,-,-,-,-,-,-
"03055990- Fish dry salted/ in brine
not smoked",Kg,3486116,569535,2036570,436670,2576884,579734
"030559- Fish dry unsalted, not
smoked",Kg,-,-,-,-,-,-
"03056990- Fish salted, not
dried/smoked and fish in brine,
other.",Kg,53537,10299,28935,15140,68342,33424
"0306- Shrimps, frozen",Kg,35144232,36186856,2988128,30934247,28440983,28752094
"030614- Crabs, frozen",Kg,950266,1019724,612557,66210,808180,1033665
"030629- Crustaceans, other, not
frozen",Kg,-,-,-,-,-,-
"0402- Milk powder
fat<=1.5%)W/sugar",Kg,156790,20525,176393,36684,111012,25976
"0501- Human hair unworked wash
or not & waste",Kg,3057,13986,883,14408,28877,41664
"0504-Bladder and gut of animal
not fish",Kg,1774896,1272397,1301804,740326,1888840,1159970
"0505- Feathers used for stuffing;
down",Kg,189012,146861,176522,99416,185684,53764
0506- Bones (uncrushed),Kg,52640,1122,-,-,33778,1672
05069- Unworked other,Value,20000,784,-,-,-,-
"0507900 Horn antler & similar pcs
of animals",Kg,-,-,29956,1433,86171,10666
"0709-Vegetable, fresh or chilled
other",Kg,1699396,380440,2498250,416936,1976046,418260
"0810- Fruits, fresh, other",Kg,848266,239696,54470,16881,28253,13288
"09021-000 Green tea, packing",Kg,84,33,180,74,744,283
"09022- 000Green tea, other(not
fermented)",Kg,128490,60273,48251,24124,52551,19660
"0902300- Black tea packing not
exceeding 3 kg",Kg,398129,76128,632114,147703,833114,213309
09024000- Tea nec,Kg,107865,48379,201105,60727,860181,162173
"0904- Chillies, dry",Kg,2213087,625992,1254335,457374,689581,337796
0909- Black cumin seeds,Kg,104373,33938,264217,116186,626962,398814
093010- 10Turmeric (curcuma),Kg,369819,111082,-,-,,-
"Mixtures of two/more spices,
other(09109990)",Kg,7739956,2800670,8887331,3413760,9237115,4517603
10063010 Rice medium quality,mton,957851,92389,-,-,49650,6509
1209- Vegetable seeds for sowing,Kg,4199133,1137957,550429,367951,193134,349927
"12099100 Seeds, for sowing,other",Kg,4195083,1136391,547753,362764,179123,330260
"1211-Plant & part etc., used in
perfumery",Kg,430273,369081,477233,93997,434618,291186
"12119021- Plant & part herb
etc., for medicine",Kg,15648,11579,24113,15981,29256,20838
12129990- Betel leaves,Kg,4000,1030,-,-,-,-
"13023100-Balsam Mucilages &
thickeners:",Kg,513453,424969,449615,691021,530095,1442990
14011000- Bamboo,Kg,182395,2894,109216,4060,306302,8579
"1401-Veg mtrl use for plaiting:
other",Kg,187791,5931,112141,4226,306414,8596
"1701- Sugarcane/beet chem
pure/solid other",M.ton,10698,1673,259,55,59169,10170
"1703- Molasses, cane flavoured
coloured",M.ton,73884,9726,83323,17777,155573,39887
"19041000- Rice, beaten (Muri)",Kg,6083936,989153,6828931,1149173,8565720,1605417
19042000 Prepared food: other,Kg,608396,989153,6828931,1149173,28745,8590
"19019010 Pineapple prep/presv
w/sugar or not",Kg,-,-,11800,5451,-,-
"2106 Food preparations, other",Kg,123010,74894,133703,82291,419347,183438
"22021000- Non-alcoholic
beverage, other nec",Liter,13456365,881282,13734391,1116063,16447443,1406673
2203- Beer made from malt,Liter,-,-,-,-,455,100
22083000-Whiskies,Liter,1896,1675,1704,1812,-,-
"24011000- Tobaco N/stem/strip
F/cure N/virgna",Kg,4882604,900166,2923670,922607,3226961,1295580
"24012000-Tobacco whole/part
stem/strip virgna",Kg,30777918,7738661,45366968,14587770,37969,14953468
"24021000-Cigar chroot/cigrillo
cigarete other",Kg.,515259,298356,155295,156603,34970,58593
"24022000 Cigarette tobacco
cont subs or not",kg,56562,37820,34162,27276,4218510,3309944
4101- Raw hides and skins other,Kg,-,-,-,,66183,3307
41041100- Calf leather,Kg,-,-,-,,-,-
"41044100- Leather, bovine
hides",Kg,-,-,-,,-,-
"4105-Leather, semi finished
sheep skin",Kg,2980,9441,1070,3548,12840,10678
"4107- Leather of other animal
(not hair on)",Kg,815998,1496215,886643,1955447,1999297,3695055
"52-Cotton, Bangladesh Sg",M.ton,119946838,21170921,176656668,41053294,248911971,61945097
"53031000 Jute, raw white A
bottom",M.ton,194051926,16392665,234930616,18792674,228417318,16160667
"53039000 Jute, raw white,
grades B,C,D or E",M.ton,16704534,2263666,16024936,1604714,22009745,1763724
5303900-Mesta (kenaf),Kg,-,-,16024936,1604714,22009745,1763724
