District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Producti
on",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
1,Barguna,1278,517,16.05,1.480,766,1099,445,16.8,1.550,689
2,Barishal,16420,6645,13.00,1.199,7968,13842,5602,16.5,1.522,8525
3,Bhola,39554,16007,13.88,1.280,20493,32770,13262,15.60,1.439,19082
4,Jhallokati,2757,1116,17.50,1.614,1801,2852,1154,17.60,1.623,1874
5,Patuakhali,21780,8814,13.38,1.234,10878,11266,4559,14.70,1.356,6182
6,Pirojpur,6156,2491,15.03,1.386,3454,5253,2126,16.22,1.496,3180
1,"Barishal
Division",87945,35591,13.82,1.274,45359,67082,27148,15.79,1.456,39533
7,Bandarban,21997,8902,18.21,1.680,14952,21469,8688,18.60,1.716,14906
8,"Brahmanbari
a",49,20,13.83,1.276,26,14,6,15.85,1.462,8
9,Chandpur,722,292,15.64,1.443,422,745,301,15.53,1.432,432
10,Chattogram,16559,6701,14.79,1.364,9142,20634,8350,16.20,1.494,12477
11,Cumilla,3141,1271,11.28,1.040,1323,3167,1282,13.63,1.257,1611
12,Cox’s Bazar,252,102,12.37,1.141,116,170,69,13.50,1.245,86
13,Feni,5909,2391,13.90,1.282,3066,5910,2392,13.51,1.246,2980
14,Khagrachari,3940,1594,13.38,1.234,1968,3871,1567,14.08,1.299,2034
15,Lakshmipur,2490,1008,13.77,1.270,1280,1821,737,15.07,1.390,1024
16,Noakhali,8622,3489,13.78,1.271,4435,8375,3389,15.00,1.384,4689
17,Rangamati,12092,4893,14.40,1.328,6499,11887,4811,16.20,1.494,7188
2,"Chattogram
Division",75773,30665,15.28,1.410,43227,78063,31592,16.28,1.502,47437
18,Dhaka,205,83,17.87,1.648,137,207,84,17.90,1.651,138
19,Faridpur,10643,4307,10.72,0.989,4259,8401,3400,13.78,1.271,4321
20,Gazipur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
21,Gopalganj,2194,888,12.84,1.184,1052,1651,668,13.60,1.254,838
